,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABEV3 BS Equity,0.5916240823757107,0.2536321663832751,-0.023741385143005323,0.006021578946760142,0.010178049079036881,0.8765753759102953,0.006907995414521975,-0.001296344309048482,1.095692548720117,0.022621907495119543,5.778764516319377,Americas_IBOV,Americas,train
BBAS3 BS Equity,0.4685215753969154,0.2275677342709447,-0.03051812851590209,0.006944941360553347,0.014823098284577035,0.7062530374471137,0.009955152358244287,-0.001296344309048482,1.095692548720117,0.21448290842427833,5.164073384019531,Americas_IBOV,Americas,train
BBDC3 BS Equity,0.5283652521134726,0.24665908711220688,-0.025902913825337524,0.006389189077703916,0.012092371805577712,0.7966215283811565,0.008086690325984427,-0.001296344309048482,1.095692548720117,0.3126964067127355,4.26170449939768,Americas_IBOV,Americas,train
BBDC4 BS Equity,0.5114439606658272,0.2578012879408078,-0.024630699961562492,0.006349826172974415,0.012415487641515692,0.773288252847001,0.00828522975979491,-0.001296344309048482,1.095692548720117,0.40570242491990727,5.329570056260046,Americas_IBOV,Americas,train
BRAP4 BS Equity,0.4376652453128769,0.0808552233832601,-0.0797679365367435,0.0064496543275001095,0.014736501005213239,0.6505264035136284,0.01004968158100929,-0.001296344309048482,1.095692548720117,0.05262439724459297,4.652443142134479,Americas_IBOV,Americas,train
BRFS3 BS Equity,0.4628984715450759,0.1324416181598458,-0.04565068638999015,0.006046050775597944,0.013061289131971555,0.6973289597329976,0.008766579552069704,-0.001296344309048482,1.095692548720117,0.22849768502385412,6.12291782487266,Americas_IBOV,Americas,train
BRKM5 BS Equity,0.43825261404855975,0.12612400634773538,-0.054513327944875435,0.00687543931975565,0.015688301904786425,0.6759116504593558,0.010319372500437478,-0.001296344309048482,1.095692548720117,0.7068141685436516,11.725421529704024,Americas_IBOV,Americas,train
CCRO3 BS Equity,0.48462200022785823,0.17335076405778596,-0.03600585933339433,0.00624164322600107,0.012879405439840518,0.7188383405397413,0.008771430064922819,-0.001296344309048482,1.095692548720117,0.10124209205534718,11.834267521658674,Americas_IBOV,Americas,train
CMIG4 BS Equity,0.3236053920607941,0.08629424004319436,-0.0521635604162612,0.004501414804068515,0.01391019715525277,0.47356242022874423,0.009688463501338463,-0.001296344309048482,1.095692548720117,-0.1831117966929948,5.398972128644246,Americas_IBOV,Americas,train
CSNA3 BS Equity,0.48652602766481273,0.12594198833325207,-0.06900543894693315,0.008690682186785592,0.01786272818434485,0.7285278993010557,0.012096696800053831,-0.001296344309048482,1.095692548720117,0.07134023295441393,6.548179865369267,Americas_IBOV,Americas,train
