,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABEV3 BS Equity,0.5487969012365868,0.1960216337599813,-0.03641119191989774,0.007137381327286585,0.013005505882420524,0.8084214815048765,0.008902148964096171,-0.0012186494035852247,1.096168805230414,-0.06437427631273142,5.01554610431249,Americas_IBOV,Americas,train
BBAS3 BS Equity,0.44686454265048514,0.2151408954576736,-0.027308016140487126,0.005875071045637004,0.01314731979134041,0.670696729300842,0.008862944963404602,-0.0012186494035852247,1.096168805230414,0.18513259068620871,5.34767489402042,Americas_IBOV,Americas,train
BBDC3 BS Equity,0.5140428500999675,0.22416584530431943,-0.029832230626288307,0.006687367195655325,0.01300935747740643,0.7719448440574597,0.008743870955343316,-0.0012186494035852247,1.096168805230414,0.27213562494470095,5.110520138800958,Americas_IBOV,Americas,train
BBDC4 BS Equity,0.4941440544740287,0.23046126384892285,-0.02815468458370475,0.006488564192428381,0.013130916245334301,0.7451794458007986,0.00879501189248489,-0.0012186494035852247,1.096168805230414,0.38198502005408186,6.417364617876391,Americas_IBOV,Americas,train
BRAP4 BS Equity,0.352421548548805,0.06840092071025827,-0.06866535152235967,0.0046967732650229355,0.01332714552887933,0.5196507913674383,0.009188118458384747,-0.0012186494035852247,1.096168805230414,-0.049430568565255746,5.191959205838614,Americas_IBOV,Americas,train
BRFS3 BS Equity,0.45104590982297377,0.11590620830893067,-0.05051537900501162,0.00585504604175946,0.012981042315753278,0.6797917657160237,0.008711881658525334,-0.0012186494035852247,1.096168805230414,0.24094478625408333,5.232442412550929,Americas_IBOV,Americas,train
BRKM5 BS Equity,0.3491562103265276,0.09266880803268333,-0.050105430385902636,0.00464321050982619,0.013298375834369101,0.5302730031702724,0.008902754546501085,-0.0012186494035852247,1.096168805230414,0.4583179343874539,9.14619445006074,Americas_IBOV,Americas,train
CCRO3 BS Equity,0.26883557166690697,0.0552013268235406,-0.07304108330832962,0.004031964711248559,0.01499788397141227,0.37933216769986366,0.010904512885539504,-0.0012186494035852247,1.096168805230414,-1.2895810029196282,87.52622093690829,Americas_IBOV,Americas,train
CMIG4 BS Equity,0.318138596865894,0.08725387687148844,-0.04748129790473532,0.004142927321078238,0.013022397665331439,0.4629322627096375,0.0091140548373493,-0.0012186494035852247,1.096168805230414,-0.2572300791662844,5.99176389259264,Americas_IBOV,Americas,train
CSNA3 BS Equity,0.4616944819621046,0.10798233144036126,-0.05631195761030171,0.006080696470731173,0.0131703901785646,0.6771789693949702,0.009080443802069951,-0.0012186494035852247,1.096168805230414,-0.3456405966636117,10.655980996567921,Americas_IBOV,Americas,train
EGIE3 BS Equity,0.5757916697014938,0.43757850767540923,-0.01705548808386469,0.007463115023413236,0.012961484884424118,0.8819888071805291,0.008525585480815846,-0.0012186494035852247,1.096168805230414,0.5537954861542053,5.386884400573518,Americas_IBOV,Americas,train
ELET3 BS Equity,0.2987591298688931,0.07075780195945988,-0.05577195775736803,0.00394630114188721,0.013208972537907033,0.45437951815018834,0.008859919408262935,-0.0012186494035852247,1.096168805230414,0.45054148929759713,12.192041512544455,Americas_IBOV,Americas,train
ELET6 BS Equity,0.28992604756677903,0.08365300694841488,-0.04532516797756965,0.0037915865917657054,0.013077771464781496,0.43867848825980027,0.008821779521866347,-0.0012186494035852247,1.096168805230414,0.3826097645933372,7.07117207949074,Americas_IBOV,Americas,train
EMBR3 BS Equity,0.17502009342134742,0.04654236898631279,-0.05094560704906269,0.0023711292415091734,0.013547754404409225,0.2578150676322599,0.009542132528998399,-0.0012186494035852247,1.096168805230414,-0.3387175421152948,14.743135463640957,Americas_IBOV,Americas,train
GGBR4 BS Equity,0.48399515115462316,0.11218989982928253,-0.056422187326969776,0.006329999544361753,0.013078642480737358,0.7225294930275458,0.008851722689849366,-0.0012186494035852247,1.096168805230414,0.12263335264852199,2.9898349840392804,Americas_IBOV,Americas,train
GOAU4 BS Equity,0.45147855029168366,0.06872838172437104,-0.08593146789180048,0.005905930727403197,0.013081309673710064,0.6736457998535826,0.008868405124132006,-0.0012186494035852247,1.096168805230414,0.1549106064776385,3.5380672299407756,Americas_IBOV,Americas,train
