,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABEV3 BS Equity,-0.19532723061547244,-0.024547074874254813,-0.0028387624885209887,-6.968331535595063e-05,0.0003567516681436572,-0.2763604671270386,0.00025192499468225333,-6.210944123170807e-05,0.9492366042195945,0.07410162512435643,14.002154356148239,Americas_IBOV,Americas,train
BBAS3 BS Equity,0.016334892269734076,0.003357081958928192,-0.0033748836343318734,1.1329760962297541e-05,0.0006935926344179057,0.02455988572053945,0.0004711008251229471,-6.210944123170807e-05,0.9492366042195945,1.0263109987920822,21.87343630126597,Americas_IBOV,Americas,train
BBDC3 BS Equity,-0.018870713497997557,-0.002204155699906739,-0.004020051239485416,-8.860818853428931e-06,0.00046955399192347375,-0.026634132505813743,0.00032854977855070424,-6.210944123170807e-05,0.9492366042195945,0.5769110983574789,20.503511656219555,Americas_IBOV,Americas,train
BBDC4 BS Equity,0.022041667928906196,0.0029385720706329196,-0.0034722399868326722,1.0203427447841307e-05,0.00046291539645510144,0.032507543003910025,0.00031717253335495043,-6.210944123170807e-05,0.9492366042195945,1.0097150162613842,21.08535936724657,Americas_IBOV,Americas,train
BRAP4 BS Equity,-0.41504198172091006,-0.040342615079569856,-0.010565820637797157,-0.000426252834990426,0.001027011371772638,-0.5663549140442619,0.0007518537097784807,-6.210944123170807e-05,0.9492366042195945,-0.8540856960364815,33.876607754607996,Americas_IBOV,Americas,train
BRFS3 BS Equity,-0.07386965306544378,-0.008214425861594571,-0.0053474659677020375,-4.3926362739088454e-05,0.0005946469343801102,-0.10473515061835767,0.00041772559578327626,-6.210944123170807e-05,0.9492366042195945,0.12743132658595432,11.17515187637077,Americas_IBOV,Americas,train
BRKM5 BS Equity,-0.3116390201284721,-0.036871176806186914,-0.01031031180967842,-0.00038015332966157,0.0012198515112287708,-0.44558008268035026,0.0008516572018661617,-6.210944123170807e-05,0.9492366042195945,1.437609497847329,57.53122634151078,Americas_IBOV,Americas,train
CCRO3 BS Equity,-0.35741969183325584,-0.031124909020387153,-0.007697633368014774,-0.00023958813825175618,0.0006703271916073648,-0.48441608095306393,0.0004941869349267545,-6.210944123170807e-05,0.9492366042195945,-0.37169449316593145,22.10929992083634,Americas_IBOV,Americas,train
CMIG4 BS Equity,0.1419801685150982,0.02988925304494045,-0.002746249695781993,8.208335208181872e-05,0.0005781325162541271,0.20389256261386884,0.00040338442509089354,-6.210944123170807e-05,0.9492366042195945,0.3624331004625598,19.275668340888277,Americas_IBOV,Americas,train
CSNA3 BS Equity,-0.24709739810038267,-0.028366741894996782,-0.010666865683722273,-0.0003025842256787481,0.0012245544793467395,-0.3490617337780271,0.000864833279532029,-6.210944123170807e-05,0.9492366042195945,0.17059706679736594,10.130518334170365,Americas_IBOV,Americas,train
EGIE3 BS Equity,-0.059544024303708656,-0.009834021984569936,-0.004863735006919314,-4.783007698516695e-05,0.0008032724953423729,-0.07539811320509696,0.0006301027473008136,-6.210944123170807e-05,0.9492366042195945,-8.446443954931954,338.98021206902814,Americas_IBOV,Americas,train
ELET3 BS Equity,0.06993494098552719,0.012778659647938229,-0.005147535779464837,6.577860775136557e-05,0.0009405685745123921,0.10050930307809834,0.0006588315850122227,-6.210944123170807e-05,0.9492366042195945,0.3095250482881175,21.02268509237834,Americas_IBOV,Americas,train
ELET6 BS Equity,0.22398398403255476,0.04550794284468767,-0.0037184661834116692,0.00016921974654460215,0.0007554993151653515,0.3210871897067171,0.0005278654014196959,-6.210944123170807e-05,0.9492366042195945,0.8497269164543493,58.55820923370918,Americas_IBOV,Americas,train
EMBR3 BS Equity,0.019008957318891555,0.00439551762232489,-0.0034078910378567335,1.4979445111862333e-05,0.0007880203453860883,0.027801057591136363,0.0005499705680869721,-6.210944123170807e-05,0.9492366042195945,0.26514861222647895,18.602179255663636,Americas_IBOV,Americas,train
GGBR4 BS Equity,-0.19021945533460755,-0.032278320042165624,-0.0051455640489952055,-0.00016609016317092884,0.0008731502404881045,-0.2742614877595845,0.000604251015024189,-6.210944123170807e-05,0.9492366042195945,0.5409596283686898,10.468964024411603,Americas_IBOV,Americas,train
GOAU4 BS Equity,-0.32659348899690666,-0.03099217625786675,-0.014525691751110995,-0.00045018279901787306,0.0013784193934807346,-0.4719262893999656,0.0009521274286488296,-6.210944123170807e-05,0.9492366042195945,1.0534274308963476,47.775355176716765,Americas_IBOV,Americas,train
ITSA4 BS Equity,-0.053727360712748265,-0.007011042484138264,-0.00301024950130048,-2.1104987141473686e-05,0.00039281637626517466,-0.07775300654368089,0.0002704470563081467,-6.210944123170807e-05,0.9492366042195945,1.103671417013486,26.520173953910277,Americas_IBOV,Americas,train
ITUB4 BS Equity,0.036962305013169,0.006584531491788068,-0.002199072117205346,1.4479859608451662e-05,0.0003917466619923392,0.0545479367271514,0.00026685652824111816,-6.210944123170807e-05,0.9492366042195945,0.9869222740238007,18.842264666202905,Americas_IBOV,Americas,train
LAME4 BS Equity,-0.32704047612603326,-0.028917266217933776,-0.011045910522971809,-0.0003194175352122519,0.0009766911392617846,-0.47288259662852766,0.0006745681043245239,-6.210944123170807e-05,0.9492366042195945,1.9440371130702037,52.191324846631794,Americas_IBOV,Americas,train
PCAR4 BS Equity,0.15754505651151612,0.022362268819824605,-0.0026797511581165704,5.9925315768039056e-05,0.00038036938190858866,0.23008561513084383,0.00026075447698952473,-6.210944123170807e-05,0.9492366042195945,0.6539025471167292,20.631742618504,Americas_IBOV,Americas,train
PETR3 BS Equity,0.06435829674628296,0.011767129585670343,-0.0036196675751401603,4.259309741372341e-05,0.0006618120672403189,0.09758009488320939,0.00043872824968877106,-6.210944123170807e-05,0.9492366042195945,1.3709911633867602,34.09947432621804,Americas_IBOV,Americas,train
PETR4 BS Equity,0.08117761451382743,0.016174577208399727,-0.003294975138508388,5.32948297775615e-05,0.000656521260161981,0.12499219198056576,0.00042809776280858274,-6.210944123170807e-05,0.9492366042195945,1.5566902083945955,26.84019535827553,Americas_IBOV,Americas,train
SBSP3 BS Equity,-0.020053102959997484,-0.005238474946867181,-0.0021266707490712267,-1.1140511439244882e-05,0.0005555505031549631,-0.02849797675362792,0.00038551101482577256,-6.210944123170807e-05,0.9492366042195945,0.39729155183734705,16.354828006465585,Americas_IBOV,Americas,train
TIMP3 BS Equity,0.10861345648062345,0.020543768123948057,-0.0036299492701132407,7.457283610690091e-05,0.0006865892912652553,0.15754809510181986,0.00047481198723906465,-6.210944123170807e-05,0.9492366042195945,0.4474414709698681,17.568527760432616,Americas_IBOV,Americas,train
UGPA3 BS Equity,0.012913667662169372,0.002199218973276684,-0.002600652486129003,5.719404290394081e-06,0.0004428954221231117,0.02141862844753773,0.0002716063909067651,-6.210944123170807e-05,0.9492366042195945,6.780747533179522,200.91818378653167,Americas_IBOV,Americas,train
USIM5 BS Equity,-0.271711161333835,-0.03401877899629815,-0.011578709994186016,-0.00039389357635444266,0.0014496775709205761,-0.3921275213906395,0.001002021948387781,-6.210944123170807e-05,0.9492366042195945,1.808139366257933,48.10589680854248,Americas_IBOV,Americas,train
VALE3 BS Equity,-0.2836302277150128,-0.03981392309477314,-0.005225047087110638,-0.00020802962289279137,0.000733453639863154,-0.4060278720046839,0.0005117438156709293,-6.210944123170807e-05,0.9492366042195945,0.4612442548441507,17.296959679828543,Americas_IBOV,Americas,train
VIVT4 BS Equity,0.5501379803500371,0.25969329284500225,-0.0005488533959751089,0.00014253354568993792,0.00025908690325152225,0.8541787107539384,0.00016689362992132652,-6.210944123170807e-05,0.9492366042195945,1.1950907937326183,19.920205058856006,Americas_IBOV,Americas,train
WEGE3 BS Equity,-0.47209099364917556,-0.03852224511742441,-0.010162116576963734,-0.0003914675456896388,0.0008292205336595547,-0.6461160592488768,0.0006054642044774185,-6.210944123170807e-05,0.9492366042195945,0.3095918891871666,205.19781915543146,Americas_IBOV,Americas,train
ALFAA MF Equity,-0.31322324299740845,-0.03232927435597033,-0.0076105398720224746,-0.0002460432315196659,0.0007855203501666752,-0.45411799751534226,0.0005411917859498767,-4.0095695700034895e-05,0.9505427573482998,1.1473719472973778,27.95592122675736,Americas_MEXBOL,Americas,train
