,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,0.21087679080266258,0.10368328353805216,-0.7397163120567375,0.07669621612070099,0.3637015521185208,0.5595653063496663,0.25017449548576975,-0.03164556962025322,1.053385458962357,0.34400155011261235,18.10192169927659,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,0.2499665161470756,0.11007456975491506,-0.8911670480549203,0.09809482939440306,0.3924318781027692,0.6166632780711847,0.2823036779538269,-0.03164556962025322,1.053385458962357,-1.7633225634835321,38.659426328850664,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,0.3907647607176642,0.16856890114552087,-0.7645382664478592,0.12887737545881706,0.3298080799868586,0.793072131479616,0.22111463697335598,-0.03164556962025322,1.053385458962357,0.5416642966482488,13.293774582526709,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,0.24112271040665875,0.09581591268324793,-0.5728373930217242,0.0548869376314689,0.22763072602701287,0.5062246344617289,0.15668119379784184,-0.03164556962025322,1.053385458962357,0.1584857268099711,5.4077059761922595,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,-0.3370777838190518,-0.11269197241478071,-0.9405772971639673,-0.1059955108259708,0.3144541583994474,-0.26663841075692296,0.23049021349019636,-0.03164556962025322,1.053385458962357,-1.067007898014684,32.67365208109756,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,0.2176576096092038,0.08969468369394287,-0.6851851851851853,0.06145746845696087,0.28235846459632397,0.5170080783182985,0.1923116310458802,-0.03164556962025322,1.053385458962357,0.378401174901692,16.319230774164094,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,0.18676344032496478,0.07420129536264027,-0.6231377974013023,0.04623763175659912,0.2475732492191541,0.43909644856090285,0.17273377701829937,-0.03164556962025322,1.053385458962357,0.11218379660319652,10.05027555141826,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,-0.06306640082515014,-0.026436610582644897,-0.9611399608454724,-0.025409282860290316,0.40289730391840267,0.2030398937618767,0.2687191781554087,-0.03164556962025322,1.053385458962357,1.3161021697707354,38.447215660574265,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,0.30930805281420437,0.15617599710974345,-0.4946997226224014,0.07726022245046704,0.24978406396963687,0.6164094811195411,0.17119183709721664,-0.03164556962025322,1.053385458962357,0.43150970464404687,12.88898819231266,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,-0.03240399706509631,-0.013284694414927231,-0.9445796161124627,-0.01254845155062334,0.3872501137873451,0.23476063082256104,0.26423741390119354,-0.03164556962025322,1.053385458962357,0.46940583034774547,10.864917614975841,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,0.6269639275170626,0.32332786622408255,-0.5399999999999994,0.17459704776100438,0.27848021249396804,1.0733704847119971,0.18605960898752943,-0.03164556962025322,1.053385458962357,0.15681204895127757,8.680083456690129,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,0.37581063155593436,0.14461391568492726,-0.6118169915355821,0.08847725082853253,0.23543040935861304,0.7014688448130659,0.16019844490746749,-0.03164556962025322,1.053385458962357,0.5941346915223441,13.693372430232607,Asia and Pacific_AS51,Asia and Pacific,train
AWC AT Equity,-0.0992575574284429,-0.042331646619316356,-0.9097562007360508,-0.03851147799929033,0.3879954231903617,0.13348576337749007,0.270543184238813,-0.03164556962025322,1.053385458962357,0.022485748249504257,4.6971956150166685,Asia and Pacific_AS51,Asia and Pacific,train
BEN AT Equity,0.11802372429584986,0.04778618453918396,-0.6920911905432037,0.033072397349241056,0.2802182149949661,0.3767657794391811,0.18954335475538803,-0.03164556962025322,1.053385458962357,1.0574824100681657,19.803164202136543,Asia and Pacific_AS51,Asia and Pacific,train
BHP AT Equity,0.28209445299839514,0.12170181940114234,-0.6933342064860692,0.08438003438240194,0.2991197929825369,0.605102405084491,0.20789980410389772,-0.03164556962025322,1.053385458962357,-0.03352445660903854,4.269825320273244,Asia and Pacific_AS51,Asia and Pacific,train
BKL AT Equity,0.4155020171121493,0.17511464654439127,-0.7268899954730645,0.12728908463391986,0.3063501003403382,0.8073980373459398,0.20669330534907718,-0.03164556962025322,1.053385458962357,0.035774682416380155,16.50144653954433,Asia and Pacific_AS51,Asia and Pacific,train
BKW AT Equity,0.3572295197948815,0.1988547953383985,-0.43143812709030105,0.08579354046372378,0.24016363628903287,0.6943577275019527,0.1598517850186395,-0.03164556962025322,1.053385458962357,0.6880270059164932,12.875273838806976,Asia and Pacific_AS51,Asia and Pacific,train
