,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,-0.03283032425755155,-0.009434506264509356,-0.022577170605900393,-0.00021300445751626373,0.006488040015848121,-0.041892563747247945,0.004582733454303365,-0.0005539925449913057,0.973645778609356,-0.16519520454546574,26.935231440262353,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,-0.40999686779814243,-0.038555378688181825,-0.13344552875647891,-0.005145042895450702,0.012548980979005453,-0.5090274148237636,0.00997839620056256,-0.0005539925449913057,0.973645778609356,-6.331653815633091,216.6163851276892,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,-0.03852060639374301,-0.005585574679960876,-0.03580445256226492,-0.00019998844366164725,0.005191726257303463,-0.05296607808584031,0.0035218483879425866,-0.0005539925449913057,0.973645778609356,1.6319434221155211,51.01333037673292,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,0.3444509226609521,0.10450285906829673,-0.004842254666485388,0.0005060294569845247,0.0014690901480981563,0.5001666865119869,0.001013623902996992,-0.0005539925449913057,0.973645778609356,-0.22446049015079492,21.284353986470844,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,-0.04618173649734833,-0.010317361585451585,-0.034985855825984694,-0.00036096172493316203,0.007816114167856979,-0.06018535792870969,0.005491131316114354,-0.0005539925449913057,0.973645778609356,0.02105402718013274,189.05618213575727,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,0.3909873716655745,0.1084093850141472,-0.012843973342740345,0.001392407251224581,0.0035612588848919573,0.5813199366339413,0.0024044982341517194,-0.0005539925449913057,0.973645778609356,-0.04512235772248534,37.36139249526399,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,0.16932991199051495,0.09111847263852156,-0.005708937276667703,0.0005201896450390819,0.003072048162809064,0.26538678742957206,0.0019773833452308,-0.0005539925449913057,0.973645778609356,2.3223597910586435,67.9092199686162,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,-0.002750244403528238,-0.00045674316833184566,-0.0930288369152528,-4.2490285718899123e-05,0.015449639917233943,0.0077456698058536305,0.009891793445777867,-0.0005539925449913057,0.973645778609356,2.844863584315652,96.49592175596742,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,0.37383641273758134,0.14009973511661963,-0.005326533768359662,0.0007462459700369184,0.00199618320904645,0.6111158193244612,0.0012239257041717947,-0.0005539925449913057,0.973645778609356,2.548770719059829,37.15556322219247,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,-0.06608444042849473,-0.014093186177571167,-0.04390038811657298,-0.0006186963429944958,0.009362209000830431,-0.09072419739198286,0.006339061696776483,-0.0005539925449913057,0.973645778609356,2.1793988966784137,67.64884433557093,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,-0.2568025028567722,-0.03273781844933068,-0.032423477910684964,-0.001061473933335888,0.004133425186778298,-0.35783589376811975,0.0029440738294409766,-0.0005539925449913057,0.973645778609356,0.6503579412868528,45.283349987741495,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,0.015671611226453094,0.0022867572512880563,-0.016374666590035523,3.7444887562188e-05,0.0023893451044129034,0.02427411377987336,0.0016601276059933425,-0.0005539925449913057,0.973645778609356,0.14198027555079273,26.218080834817684,Asia and Pacific_AS51,Asia and Pacific,train
