,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,-0.07133771669728427,-0.01683266624451873,-0.027663054082482885,-0.0004656429566745057,0.0065273039036338,-0.09628864410035352,0.004615818979821719,-0.0005556976653006494,0.9689619130489384,-0.14804391462007027,30.73902910684611,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,-0.3888027371197415,-0.03703924695074679,-0.13252531790793387,-0.004908637977218189,0.012625008799015866,-0.4831643637651792,0.010018752548879436,-0.0005556976653006494,0.9689619130489384,-6.7165005446012,237.8581575010053,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,-0.023512618837227935,-0.003443215962741972,-0.03572259824033894,-0.0001230006204917533,0.00523125991805746,-0.030645420473381854,0.0035676125244267103,-0.0005556976653006494,0.9689619130489384,1.1570326571530147,44.30197192777271,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,0.3198188457464292,0.0790786883429581,-0.005977148005197935,0.00047266502428278123,0.0014779148588933914,0.48490180522966875,0.0009767866807595057,-0.0005556976653006494,0.9689619130489384,1.3518326906819849,29.34343535398778,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,-0.008557777686935684,-0.002058756893535774,-0.03242171468612955,-6.674842861031927e-05,0.00779973855972182,-0.006692990968047951,0.005429672062271194,-0.0005556976653006494,0.9689619130489384,0.340365638350218,198.4846722917656,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,0.30734141480282745,0.08541332860184792,-0.012856842424354606,0.001098145706773579,0.003573048258003517,0.4541509752217269,0.002430750931854056,-0.0005556976653006494,0.9689619130489384,-0.15650412118475593,40.04897835388807,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,0.2732552775121314,0.14190338857544416,-0.0058483474128506446,0.0008299003154499385,0.0030370879677267875,0.4315548426082864,0.0019329346132534984,-0.0005556976653006494,0.9689619130489384,2.266962221056912,67.2778289091606,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,0.015687452663736105,0.002750403616971127,-0.08746116892578824,0.00024055351535801073,0.015334134898401077,0.036911454621826476,0.009694654755290015,-0.0005556976653006494,0.9689619130489384,3.0748495284360837,90.66037654877573,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,0.1867783941335317,0.04917155937534893,-0.007603819569714431,0.0003738916654516533,0.0020017929117880223,0.29673351628081623,0.0012665401151140251,-0.0005556976653006494,0.9689619130489384,2.3130010399620655,38.28415484015231,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,-0.09170422324733381,-0.019117590968743155,-0.04469622708423915,-0.0008544841872425435,0.009317828088875794,-0.12825838012526164,0.006326884908355774,-0.0005556976653006494,0.9689619130489384,1.8734145860037246,57.433327514608045,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,-0.294191280174032,-0.03562748627971796,-0.03394013749274608,-0.001209201782854552,0.00411025704820087,-0.409596456430814,0.002933340298728313,-0.0005556976653006494,0.9689619130489384,0.6153208518316896,44.979510434982515,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,-0.1258927404956671,-0.017092507315129835,-0.017148844431538607,-0.00029311674889209716,0.0023283054109238767,-0.1745398302714769,0.00166408690319002,-0.0005556976653006494,0.9689619130489384,-0.28288209427846345,26.530448015433848,Asia and Pacific_AS51,Asia and Pacific,train
