,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,0.3563430023596911,0.09474011454533675,-0.01252666215865633,0.001186777407781836,0.0033304355632720077,0.5037116423420709,0.002365682111482045,,1.0523039749175496,-0.25354754505546623,12.391103067216555,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,0.26178153203930327,0.04982869899310744,-0.01797853532781265,0.0008958470251865247,0.003422116977495663,0.3582380391224865,0.002515935095181491,,1.0523039749175496,-2.0026198273494757,39.94873657718571,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,0.5954132886873295,0.12122033642907672,-0.016621930976825898,0.002014916065111727,0.003384062975070454,0.898216318862699,0.0022473665365187684,,1.0523039749175496,0.571253028562426,12.744514931452501,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,0.29703308587904514,0.08205371364669317,-0.011998352449846433,0.0009845093761517987,0.003314477150712769,0.4319713048594752,0.002290704795958826,,1.0523039749175496,0.1676574909468142,7.79195119870727,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,-0.2651899755886959,-0.03817190117336214,-0.023581633792974982,-0.0009001557946518579,0.003394380925046657,-0.3525126746396656,0.0025383447961240847,,1.0523039749175496,-1.152837767526029,17.366517264602322,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,0.42401727213208995,0.15927276208379468,-0.009063408540960546,0.0014435541122126416,0.0034044700701789934,0.63498432436867,0.0022808604388193875,,1.0523039749175496,1.015952945263961,26.667983748825623,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,0.17308482601218436,0.0433090775416632,-0.013592625320127057,0.0005886840639841573,0.003401130402631116,0.24540308482835813,0.002421707363650024,,1.0523039749175496,-0.13320818327218722,7.334238595739189,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,0.20249968300871882,0.03460500764698864,-0.019996270731881927,0.0006919711015880292,0.003417146591573853,0.31657951099287374,0.0022798837551620326,,1.0523039749175496,,,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,0.4086260972126077,0.1814209122298542,-0.007417972606344506,0.0013457753571390896,0.003293415095900946,0.5969127012496644,0.002262133612437556,,1.0523039749175496,0.28828096213502896,13.062287828587703,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,0.09136788504628794,0.016869229585766095,-0.018331699707376425,0.00030924165106105406,0.0033845770962564027,0.13579071596852205,0.0023191596322755838,,1.0523039749175496,0.42484565068243624,14.334545503537573,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,0.5771157764003902,0.23518784654671407,-0.008210366074408454,0.0019309783164003225,0.0033459115057368526,0.857804231422274,0.002255433182229017,,1.0523039749175496,0.19826721820281087,11.976870725302424,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,0.6025875908778615,0.20731984353700758,-0.009408758072864105,0.0019506222515437432,0.003237076702329761,0.8991318791016044,0.0021731712613809774,,1.0523039749175496,0.8364569814615325,16.88347248483619,Asia and Pacific_AS51,Asia and Pacific,train
AWC AT Equity,0.026586385173614797,0.004905369438881654,-0.018493469400221556,9.071729961473984e-05,0.0034121712682012397,0.04012545830088907,0.0024057967214671976,,1.0523039749175496,-0.08960246482548155,6.797712502649549,Asia and Pacific_AS51,Asia and Pacific,train
BEN AT Equity,0.19422943019999794,0.05025858135709563,-0.012945904555938283,0.0006506427973658191,0.0033498671993006032,0.2844440215403944,0.0023063987329998118,,1.0523039749175496,0.6646455869546685,16.30724918531304,Asia and Pacific_AS51,Asia and Pacific,train
BHP AT Equity,0.312146344130358,0.0823251948424931,-0.012522556767123008,0.001030921925779582,0.003302687810269693,0.44537013315649243,0.0023258092664741395,,1.0523039749175496,-0.1369340784497206,5.993149464579101,Asia and Pacific_AS51,Asia and Pacific,train
BKL AT Equity,0.5386638438210105,0.1580624563104117,-0.011331490852132474,0.0017910832777470187,0.003325048262088605,0.8116184787513174,0.0022116476895369885,,1.0523039749175496,0.48401598281471764,14.462887656626055,Asia and Pacific_AS51,Asia and Pacific,train
BKW AT Equity,0.3398517990335861,0.13311632938195808,-0.008420292614177496,0.0011208784451213205,0.0032981389191073514,0.5030454409451411,0.0022377517349973365,,1.0523039749175496,0.37381834069522535,9.7508280453442,Asia and Pacific_AS51,Asia and Pacific,train
BLD AT Equity,0.24706898218686432,0.056486958706803383,-0.014866182073893716,0.000839745412935855,0.0033988297741913026,0.3525773781475851,0.002397118469145813,,1.0523039749175496,-0.4198833776516063,10.549777428803901,Asia and Pacific_AS51,Asia and Pacific,train
BOQ AT Equity,0.16240982005317445,0.038060353462387224,-0.014268626671777508,0.0005430689745506978,0.0033438185842019413,0.2310695421108845,0.0023737954635170994,,1.0523039749175496,-0.15817902784541948,6.159655803668715,Asia and Pacific_AS51,Asia and Pacific,train
BPT AT Equity,0.2744743664187734,0.08462815197222158,-0.01046636814409953,0.0008857493938960737,0.003227075101594954,0.40713997465376534,0.00218736754494373,,1.0523039749175496,0.2847870024811951,4.789719722327851,Asia and Pacific_AS51,Asia and Pacific,train
BRG AT Equity,0.6117541118196679,0.16163817347589715,-0.012782621078574592,0.0020661595233752994,0.0033774346317501486,0.9373053230948646,0.00220817914940265,,1.0523039749175496,0.9982267190534119,22.142212062488884,Asia and Pacific_AS51,Asia and Pacific,train
BWP AT Equity,0.4062300834138351,0.16473768964627367,-0.008302099958153687,0.0013676687663186637,0.0033667343265796268,0.5916496925866646,0.002319622583802253,,1.0523039749175496,0.6128477551105305,20.726645499943167,Asia and Pacific_AS51,Asia and Pacific,train
CBA AT Equity,0.3247200480241377,0.08664215851322378,-0.012573162502293763,0.0010893659385362575,0.0033547849760581483,0.464321228622685,0.002356992431387145,,1.0523039749175496,0.009268314205067336,6.4589271733087,Asia and Pacific_AS51,Asia and Pacific,train
CCP AT Equity,0.6662661385181738,0.13947940071917786,-0.017321672329087216,0.0024160164759150504,0.0036262033086184647,0.9075013220213197,0.002666323714813046,,1.0523039749175496,-4.67059855536123,138.39395453354595,Asia and Pacific_AS51,Asia and Pacific,train
CGF AT Equity,0.3150521022434449,0.08430744208886252,-0.01255376631391213,0.00105837592650726,0.003359367923498061,0.4590119779637867,0.0023168462605867514,,1.0523039749175496,-0.0911388741067076,9.150330436613675,Asia and Pacific_AS51,Asia and Pacific,train
CIM AT Equity,0.30585933766566836,0.09921558707741382,-0.010551206367894085,0.0010468441341655588,0.003422632580568304,0.43826158916593544,0.002400746429781773,,1.0523039749175496,-0.06290089569380285,33.565046043215325,Asia and Pacific_AS51,Asia and Pacific,train
COH AT Equity,0.3783878235831576,0.11999725626511618,-0.0105916366493019,0.0012709673372732766,0.0033589012596594785,0.542129400607867,0.0023533203576996593,,1.0523039749175496,-0.6679064619530763,27.097495768246677,Asia and Pacific_AS51,Asia and Pacific,train
CPU AT Equity,0.267369140177929,0.08404966056733677,-0.010479766029438752,0.0008808207775994337,0.0032943995594004022,0.3846840149923768,0.0023028260160688797,,1.0523039749175496,-0.24623398457558948,17.241580064985257,Asia and Pacific_AS51,Asia and Pacific,train
