,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,0.3431602858088437,0.09494741486298652,-0.012725477339143913,0.001208251176249231,0.003520952820636952,0.4902248237862571,0.0024758481956098084,-0.000321017138137954,1.0584857609425042,-0.1093251175456813,10.31255502058905,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,0.330424781180154,0.06605566723531547,-0.01804466009752944,0.00119195206277678,0.0036073325327464,0.4541489259853611,0.0026373551832691317,-0.000321017138137954,1.0584857609425042,-1.740146821148118,32.56765517471616,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,0.6371375222068152,0.13418941529148842,-0.01670955155776348,0.002242244953319261,0.003519248004030482,0.9641158584446551,0.0023295288646687264,-0.000321017138137954,1.0584857609425042,0.5511712948512357,11.107994509756901,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,0.32131925852132115,0.09317125375351694,-0.012088199520078688,0.0011262727049083932,0.0035051515744539768,0.4678156823101052,0.002419293079300463,-0.000321017138137954,1.0584857609425042,0.14586149955551148,6.2158225409298,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,-0.23784071176584665,-0.03510909591752017,-0.02387118896817396,-0.0008380958631488689,0.00352376957219154,-0.3178077192142328,0.002618682606572494,-0.000321017138137954,1.0584857609425042,-1.0077226951629452,14.977294438737008,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,0.33266300721654657,0.1188909195081162,-0.010082321354446151,0.0011986964566064184,0.003603335599699333,0.49410975600058754,0.0024376597606871027,-0.000321017138137954,1.0584857609425042,0.8180931145343622,21.177105473491483,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,0.2984252946458524,0.07799524761386081,-0.013545390261986628,0.001056476067510026,0.003540169303556418,0.4244007355437955,0.0025027901283647177,-0.000321017138137954,1.0584857609425042,-0.11816688695006472,6.2361888254280835,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,0.13494107727060486,0.028693767520467903,-0.01994169268461701,0.0005722022938570159,0.004240386288821059,0.229846847534432,0.002527826043930128,-0.000321017138137954,1.0584857609425042,9.610718012222609,356.2130464899848,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,0.4487526927076262,0.21376953177065386,-0.007354584420077453,0.0015721860678477029,0.0035034576803576354,0.6569577977439854,0.002400598814428647,-0.000321017138137954,1.0584857609425042,0.2693829855360861,10.576260588227008,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,0.1559898007659088,0.030756579691318064,-0.018142233421824756,0.0005579930480168471,0.003577112383483441,0.23185610257071249,0.002433553627187828,-0.000321017138137954,1.0584857609425042,0.5230426492614362,13.41102420917018,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,0.6634895604446357,0.28610289298748265,-0.008183302799343792,0.002341266605084824,0.003528716568676425,0.9901327724840143,0.002368132431981695,-0.000321017138137954,1.0584857609425042,0.20386465761934158,10.79548494630212,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,0.5752391627099938,0.21206947573502272,-0.009384653074282755,0.001990198457418213,0.0034597756662502646,0.8450101209142362,0.002359985896040635,-0.000321017138137954,1.0584857609425042,0.4906748363090811,15.23008950369606,Asia and Pacific_AS51,Asia and Pacific,train
AWC AT Equity,0.07127557431445596,0.013754144570414266,-0.018472352341611823,0.0002540714046621595,0.0035646349693548426,0.1041336294533629,0.002500551389710393,-0.000321017138137954,1.0584857609425042,-0.056721368709311604,5.543945919052113,Asia and Pacific_AS51,Asia and Pacific,train
BEN AT Equity,0.2980296652384262,0.07955732562306782,-0.013080475835507878,0.0010406476753501703,0.0034917586962950266,0.43741120769365044,0.0023918071866002428,-0.000321017138137954,1.0584857609425042,0.599186206023381,13.884392396640866,Asia and Pacific_AS51,Asia and Pacific,train
