,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,-0.015976319345598785,-0.0031714793529281802,-0.002694768441472678,-8.54640247305305e-06,0.000534941890442835,-0.02250819676193415,0.00037334769836864617,-4.5039383408667953e-05,0.9789064424631821,0.1793051245281514,18.467851453132905,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,-0.5065556818470804,-0.040756287223477676,-0.011430643998870272,-0.00046587060996727825,0.0009196829226523527,-0.6288483234411287,0.0007403308302648712,-4.5039383408667953e-05,0.9789064424631821,-5.826613267528277,168.09701306138936,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,-0.147886158329542,-0.014788637254059236,-0.004246743271931755,-6.280354575971536e-05,0.00042467494232805163,-0.2164050736090737,0.00028980537425283876,-4.5039383408667953e-05,0.9789064424631821,0.9803881798172437,24.62409836540572,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,0.1327997713735059,0.031511275968048084,-0.0007193507991621757,2.2667661550235252e-05,0.00017069051637507218,0.19550490578686205,0.00011601739879013566,-4.5039383408667953e-05,0.9789064424631821,0.7236098807912609,18.175303173804124,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,-0.005506698926121813,-0.0011810747288256665,-0.0023722038995547473,-2.8017500773858117e-06,0.0005087894063166065,-0.007514279809367496,0.00035563520098580274,-4.5039383408667953e-05,0.9789064424631821,-0.45475773936395836,152.59345452973267,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,0.19343565031395302,0.06621257148166643,-0.0008550673584781309,5.661620859487293e-05,0.00029268756045218545,0.2840905907078216,0.00019943440381122577,-4.5039383408667953e-05,0.9789064424631821,0.2027996657927958,25.83366217339964,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,0.07984933962485731,0.028214741697559064,-0.0008899112193247749,2.5108615187008354e-05,0.0003144498790468641,0.12521324255391147,0.00020091908430778054,-4.5039383408667953e-05,0.9789064424631821,2.681047245621789,59.26616123178491,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,-0.12286535066749538,-0.015439504586872722,-0.011842648286126646,-0.00018284462253437272,0.0014881707620661613,-0.17995283190646164,0.0010100103983390054,-4.5039383408667953e-05,0.9789064424631821,1.2701011764506396,161.68489536553565,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,0.20935374552460187,0.06186253795829582,-0.000630261327450038,3.898956529302389e-05,0.00018623772503005966,0.31941120589633437,0.0001221189066794128,-4.5039383408667953e-05,0.9789064424631821,1.0950938221293007,16.13049241465122,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,-0.053069470961923486,-0.011713052736139132,-0.003973116530048596,-4.653732344328532e-05,0.0008769132723534237,-0.07819759508206504,0.0005902230899390535,-4.5039383408667953e-05,0.9789064424631821,3.134038849996913,145.1004473284497,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,-0.24819215253384957,-0.0341418599607941,-0.0027205182745391266,-9.288355395009606e-05,0.00037424049472083203,-0.35257617929301766,0.0002632561176796526,-4.5039383408667953e-05,0.9789064424631821,0.8327648978202568,36.70832757227384,Asia and Pacific_AS51,Asia and Pacific,train
