,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,-0.06323778391473121,-0.013641863673734952,-0.026800392765379044,-0.0003656073045078534,0.005781469271611925,-0.08576466583590493,0.004068856002459121,-0.00048386158271435787,0.969646460128491,-0.009493601755145827,26.434647400064417,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,-0.3559978481769599,-0.03416815513174509,-0.11175724971880291,-0.003818539045489233,0.010726298108383815,-0.4450091637098021,0.008467490200028667,-0.00048386158271435787,0.969646460128491,-7.227486194541751,290.0059107722693,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,-0.10266769773369035,-0.013251890118398063,-0.03583874954687436,-0.0004749311709759674,0.004625906506717341,-0.14725284793439952,0.003153410492416649,-0.00048386158271435787,0.969646460128491,1.3388286386502573,48.50993948687783,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,0.1530433267313152,0.034315311957534185,-0.007041589862026589,0.0002416343527924525,0.0015788623911493298,0.22482448119359572,0.0010801822751241121,-0.00048386158271435787,0.969646460128491,0.49083941199809733,13.131007464383444,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,-0.0672582584659062,-0.016063783156886807,-0.02930945658474813,-0.0004708207550235821,0.007000192478403901,-0.09037544580164708,0.0049397390258445525,-0.00048386158271435787,0.969646460128491,-0.3583377589908354,188.97830711014657,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,0.22720344463691228,0.06841877564909023,-0.010819453634054186,0.0007402537708340873,0.0032581098055844485,0.3364609175272894,0.0022150795698718077,-0.00048386158271435787,0.969646460128491,-0.022041854665502597,32.3529478673558,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,0.08800766575747046,0.025465740991960133,-0.009645267504509697,0.0002456238840680136,0.00279093737976074,0.13511422287822633,0.0018464910821429756,-0.00048386158271435787,0.969646460128491,1.3295783037456603,32.969475378937865,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,-0.05383092695581323,-0.007778583226336127,-0.08251175432318171,-0.0006418245481538687,0.01192297038987841,-0.07581358589314716,0.007532531727725163,-0.00048386158271435787,0.969646460128491,2.9859561754656934,80.74164626498093,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,0.03687916473075525,0.009592766483693683,-0.007451481786068781,7.148032473125454e-05,0.0019382305768884127,0.05745477402620757,0.001276753796106627,-0.00048386158271435787,0.969646460128491,1.3999575309596615,21.357105965664708,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,-0.06958309324991627,-0.013888545837332842,-0.038564284465658724,-0.0005356018324852441,0.0076972984020926465,-0.09602849041757403,0.00527071430081978,-0.00048386158271435787,0.969646460128491,1.3706716976939441,38.49164908513258,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,-0.25330776728085425,-0.034798959727772576,-0.026107857617153337,-0.0009085262857977394,0.003586649930045033,-0.35517019916023523,0.002541055833624742,-0.00048386158271435787,0.969646460128491,0.6337330848192683,35.456059198124954,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,-0.10593689160328564,-0.013242569679417148,-0.01770167278213929,-0.00023441563525972153,0.002212785666182895,-0.15130683131359748,0.0015332770853515902,-0.00048386158271435787,0.969646460128491,0.3028028549379721,15.15671761813709,Asia and Pacific_AS51,Asia and Pacific,train
AWC AT Equity,0.013950722432126436,0.003099778141605315,-0.03483536522479797,0.00010798190367866667,0.0077402374109315246,0.025553531853524332,0.005397459374980642,-0.00048386158271435787,0.969646460128491,0.2377234394061334,18.340087077767684,Asia and Pacific_AS51,Asia and Pacific,train
BEN AT Equity,0.42523755186258977,0.2045180181448122,-0.006416789886490759,0.0013123491504367646,0.00308615536113526,0.672585345264776,0.00195700414213288,-0.00048386158271435787,0.969646460128491,1.9254451168341722,36.511376234857536,Asia and Pacific_AS51,Asia and Pacific,train
BHP AT Equity,0.012943436619838837,0.0027439978638650695,-0.016105477413602284,4.419339561945179e-05,0.0034143478982788158,0.021634904118435144,0.0023119925263658386,-0.00048386158271435787,0.969646460128491,0.6418455717773899,13.211606142002324,Asia and Pacific_AS51,Asia and Pacific,train
BKL AT Equity,-0.3686315954595397,-0.029406383939367047,-0.09371613824797623,-0.00275585274263479,0.007475899452404011,-0.5031248164860862,0.005429464484161511,-0.00048386158271435787,0.969646460128491,-0.41200199550003136,55.80839778158636,Asia and Pacific_AS51,Asia and Pacific,train
BKW AT Equity,0.10335456005139311,0.024954410005634524,-0.008346558981341368,0.00020828345495660372,0.0020152323695542284,0.14976366163960647,0.001404159295531834,-0.00048386158271435787,0.969646460128491,0.20122307774670728,76.72779509116087,Asia and Pacific_AS51,Asia and Pacific,train
BLD AT Equity,0.21956188491493064,0.06844228208375781,-0.01259342705257375,0.0008619228867334794,0.003925648967112083,0.32059893902390924,0.0027113533723348324,-0.00048386158271435787,0.969646460128491,0.06246535744051395,56.02695700967109,Asia and Pacific_AS51,Asia and Pacific,train
BOQ AT Equity,0.1061056717220382,0.03729363563130015,-0.008858139176153587,0.0003303522148068172,0.003113426543985611,0.16019709183606468,0.0020920682531978367,-0.00048386158271435787,0.969646460128491,0.7469053936026113,23.40450345943834,Asia and Pacific_AS51,Asia and Pacific,train
BPT AT Equity,0.02804074396439559,0.005717843866168148,-0.04596670681005053,0.00026283045258179705,0.00937316259923499,0.047888002764782236,0.00640464302172782,-0.00048386158271435787,0.969646460128491,0.6264586772789202,12.558521532506845,Asia and Pacific_AS51,Asia and Pacific,train
BRG AT Equity,-0.16707680994131943,-0.03164615401265972,-0.04214176840463136,-0.0013336248932988015,0.007982106515962305,-0.23823873459888856,0.0054679215368715235,-0.00048386158271435787,0.969646460128491,1.0470137241300115,94.16436526947723,Asia and Pacific_AS51,Asia and Pacific,train
BWP AT Equity,0.13182659869855545,0.04727414166073401,-0.004122374349230308,0.00019488170896408974,0.0014783185706681305,0.20026840424122871,0.0009784630545018433,-0.00048386158271435787,0.969646460128491,1.1884539667013445,23.001441722637736,Asia and Pacific_AS51,Asia and Pacific,train
CBA AT Equity,0.1603034169680391,0.04228860468899192,-0.006558951363487695,0.0002773689013848557,0.0017302744172955267,0.24205889176823264,0.0011518980695678638,-0.00048386158271435787,0.969646460128491,0.7469462522783124,16.36799903664396,Asia and Pacific_AS51,Asia and Pacific,train
CCP AT Equity,-0.3559531394499167,-0.03571214843398511,-0.1724747470008352,-0.006159443766007855,0.017304086081461577,-0.4651813924886892,0.012959017708745003,-0.00048386158271435787,0.969646460128491,-3.7653719300427677,213.67712829356927,Asia and Pacific_AS51,Asia and Pacific,train
CGF AT Equity,0.06101686909350566,0.01210459016664821,-0.04775147836236171,0.0005780120754279583,0.009472988109930391,0.09586201964552411,0.006495764973666147,-0.00048386158271435787,0.969646460128491,0.5538611703937518,75.14119061301244,Asia and Pacific_AS51,Asia and Pacific,train
CIM AT Equity,-0.049667747809442456,-0.008389953177827057,-0.04439128730894024,-0.0003724408220254771,0.007498645266831919,-0.06786194776161013,0.005075504243304952,-0.00048386158271435787,0.969646460128491,3.8732548681587033,229.63652593566835,Asia and Pacific_AS51,Asia and Pacific,train
COH AT Equity,-0.1032388953625207,-0.021313341831193423,-0.018109447321439955,-0.00038597284113583985,0.003738637843619948,-0.14615784695209325,0.00259350267104015,-0.00048386158271435787,0.969646460128491,1.0910212977540716,42.12566803677904,Asia and Pacific_AS51,Asia and Pacific,train
CPU AT Equity,-0.2087207155004152,-0.029009347205528252,-0.04356801558979992,-0.0012638796913003736,0.006055362968022498,-0.2867835814003477,0.004345949458572393,-0.00048386158271435787,0.969646460128491,0.3686890428403047,84.3755985578198,Asia and Pacific_AS51,Asia and Pacific,train
CQR AT Equity,0.23338212384780313,0.04355846362959924,-0.04705976899763831,0.00204985123630097,0.008783240132126623,0.35596767803452684,0.005860931951534886,-0.00048386158271435787,0.969646460128491,1.769713377960382,92.50666229116764,Asia and Pacific_AS51,Asia and Pacific,train
CSL AT Equity,-0.5470882138323457,-0.043360136327643364,-0.0700412699435593,-0.0030369990133140012,0.005551205338605017,-0.7351029409106199,0.004116696426763623,-0.00048386158271435787,0.969646460128491,-0.1744750628995138,35.581777254872655,Asia and Pacific_AS51,Asia and Pacific,train
CSR AT Equity,-0.10291680477085861,-0.013491409832150721,-0.03760730345193183,-0.0005073755435520688,0.004929958180121568,-0.14113042592348948,0.0035098988569738808,-0.00048386158271435787,0.969646460128491,-0.06201245189010397,11.615417633486357,Asia and Pacific_AS51,Asia and Pacific,train
DOW AT Equity,0.3963439233976527,0.10143141793932103,-0.023199371770102145,0.0023531451739429166,0.005937129434887289,0.6076658495891731,0.0038968919724302956,-0.00048386158271435787,0.969646460128491,1.1785875416678677,56.134846122618725,Asia and Pacific_AS51,Asia and Pacific,train
ELD AT Equity,-0.17486417175720728,-0.032797774561878115,-0.10359183841253664,-0.003397581762704882,0.019429833616358555,-0.24659854726888342,0.013036652336141345,-0.00048386158271435787,0.969646460128491,1.4215241394248181,103.75310137497749,Asia and Pacific_AS51,Asia and Pacific,train
