,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,-0.21294021261630194,-0.02880756729874236,-0.25511907330329586,-0.007349359873377481,0.03451372468863047,-0.2790893028916821,0.024297685178755205,-0.002782902138318547,0.9501722896433813,0.4218860130458746,13.87955371085879,Europe_AEX,Europe,train
AD NA Equity,0.09802620124448429,0.017348578265869434,-0.27819524844603605,0.004826292040859048,0.04923471459249894,0.17469417428407394,0.03453947298801257,-0.002782902138318547,0.9501722896433813,-2.1947802994556604,298.9605616017239,Europe_AEX,Europe,train
AGN NA Equity,0.1259179649046586,0.038727572979602366,-0.2077993601483421,0.008047564885259595,0.06391117336873238,0.23532294803555004,0.04271179190631325,-0.002782902138318547,0.9501722896433813,1.2584852625319867,34.669507605238344,Europe_AEX,Europe,train
AKZA NA Equity,0.4658243754442215,0.14335636642070101,-0.04752078911015564,0.006812407656276331,0.014624412150566085,0.7627621419133584,0.009040976933486093,-0.002782902138318547,0.9501722896433813,3.08208598800934,64.35515224047995,Europe_AEX,Europe,train
ASML NA Equity,-0.19099533923378378,-0.03995756890765683,-0.26781826770887185,-0.010701366886706531,0.05602946610968214,-0.2378495508791183,0.038641255460377236,-0.002782902138318547,0.9501722896433813,0.4442307939116598,19.585338042407148,Europe_AEX,Europe,train
DSM NA Equity,-0.07086188955971558,-0.014364408949282557,-0.07443136410847308,-0.0010691625527070592,0.015087976899149322,-0.08973637523967876,0.01065259023499192,-0.002782902138318547,0.9501722896433813,-0.04052688113918912,12.635702439619495,Europe_AEX,Europe,train
HEIA NA Equity,-0.06308407035492317,-0.013479363854278061,-0.058264631948561824,-0.000785370173870259,0.012449579893174531,-0.08078754632537201,0.008766142012723854,-0.002782902138318547,0.9501722896433813,0.013744769214920162,19.046076647519843,Europe_AEX,Europe,train
INGA NA Equity,0.15375838249918733,0.03498802532122986,-0.28701834673942106,0.010042205183376396,0.06531159485519089,0.28605147539748044,0.04235110956134072,-0.002782902138318547,0.9501722896433813,1.8497578924866864,41.537309045683244,Europe_AEX,Europe,train
KPN NA Equity,-0.18385247373805938,-0.026938084221367058,-0.4981814391130781,-0.013420053564349943,0.07299359802724184,-0.21120317309130712,0.05136316665823739,-0.002782902138318547,0.9501722896433813,0.3820439463916764,66.61556231164191,Europe_AEX,Europe,train
MT NA Equity,-0.20575703714545637,-0.04165035302456643,-0.5130282098976345,-0.021367806053797844,0.10384969744044402,-0.22133012698974114,0.07320647815454549,-0.002782902138318547,0.9501722896433813,-0.05983612939239011,18.898731032302205,Europe_AEX,Europe,train
PHIA NA Equity,0.11183056784897419,0.029200581199833587,-0.09856289110815598,0.0028780937050940647,0.025736198612358787,0.17698740649255817,0.01810955378727658,-0.002782902138318547,0.9501722896433813,-0.18082352061997678,18.36987612077248,Europe_AEX,Europe,train
RAND NA Equity,-0.215020112427564,-0.03272901095936959,-0.3088687958915138,-0.010108970205740642,0.0470140680869849,-0.2666622704404439,0.033954919048151656,-0.002782902138318547,0.9501722896433813,-0.2793595921858487,17.66953981857597,Europe_AEX,Europe,train
RDSA NA Equity,0.09536898419062517,0.021895379262301413,-0.11877512662726396,0.0026006264444318195,0.02726910081409321,0.16590234206296867,0.017889331312918443,-0.002782902138318547,0.9501722896433813,2.7824164908997124,128.73855385039926,Europe_AEX,Europe,train
REN NA Equity,0.10417430144325274,0.01718288348615497,-0.07060101656790177,0.0012131290416903528,0.011645185279703414,0.16127074323121243,0.00793800473214938,-0.002782902138318547,0.9501722896433813,0.6640759359690263,22.84386490467994,Europe_AEX,Europe,train
UNA NA Equity,0.6198678881345019,0.20237862832539474,-0.026767828456182696,0.005417236406211723,0.00873934028509679,0.9825900566356133,0.005537237684140624,-0.002782902138318547,0.9501722896433813,1.4098628920570113,24.165576137492447,Europe_AEX,Europe,train
VPK NA Equity,-0.14549705061713866,-0.015966115649670237,-0.1875174075358461,-0.002993924615043664,0.020577218592024146,-0.188264086753675,0.014802348520441362,-0.002782902138318547,0.9501722896433813,0.18260460141473997,23.849318077198618,Europe_AEX,Europe,train
WKL NA Equity,0.056296792443386694,0.012811380900769675,-0.07163399454617113,0.0009177303895746558,0.016301646146137827,0.09842135160079347,0.010668212977024246,-0.002782902138318547,0.9501722896433813,2.0027307559830274,43.86171834804647,Europe_AEX,Europe,train
ALPHA GA Equity,0.10761840301902763,0.025204435317510748,-0.15206964032049558,0.0038328294132150553,0.035614999904220714,0.18988102228976128,0.023479721320372317,-0.0013239976498348916,0.9451963788153565,1.3977409835344194,33.504142627896194,Europe_ASE,Europe,train
ASCO GA Equity,-0.018246381563553057,-0.005258356098522754,-0.051063532576853636,-0.00026851023793761364,0.014715807460365722,-0.015566063833697751,0.010298435063165693,-0.0013239976498348916,0.9451963788153565,0.2847138754757457,14.633901223003761,Europe_ASE,Europe,train
AVAX GA Equity,-0.09413070310648367,-0.014572379731783944,-0.11245225400221859,-0.00163869694701535,0.017408740112794054,-0.1193359244588868,0.012472523360713283,-0.0013239976498348916,0.9451963788153565,-0.9463388961749809,49.403093114937874,Europe_ASE,Europe,train
BELA GA Equity,-0.11376206885840634,-0.011566975401834476,-0.08419349878272293,-0.000973864129414137,0.008560534624473598,-0.1540294156951039,0.00608781118607112,-0.0013239976498348916,0.9451963788153565,0.02397001323086973,12.535930426880066,Europe_ASE,Europe,train
EKTER GA Equity,0.3635091808961992,0.09386228726622411,-0.05844368329106343,0.005485657789962017,0.01509083698089171,0.5729348729445025,0.009747121599287126,-0.0013239976498348916,0.9451963788153565,1.4596214328736739,27.144845435724253,Europe_ASE,Europe,train
ELLAKTOR GA Equity,0.19278732070000387,0.058175459385872604,-0.048939483330078075,0.0028470769248345462,0.014767967698793218,0.30351549632194785,0.009725988574129731,-0.0013239976498348916,0.9451963788153565,1.2975420361080228,50.660424421170454,Europe_ASE,Europe,train
ELPE GA Equity,-0.24894336425979113,-0.02990089627506152,-0.05267402441662458,-0.0015750005404715495,0.006326742410486258,-0.3356631591558299,0.00463626220521834,-0.0013239976498348916,0.9451963788153565,-0.8114191102829037,58.71348874279047,Europe_ASE,Europe,train
