,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,-0.18517541436778082,-0.025342214663424727,-0.25139592131589833,-0.006370929403496928,0.034404834060981174,-0.24046764039680332,0.024119145781571025,-0.0027724703138079934,0.953570982883985,0.49550560772430974,15.04856333747675,Europe_AEX,Europe,train
AD NA Equity,0.10627437083965696,0.019013584288038156,-0.2727083366912045,0.005185162945728905,0.048790342438743736,0.18710340083592797,0.034037801672426406,-0.0027724703138079934,0.953570982883985,-2.074120057009515,288.44878453062,Europe_AEX,Europe,train
AGN NA Equity,0.1506534828498285,0.04333320833607183,-0.22136988866548088,0.009592667504874308,0.06367371881097689,0.27071310649114666,0.04273376496120201,-0.0027724703138079934,0.953570982883985,1.0752567823158483,32.92942141566989,Europe_AEX,Europe,train
AKZA NA Equity,0.3336082600110436,0.08462836850103467,-0.056098568361407246,0.004747530315669657,0.014230853623086242,0.5294019209595234,0.009137535421330221,-0.0027724703138079934,0.953570982883985,2.5334716296825195,61.607102467246904,Europe_AEX,Europe,train
ASML NA Equity,-0.18395122119279253,-0.036885459123443445,-0.2800935599627776,-0.01033137955674679,0.0561636910576356,-0.22624851543348243,0.03893460407337465,-0.0027724703138079934,0.953570982883985,0.31730512409360634,21.231358923263585,Europe_AEX,Europe,train
DSM NA Equity,-0.03283399061257577,-0.00735567252869625,-0.06730034031519636,-0.0004950392644283985,0.015077036180877544,-0.03593846634340153,0.010615831302144635,-0.0027724703138079934,0.953570982883985,-0.07468674611332977,13.399487354172106,Europe_AEX,Europe,train
HEIA NA Equity,0.05962891808785733,0.014390054817569567,-0.051286938212980235,0.000738021852310089,0.012376911672666718,0.09404737253521386,0.008658732857124556,-0.0027724703138079934,0.953570982883985,0.00546899984659476,17.449811242749924,Europe_AEX,Europe,train
INGA NA Equity,0.17242665016205092,0.03932767165854282,-0.2827108218422338,0.011118358375728166,0.06448167012047645,0.3134249600944682,0.041880677100846295,-0.0027724703138079934,0.953570982883985,1.768388073517461,38.573063768288314,Europe_AEX,Europe,train
KPN NA Equity,-0.176527207175043,-0.026141118028998156,-0.4902457763086012,-0.012815572701700972,0.07259828616102872,-0.2012591562421564,0.05099833893354627,-0.0027724703138079934,0.953570982883985,0.31552722209346645,64.0890696167229,Europe_AEX,Europe,train
MT NA Equity,-0.21640062561327245,-0.043570304819637855,-0.5161955244625586,-0.022490796347366504,0.1039312907882235,-0.2365403958721782,0.07331326391698381,-0.0027724703138079934,0.953570982883985,-0.09275194481074488,19.095381284542068,Europe_AEX,Europe,train
