,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,0.494954050354896,0.1142206557068367,-0.07601871866003401,0.008682907891342628,0.01754285652398791,0.7349136139624236,0.011973374199776517,-0.0016719572355247492,1.013072123262803,0.21913958380599993,6.3073209366871,Europe_AEX,Europe,train
AD NA Equity,0.13210197513981026,0.023047174147415424,-0.10516809412502388,0.0024238273800512022,0.018348153973367486,0.19287103278856157,0.01342565728828018,-0.0016719572355247492,1.013072123262803,-1.6467113774890885,40.23424618242247,Europe_AEX,Europe,train
AGN NA Equity,-0.15269173469438813,-0.02836458209156611,-0.10045370398642836,-0.002849327333124929,0.01866065205708643,-0.2016325496115184,0.013288059944030324,-0.0016719572355247492,1.013072123262803,0.06899620861525248,9.115385846119048,Europe_AEX,Europe,train
AKZA NA Equity,0.17546456171621783,0.04038762720142704,-0.07764281003224931,0.0031358088664537043,0.017871465530032826,0.2695146397316347,0.012209103893053005,-0.0016719572355247492,1.013072123262803,0.45919588019243496,9.265089801911707,Europe_AEX,Europe,train
ASML NA Equity,0.654434502856677,0.22659799617778872,-0.05034884403849166,0.011408947168990213,0.017433291061502612,0.9893824612686087,0.011619874588006214,-0.0016719572355247492,1.013072123262803,0.33819992956554706,3.8269992796585477,Europe_AEX,Europe,train
DSM NA Equity,0.494927342926823,0.1616119020516651,-0.052966898368566585,0.008560081191121283,0.01729563200226528,0.7199677342547465,0.01204685171548631,-0.0016719572355247492,1.013072123262803,-0.09658484862276487,6.017464629936715,Europe_AEX,Europe,train
HEIA NA Equity,0.31316967608356416,0.0940019520006263,-0.05830655565255858,0.005480930045773658,0.017501471133211384,0.46360955872817333,0.012120424366124812,-0.0016719572355247492,1.013072123262803,0.0006430571776745578,7.016471456351292,Europe_AEX,Europe,train
INGA NA Equity,0.04107107708130742,0.009310899245807126,-0.08245687257311576,0.0007677476326526378,0.018693145814821132,0.07163635479532476,0.013151491341305305,-0.0016719572355247492,1.013072123262803,0.11758070122101044,11.29427374649174,Europe_AEX,Europe,train
KPN NA Equity,-0.0593552408615662,-0.01094231332563906,-0.09464969582578861,-0.0010356866279022103,0.017448949964127596,-0.07312315673953394,0.012090070868102225,-0.0016719572355247492,1.013072123262803,0.45405377609534536,11.682274801769884,Europe_AEX,Europe,train
MT NA Equity,0.13899320379674335,0.0271391166380175,-0.09245765354289491,0.002509219043578037,0.018052818231655356,0.21497081726418316,0.012415565512547298,-0.0016719572355247492,1.013072123262803,0.21593171906624278,5.576131158718672,Europe_AEX,Europe,train
PHIA NA Equity,0.2280609397325189,0.06845926372163659,-0.05929462337551968,0.00405926625893982,0.017799042061743355,0.3425398842374986,0.012288894366483947,-0.0016719572355247492,1.013072123262803,0.15706071480979647,4.428695707272681,Europe_AEX,Europe,train
RAND NA Equity,0.20021647977425627,0.042446895168196525,-0.08453715177454492,0.003588339619192027,0.01792229901973041,0.2958754123079667,0.012649081491618794,-0.0016719572355247492,1.013072123262803,-0.2893831979212154,11.490515389658926,Europe_AEX,Europe,train
RDSA NA Equity,0.008711494936825761,0.0024553174057353063,-0.06260889334555542,0.0001537247055851676,0.017646191233531363,0.024314627634957828,0.012724965462041892,-0.0016719572355247492,1.013072123262803,-0.19540553802360403,9.676736395574755,Europe_AEX,Europe,train
REN NA Equity,0.3314932753884232,0.1256981028459119,-0.04595598249195643,0.005776579813658866,0.017425933623812517,0.4843955550369121,0.01220457360553859,-0.0016719572355247492,1.013072123262803,-0.1270341860343978,7.344824739625256,Europe_AEX,Europe,train
UNA NA Equity,0.29528862327952515,0.13838953883879962,-0.03722421667189737,0.005151442178859433,0.017445447513848144,0.4319192818327173,0.012248620474429178,-0.0016719572355247492,1.013072123262803,-0.016070906346806055,5.4687496180518185,Europe_AEX,Europe,train
VPK NA Equity,0.3471903395130044,0.09772082422914882,-0.06191882326133584,0.006050758444396731,0.017427784577428006,0.517281786478962,0.01195561475309734,-0.0016719572355247492,1.013072123262803,0.09648568172431801,9.071835890014759,Europe_AEX,Europe,train
WKL NA Equity,0.33881017331082686,0.0754106838165825,-0.07992516796935796,0.0060272115707245,0.017789346499920748,0.4871999409780639,0.012658990001994023,-0.0016719572355247492,1.013072123262803,-0.5656593656230682,14.471385362902435,Europe_AEX,Europe,train
ALPHA GA Equity,-0.1306434480399459,-0.023068521174626783,-0.047209701865548126,-0.0010890580071332145,0.008336108878573239,-0.181894952671632,0.005799566645022335,-0.0007616516821940327,1.0808497803390524,0.17720124424575845,5.75903777511609,Europe_ASE,Europe,train
ASCO GA Equity,0.25502984450255256,0.05797738642444556,-0.03683167075096727,0.0021354040077867786,0.008373153392897927,0.3886046450701662,0.005579389169506649,-0.0007616516821940327,1.0808497803390524,0.6597689778557219,10.821027303855171,Europe_ASE,Europe,train
AVAX GA Equity,-0.08757844964814669,-0.013558352304190198,-0.052731568574342164,-0.0007149531842834955,0.008163574339987476,-0.11863795495234054,0.005747661832617749,-0.0007616516821940327,1.0808497803390524,-0.07414672787432419,6.978006312775962,Europe_ASE,Europe,train
BELA GA Equity,0.4970153877597438,0.12565938541076865,-0.03213726992604316,0.004038349587686563,0.00812520032003253,0.7476219559326054,0.00543489862873232,-0.0007616516821940327,1.0808497803390524,0.2741960837021355,3.5047279626138037,Europe_ASE,Europe,train
EKTER GA Equity,0.14201042809171374,0.04284014982048142,-0.0272383895388936,0.0011668966887148358,0.008216978882432675,0.21922504909907842,0.005473669746827092,-0.0007616516821940327,1.0808497803390524,0.5871036005429352,10.527265274275795,Europe_ASE,Europe,train
ELLAKTOR GA Equity,0.02156845465495671,0.004224214026329504,-0.04130213474763568,0.00017446905691831383,0.008089084716981268,0.037056728897505886,0.005590428036496221,-0.0007616516821940327,1.0808497803390524,0.1585265817945265,6.625271271221759,Europe_ASE,Europe,train
ELPE GA Equity,0.06696092386808,0.023289704421948533,-0.023289536572944483,0.0005424064229080372,0.008100342581542548,0.10258898744208651,0.005605478837224922,-0.0007616516821940327,1.0808497803390524,0.1301430960811961,4.168386862530554,Europe_ASE,Europe,train
ELTON GA Equity,0.2781681985583737,0.07609769908211715,-0.03162289112258793,0.0024064292527532505,0.008650986220656206,0.44623216531849674,0.00547004578815192,-0.0007616516821940327,1.0808497803390524,3.8914271294901854,106.87889499954144,Europe_ASE,Europe,train
ETE GA Equity,-0.0210421297436722,-0.005832319926557201,-0.04236186538712046,-0.0002470679516234364,0.011741584841132103,-0.03046069720071562,0.0058781269490673525,-0.0007616516821940327,1.0808497803390524,26.464118574185623,1398.5640049897258,Europe_ASE,Europe,train
EUPIC GA Equity,0.12114435170127782,0.02137676751392679,-0.04756538301474194,0.0010167941344170206,0.0083932442589174,0.18410601066199134,0.005711343218311435,-0.0007616516821940327,1.0808497803390524,0.31388599100262565,7.746444409067633,Europe_ASE,Europe,train
EUROB GA Equity,0.036499865544717784,0.011066769118762792,-0.04623026054575283,0.0005116196197600953,0.014017027518451675,0.1055267972305303,0.005757088559131005,-0.0007616516821940327,1.0808497803390524,39.2642309837355,2366.503762377267,Europe_ASE,Europe,train
EXAE GA Equity,0.01960267455639063,0.003684362027607756,-0.04376330955122806,0.0001612398759129885,0.008225401867951891,0.034199209686634945,0.005703378553135531,-0.0007616516821940327,1.0808497803390524,-0.12652008020150882,9.959063196813837,Europe_ASE,Europe,train
EYAPS GA Equity,0.4069328775587239,0.14115048581810383,-0.024202329188516537,0.003416170522888784,0.008394923859146282,0.6514859618561252,0.005288775880511434,-0.0007616516821940327,1.0808497803390524,3.18093007515769,75.17846899568937,Europe_ASE,Europe,train
EYDAP GA Equity,0.23246749656675336,0.06844010170144252,-0.027406935288023265,0.001875733438437166,0.008068798718699784,0.35121928719727624,0.005428308835370754,-0.0007616516821940327,1.0808497803390524,0.3085979912005307,4.157616271562802,Europe_ASE,Europe,train
FLEXO GA Equity,-0.05536473802527712,-0.00837733689293918,-0.062310845544146544,-0.0005219989452072138,0.009428364764751382,-0.06667002515807816,0.007164126101698716,-0.0007616516821940327,1.0808497803390524,-3.5454566100781086,78.02722374254664,Europe_ASE,Europe,train
FOYRK GA Equity,0.06716222828212451,0.01009373544715603,-0.0543772877011564,0.000548869956389364,0.00817230116433537,0.10324515318359401,0.005638073829499179,-0.0007616516821940327,1.0808497803390524,0.3017855191896807,6.06693864654566,Europe_ASE,Europe,train
GEKTERNA GA Equity,0.20446405796366818,0.03719530435140977,-0.04462479249590749,0.0016598327385037859,0.008117968287603519,0.30524120805346033,0.005541211187510019,-0.0007616516821940327,1.0808497803390524,0.07652699993912977,6.345120353708193,Europe_ASE,Europe,train
HTO GA Equity,0.09920433432271016,0.015144692476227854,-0.05332856119091173,0.0008076446594360576,0.008141223515585539,0.1477312674355623,0.005689065860207143,-0.0007616516821940327,1.0808497803390524,0.07606749764781069,5.19679481904133,Europe_ASE,Europe,train
IASO GA Equity,-0.03412655542614286,-0.005419684511862289,-0.05327712363209846,-0.0002887452017854564,0.008461012199439892,-0.04418411924905369,0.005726134868866119,-0.0007616516821940327,1.0808497803390524,0.4399116292204214,10.522682137788587,Europe_ASE,Europe,train
IATR GA Equity,-0.06643150286376709,-0.008789451020523519,-0.062257201231953184,-0.000547206620903129,0.008237155525824859,-0.09310213361168765,0.005514855543262088,-0.0007616516821940327,1.0808497803390524,0.7220515667829799,8.976478978069194,Europe_ASE,Europe,train
IKTIN GA Equity,0.29638240812694167,0.09293787780043244,-0.02592675535323243,0.002409577620780423,0.00812996168027757,0.45134293354007143,0.005405488792367224,-0.0007616516821940327,1.0808497803390524,0.3150745791634897,8.288084537734278,Europe_ASE,Europe,train
INKAT GA Equity,-0.11304546410516614,-0.017672371988614845,-0.05709335979667145,-0.0010089750924066054,0.008925392101251903,-0.1527895484987813,0.006346238293364076,-0.0007616516821940327,1.0808497803390524,-1.2586598848464843,57.10456310644442,Europe_ASE,Europe,train
INLOT GA Equity,-0.020268350661729797,-0.003215804315635591,-0.05077075731562533,-0.0001632688204836752,0.008055357991805193,-0.02300787583819611,0.005686811222563114,-0.0007616516821940327,1.0808497803390524,-0.17997670681145864,5.624076541216276,Europe_ASE,Europe,train
INTRK GA Equity,-0.06252971279539783,-0.007818227527130591,-0.06400964394771412,-0.0005004419603138466,0.008003266574265777,-0.08535633736867233,0.005489317837880931,-0.0007616516821940327,1.0808497803390524,0.1737135866381211,4.681388188383565,Europe_ASE,Europe,train
KARTZ GA Equity,0.2854799954734532,0.06355111250848748,-0.035912219830465886,0.002282261522875473,0.007994470922876628,0.4409791225290848,0.005242001768873755,-0.0007616516821940327,1.0808497803390524,0.7418759838282282,12.532440217733509,Europe_ASE,Europe,train
KEKR GA Equity,0.05138637196285246,0.012041608609464582,-0.03498499322790414,0.00042127559565519057,0.008198196906365241,0.08271413027678301,0.005498222821782892,-0.0007616516821940327,1.0808497803390524,0.4957263291705727,6.126103307091483,Europe_ASE,Europe,train
KRI GA Equity,0.5366933540804413,0.22034316121096467,-0.017849731777832535,0.0039330663266954335,0.007328330594729021,0.8406366937078259,0.004701461295256793,-0.0007616516821940327,1.0808497803390524,1.064740130826254,12.82220544277034,Europe_ASE,Europe,train
LAMDA GA Equity,0.16718788129694342,0.03651787989652712,-0.037088111709317625,0.001354379208989842,0.008100941279256485,0.2539050004837785,0.005459787464064268,-0.0007616516821940327,1.0808497803390524,0.521109204256495,8.528446912481185,Europe_ASE,Europe,train
MIG GA Equity,-0.08829393758443879,-0.01607139010388297,-0.045634031110454144,-0.0007334023159888403,0.008306372283912022,-0.12472137024063505,0.005605953555230812,-0.0007616516821940327,1.0808497803390524,0.3175056776896775,10.261424657508178,Europe_ASE,Europe,train
MLS GA Equity,0.056763036630661345,0.010925639022338063,-0.041497413853306186,0.0004533857641217942,0.007987341605274366,0.08177006074728817,0.005933613836063084,-0.0007616516821940327,1.0808497803390524,-1.4355056301166105,23.888476989571426,Europe_ASE,Europe,train
MOH GA Equity,0.13324421438230327,0.028857271361725747,-0.039016945880961294,0.0011259225949926677,0.008450067421030223,0.1959155029184867,0.005925962445919021,-0.0007616516821940327,1.0808497803390524,-0.059061874053380516,22.809737891325803,Europe_ASE,Europe,train
