,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,-0.2392021458069193,-0.028629145333068536,-0.220570330047377,-0.00631474003508925,0.026399178041598432,-0.3204445747366808,0.01868150961071099,-0.0023505152727955254,0.9590256909295075,0.3009225768915832,9.889031985591119,Europe_AEX,Europe,train
AD NA Equity,0.09058800754776085,0.015461844438431264,-0.2054180008100545,0.0031761411733786105,0.03506138681440862,0.15600356113739078,0.024274194811175178,-0.0023505152727955254,0.9590256909295075,-0.9396094356983098,226.89144032968767,Europe_AEX,Europe,train
AGN NA Equity,0.1415945020488794,0.047360271761721015,-0.13960590548207294,0.0066117736231721125,0.04669512959542512,0.24365555168059935,0.0315123935529878,-0.0023505152727955254,0.9590256909295075,0.9706669622320365,30.970060696180383,Europe_AEX,Europe,train
AKZA NA Equity,0.2097943921406231,0.0623651587617192,-0.05256328538379455,0.0032781176379979016,0.01562538256885633,0.33056855346065894,0.010269344168831981,-0.0023505152727955254,0.9590256909295075,1.3694924415379974,21.546821424708607,Europe_AEX,Europe,train
ASML NA Equity,-0.16440358993644336,-0.034816197210331946,-0.20602191728518343,-0.007172899701851643,0.04362982404839583,-0.20789636865177355,0.03005197913123732,-0.0023505152727955254,0.9590256909295075,0.4358470997254163,17.94594182216972,Europe_AEX,Europe,train
DSM NA Equity,0.04862205792836419,0.013227111556675011,-0.04992174104172587,0.0006603204378623495,0.013580676466537314,0.07992333521889412,0.00941272327443087,-0.0023505152727955254,0.9590256909295075,0.15670670229541223,8.826559671773195,Europe_AEX,Europe,train
HEIA NA Equity,-0.15135706418417422,-0.027321829348491075,-0.0676586452011076,-0.0018485579581347666,0.012213225514769535,-0.2038332556711901,0.008711484067744257,-0.0023505152727955254,0.9590256909295075,-0.07151319321635445,9.504235536405385,Europe_AEX,Europe,train
INGA NA Equity,0.1138712897905937,0.02472072798854559,-0.2204123246958174,0.005448753124128292,0.04785010457112065,0.21003574250591148,0.031304970291227655,-0.0023505152727955254,0.9590256909295075,1.5778544063604225,34.10722809853997,Europe_AEX,Europe,train
KPN NA Equity,-0.26936003895407046,-0.03507551878354914,-0.46137511111218743,-0.016182971376077604,0.060079332624528685,-0.33503576921550005,0.04330264747583642,-0.0023505152727955254,0.9590256909295075,-0.307743710661827,69.51661123072049,Europe_AEX,Europe,train
MT NA Equity,-0.28332229753432536,-0.04879068860727399,-0.4956098303469795,-0.024181144903163365,0.08534854162063875,-0.3382658958849725,0.061564545326409835,-0.0023505152727955254,0.9590256909295075,-0.6629521967923236,24.017282228180413,Europe_AEX,Europe,train
PHIA NA Equity,0.08043075099665259,0.019801109840224956,-0.09383165857957484,0.0018579709780246478,0.02310025649396179,0.1312770222105411,0.0161721252644027,-0.0023505152727955254,0.9590256909295075,-0.03756381487191629,10.182905633654242,Europe_AEX,Europe,train
RAND NA Equity,-0.21880686205801783,-0.030995175224126262,-0.2664780805667158,-0.008259534800554191,0.0377480611113747,-0.2748943287199901,0.027576095751153322,-0.0023505152727955254,0.9590256909295075,-0.6961038968970866,20.12507303759365,Europe_AEX,Europe,train
RDSA NA Equity,0.11265727296877834,0.023849347218306605,-0.10889494919681197,0.0025970734537146267,0.023052869870499846,0.18558528495084473,0.015404937087912835,-0.0023505152727955254,0.9590256909295075,1.8871135734392033,96.9767659300103,Europe_AEX,Europe,train
REN NA Equity,0.021039918314611203,0.0035102179035187884,-0.07028490462192283,0.00024671533055098394,0.011726059334538961,0.03905781352880799,0.008075462457893328,-0.0023505152727955254,0.9590256909295075,0.3942332905643094,14.018234809211307,Europe_AEX,Europe,train
UNA NA Equity,0.5455904323988761,0.24290321959504255,-0.019385778403150283,0.004708867988481247,0.008630774494664593,0.835758333517081,0.005665619225473786,-0.0023505152727955254,0.9590256909295075,0.6773634228842971,10.992908312060006,Europe_AEX,Europe,train
VPK NA Equity,-0.032579157618893656,-0.003857866895870963,-0.13720705509547848,-0.0005293265557327897,0.016247398472507373,-0.034645323284575515,0.011474260255657781,-0.0023505152727955254,0.9590256909295075,0.3391319937197015,19.453879212525013,Europe_AEX,Europe,train
WKL NA Equity,-0.14796586418365054,-0.02321265009863148,-0.09864879419909893,-0.00228989994239559,0.015475866376541003,-0.20878280656283324,0.010407414728309672,-0.0023505152727955254,0.9590256909295075,1.3694488523683683,27.466734326869368,Europe_AEX,Europe,train
ALPHA GA Equity,0.026009089713976738,0.005490759659040979,-0.13523841206400256,0.0007425616173137861,0.028550080970913376,0.060556548658947926,0.018976224873655488,-0.0011050625679543283,0.9628402441122536,1.3473925788493708,38.03630655474924,Europe_ASE,Europe,train
ASCO GA Equity,-0.03203327931472863,-0.009561490473316798,-0.04030805124795921,-0.00038540504800532727,0.012031395356644653,-0.03717879610867245,0.008422161053183094,-0.0011050625679543283,0.9628402441122536,0.31471464646250424,11.245273227931524,Europe_ASE,Europe,train
AVAX GA Equity,-0.1357991560092429,-0.021355844562739427,-0.08842353491440026,-0.0018883592673198946,0.013905530216928353,-0.18112137555292235,0.009901871747702747,-0.0011050625679543283,0.9628402441122536,-0.5296018938680158,37.1151836058957,Europe_ASE,Europe,train
BELA GA Equity,-0.22008859315321688,-0.02342949902728266,-0.07535594032622037,-0.0017655519305731504,0.008022005617274511,-0.30562391269971434,0.005676704199238644,-0.0011050625679543283,0.9628402441122536,0.1119619210127108,6.758339332252058,Europe_ASE,Europe,train
EKTER GA Equity,0.3392263775045053,0.10179405049194847,-0.04310841797175147,0.0043881804756444875,0.01293584687584092,0.5155357218883266,0.008655544093055013,-0.0011050625679543283,0.9628402441122536,0.6281367107446245,14.99670986577214,Europe_ASE,Europe,train
ELLAKTOR GA Equity,0.10483503611952975,0.03130333847305178,-0.040954426680435904,0.0012820102803474676,0.012228834250467162,0.16453381034617384,0.008241008562790956,-0.0011050625679543283,0.9628402441122536,0.7101561241360418,35.761728947469564,Europe_ASE,Europe,train
ELPE GA Equity,-0.014194352349429406,-0.0030666838458626037,-0.026931311700717026,-8.258981854047942e-05,0.005818498548389171,-0.01592893356939972,0.0041224978567854734,-0.0011050625679543283,0.9628402441122536,-0.4176008947102334,31.072049369042986,Europe_ASE,Europe,train
