,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,0.31418062659667695,0.1315619752757661,-0.7786703919517858,0.10244341485393194,0.3260653464334757,0.6874277742567275,0.21882374705593194,-0.03112160229166875,1.0296212438482342,0.44710318432902657,5.806801563192138,Europe_AEX,Europe,train
AD NA Equity,-0.15964410543462776,-0.06185921625816877,-0.8969512744825556,-0.05548470286125651,0.3475524680989665,0.022760363762923234,0.2580200180212978,-0.03112160229166875,1.0296212438482342,-1.911316764804445,41.00584617660031,Europe_AEX,Europe,train
AGN NA Equity,-0.33462895433605333,-0.12872177080847283,-0.9093591735785326,-0.11705432312395814,0.3498033317415969,-0.258796279440123,0.24492273842736248,-0.03112160229166875,1.0296212438482342,0.2847138573008327,7.891771984312369,Europe_AEX,Europe,train
AKZA NA Equity,-0.05239239699585696,-0.02183404871165217,-0.7910319950957913,-0.017271431113396907,0.32965529549569345,0.1640151729535942,0.22271178732049404,-0.03112160229166875,1.0296212438482342,0.6372400627871612,8.014675535461848,Europe_AEX,Europe,train
ASML NA Equity,0.3109567462560132,0.15328563836934458,-0.6574823109106334,0.10078259574448833,0.3241048697541786,0.685888433563665,0.2162370794563174,-0.03112160229166875,1.0296212438482342,0.3620918529739994,2.8542560042696046,Europe_AEX,Europe,train
DSM NA Equity,0.23440971746972905,0.11886215283544485,-0.6333195514038106,0.0752777253126351,0.32113739193579394,0.5566077397768089,0.22315458610724187,-0.03112160229166875,1.0296212438482342,-0.01781816621246663,5.257128492731738,Europe_AEX,Europe,train
HEIA NA Equity,0.11238168308390038,0.0513702262437778,-0.7115641757097286,0.03655321269317602,0.3252595235282837,0.39669808395366724,0.2240353130750652,-0.03112160229166875,1.0296212438482342,-0.006197684905260817,6.351292512842161,Europe_AEX,Europe,train
INGA NA Equity,-0.14949565094344,-0.06091090425230752,-0.8598390320929105,-0.05237357295620804,0.3503350942029945,0.03075993737391729,0.24539763627213215,-0.03112160229166875,1.0296212438482342,0.221577092012246,10.311095265043939,Europe_AEX,Europe,train
KPN NA Equity,-0.3300542603865407,-0.12386954248490371,-0.8426929500601306,-0.10438399017920219,0.3162631200607853,-0.27172779885667947,0.22191682555057352,-0.03112160229166875,1.0296212438482342,0.31986638714088367,10.315247977659794,Europe_AEX,Europe,train
MT NA Equity,-0.01522461558067382,-0.006197385162220536,-0.8267686707299536,-0.005123803892570611,0.33654734107538226,0.22281303709131567,0.2305633555081367,-0.03112160229166875,1.0296212438482342,0.24602512510292054,5.553355309560551,Europe_AEX,Europe,train
PHIA NA Equity,-0.023485725405096962,-0.010586364386029194,-0.7371321446837754,-0.007803549484277639,0.3322677647667669,0.20657543034255268,0.22875988665532623,-0.03112160229166875,1.0296212438482342,0.20756221600098687,3.7560700747974343,Europe_AEX,Europe,train
RAND NA Equity,-0.018693027746727663,-0.0075681027537128805,-0.8197890684145153,-0.00620424790613161,0.33190171170733457,0.2116121066767345,0.2323689199503848,-0.03112160229166875,1.0296212438482342,-0.21305009054936888,11.26431713765672,Europe_AEX,Europe,train
RDSA NA Equity,-0.04693337700234636,-0.022395780593428314,-0.6836932127122659,-0.015311843185120022,0.3262463552186865,0.16332505326192223,0.23187076179648192,-0.03112160229166875,1.0296212438482342,-0.019414934294505217,5.667754776103122,Europe_AEX,Europe,train
REN NA Equity,-7.498942883691874e-05,-3.686035069641051e-05,-0.6600971787592225,-2.4331413502776122e-05,0.3244645796101503,0.2314392037791608,0.22799045572756305,-0.03112160229166875,1.0296212438482342,-0.09300950355701007,7.33572041039586,Europe_AEX,Europe,train
UNA NA Equity,0.14747559325018741,0.08787791540103623,-0.5398730624161759,0.04744291930630706,0.3217001421097641,0.4320937020487791,0.2273353851935173,-0.03112160229166875,1.0296212438482342,-0.1306617461229608,4.218247284133453,Europe_AEX,Europe,train
VPK NA Equity,0.4247354453552607,0.19178686326391073,-0.7122210346517398,0.13659463818643425,0.3215993383179561,0.8321332523925024,0.2159667043597073,-0.03112160229166875,1.0296212438482342,0.1805280888085944,7.5300383693100255,Europe_AEX,Europe,train
WKL NA Equity,-0.16918073036315584,-0.06886877477862458,-0.8169385358156755,-0.05626155603106908,0.33255297994222227,-0.008096075468932661,0.23971493358360113,-0.03112160229166875,1.0296212438482342,-0.5887380904006795,13.94958335155604,Europe_AEX,Europe,train
ALPHA GA Equity,-0.24876725212717732,-0.11224978942676432,-0.9298520200233674,-0.10437569344567443,0.4195716781576798,-0.08051037493879819,0.2835448266148181,-0.03970265690380194,1.0800613213777146,0.508399335352319,3.178057937606238,Europe_ASE,Europe,train
ASCO GA Equity,-0.07097302650266958,-0.03295317688283027,-0.9359447734135192,-0.030842353670856193,0.43456444216446216,0.21545988298199978,0.28850132723324734,-0.03970265690380194,1.0800613213777146,0.7194039080470197,8.078078101630263,Europe_ASE,Europe,train
AVAX GA Equity,-0.41306459409110113,-0.1772375830308071,-0.9746983895517353,-0.17275318674816964,0.41822317676074905,-0.3450864169732248,0.2956233478431302,-0.03970265690380194,1.0800613213777146,0.0748344574801653,4.549713463640345,Europe_ASE,Europe,train
BELA GA Equity,0.32625916687120443,0.1582902388131454,-0.8804464119314768,0.13936607280681046,0.4271636997768319,0.7683814195986122,0.28836659563196343,-0.03970265690380194,1.0800613213777146,0.15257022032065437,3.287977301621688,Europe_ASE,Europe,train
EKTER GA Equity,-0.3006192216306804,-0.14051845097853433,-0.91839743403946,-0.12905178481388557,0.42928653767998076,-0.15580267843179765,0.29441726649393346,-0.03970265690380194,1.0800613213777146,0.1899602166643197,10.148035345005718,Europe_ASE,Europe,train
ELLAKTOR GA Equity,-0.2928050358863087,-0.12904735872619655,-0.9400109213225556,-0.12130592657045436,0.4142890719186791,-0.15316290585346745,0.2859234762874403,-0.03970265690380194,1.0800613213777146,0.3436561683205601,4.514733416410859,Europe_ASE,Europe,train
ELPE GA Equity,-0.1390333947718314,-0.07021269554877936,-0.8309851172179796,-0.05834570504079273,0.4196524521072382,0.0961165762895401,0.2879326172054917,-0.03970265690380194,1.0800613213777146,0.2599599878959524,3.0797780661424623,Europe_ASE,Europe,train
