,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,-0.010248909371142728,-0.00540066805064233,-0.9509563511525257,-0.005135799583224854,0.5011069370644874,0.3785855562576585,0.3071482471435445,-0.03521968287713702,1.0460657863297853,2.0254625555216283,22.163872877626748,MEA_DFMGI,MEA,train
ARMX DB Equity,0.04885858207821696,0.01748550568760834,-0.8525125081574942,0.014906612310145118,0.30509711244344645,0.2930573864564445,0.2093647607254397,-0.03521968287713702,1.0460657863297853,0.23972254183851868,18.286576280099734,MEA_DFMGI,MEA,train
ARTC DB Equity,-0.1536599932343741,-0.07388052120238814,-0.9846507256969824,-0.07274650881680278,0.47342517258766365,0.11292959893038407,0.3190813589202022,-0.03521968287713702,1.0460657863297853,0.6056292644316773,15.251241131910646,MEA_DFMGI,MEA,train
DIB DB Equity,0.36407748310637994,0.13500179845811972,-0.8976175144880876,0.12117997878339914,0.3328411791618311,0.7752582280675363,0.21827089350163614,-0.03521968287713702,1.0460657863297853,1.0653861033438694,22.52789702844466,MEA_DFMGI,MEA,train
DIC DB Equity,0.2546982568693227,0.10808913981524025,-0.9065002793816361,0.09798283544063602,0.3847016333955823,0.6626186367361497,0.25145607652915064,-0.03521968287713702,1.0460657863297853,1.0914735763371648,22.157206402991754,MEA_DFMGI,MEA,train
EMAAR DB Equity,0.14033475336089354,0.05826720038651295,-0.9373491161124524,0.05461670878064506,0.38918876096350385,0.4876355062855697,0.2640590221082521,-0.03521968287713702,1.0460657863297853,0.3657654360315401,13.171159283429589,MEA_DFMGI,MEA,train
GGICO DB Equity,-0.2483460695280591,-0.107776563290938,-0.985719428777151,-0.10623745240270788,0.42777988234158365,-0.07798281400075226,0.2829126210580753,-0.03521968287713702,1.0460657863297853,1.0545748747062298,12.83221360773318,MEA_DFMGI,MEA,train
SALAMA DB Equity,-0.13714718376255985,-0.059131249814465624,-0.9580238940910559,-0.056649150209725385,0.41305368915048896,0.09457443171801418,0.26769064227675754,-0.03521968287713702,1.0460657863297853,1.5547626047927132,22.492650716798753,MEA_DFMGI,MEA,train
SHUAA DB Equity,0.013022697995488951,0.006466828745486971,-0.9776860660324567,0.006322528355880763,0.485500651099402,0.3921977337602316,0.31099167563482516,-0.03521968287713702,1.0460657863297853,1.2186178485606531,13.737310338849056,MEA_DFMGI,MEA,train
TABREED DB Equity,0.09036516762790867,0.04312915049057716,-0.98644377326684,0.042544481947718316,0.47080620845967136,0.5301226525036042,0.26705798122378716,-0.03521968287713702,1.0460657863297853,8.280727083676947,258.8893504037518,MEA_DFMGI,MEA,train
UPP DB Equity,-0.07583585323737761,-0.034137900167119484,-0.9604176784847015,-0.0327866428268474,0.43233696763746143,0.21025380112047043,0.27891227211940933,-0.03521968287713702,1.0460657863297853,1.1831883941290315,14.996671127125225,MEA_DFMGI,MEA,train
BRES QD Equity,-0.0018452481233908386,-0.0006226176287305774,-0.8153846153846155,-0.0005076728357341631,0.27512442868727083,0.19572832555566544,0.19102458143945145,-0.023529411764705736,1.1134250008276636,0.13500111528868425,18.914756931710702,MEA_DSM,MEA,train
CBQK QD Equity,0.23166569404354698,0.08751146798240414,-0.7862893186156522,0.06880933253094002,0.2970199485729885,0.545736089796484,0.20282224850668235,-0.023529411764705736,1.1134250008276636,0.12708178737381004,12.942476383064738,MEA_DSM,MEA,train
DHBK QD Equity,0.12909067575351915,0.04280613917442818,-0.8648750093836797,0.03702196002016267,0.2867903495280403,0.39116576623864685,0.19809813551900038,-0.023529411764705736,1.1134250008276636,0.1422234565051587,12.333124018263055,MEA_DSM,MEA,train
IQCD QD Equity,0.12127213686511477,0.048406790730457415,-0.7247921127321613,0.03508486012411183,0.28930685177201954,0.3847166680359416,0.19841087497564439,-0.023529411764705736,1.1134250008276636,0.19307568942442488,14.013565510934217,MEA_DSM,MEA,train
MARK QD Equity,0.1870715975926329,0.05959203767853444,-0.730769230769231,0.04354802753431364,0.23278802391554823,0.45564465284428557,0.1525518864011343,-0.023529411764705736,1.1134250008276636,1.052646395930666,24.06248549040863,MEA_DSM,MEA,train
MCGS QD Equity,0.19731375855101124,0.08176208203296563,-0.7849740932642489,0.06418111620722433,0.3252744090353521,0.5516067198220472,0.20748935816892394,-0.023529411764705736,1.1134250008276636,1.128205492375947,15.115717912578365,MEA_DSM,MEA,train
ORDS QD Equity,0.104990696927206,0.0384401859897267,-0.7058995156678529,0.02713490867233026,0.2584506005436264,0.33979475883162413,0.17706610256476207,-0.023529411764705736,1.1134250008276636,0.148086860051363,11.081586820490811,MEA_DSM,MEA,train
QATI QD Equity,0.2183212712445417,0.08520601909198623,-0.7531017369727045,0.06416880097870425,0.29391914316415263,0.5319177736419919,0.19782864950369553,-0.023529411764705736,1.1134250008276636,0.44507260862657644,10.63526436083444,MEA_DSM,MEA,train
QEWS QD Equity,0.2696776497279364,0.12629116167360446,-0.5796633459292342,0.07320635733701142,0.27145874866109765,0.6034026085792626,0.17770557415775973,-0.023529411764705736,1.1134250008276636,0.8545865720124813,17.155170284128566,MEA_DSM,MEA,train
QFLS QD Equity,0.5145333402282123,0.21794874435435516,-0.6166365280289339,0.13439515700693527,0.2611981508279457,0.941077166221496,0.17000854589319156,-0.023529411764705736,1.1134250008276636,0.9772541094816004,29.52686093489421,MEA_DSM,MEA,train
QGTS QD Equity,-0.12959624303910625,-0.04345338586527225,-0.8408104196816205,-0.03653605960596695,0.281922212783144,0.009278804139107533,0.18691428824959316,-0.023529411764705736,1.1134250008276636,2.3002293365001556,56.4352149344956,MEA_DSM,MEA,train
QIBK QD Equity,0.4883617454437216,0.19596464840296784,-0.7138562600901859,0.13989059101883083,0.28644870799969674,0.9112784223979492,0.18836969993996414,-0.023529411764705736,1.1134250008276636,0.9504265016745223,24.5789182111977,MEA_DSM,MEA,train
