,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.1512301226011938,0.06661790776231045,-0.002709721918198555,0.0001805160048080623,0.0011936511172717737,0.2142023188633076,0.000845985576503944,-4.926567134169395e-05,0.9482203899748807,-0.544174838130374,56.976161792503724,MEA_DFMGI,MEA,train
ARMX DB Equity,0.28879892901100057,0.14182485935502023,-0.0009933013113505307,0.0001408748187794462,0.00048779550278069123,0.4365953766940016,0.0003229165722894698,-4.926567134169395e-05,0.9482203899748807,1.933479722472689,131.2882613375643,MEA_DFMGI,MEA,train
ARTC DB Equity,0.039226349780514994,0.008922903504665363,-0.005545497892989771,4.9481942584472804e-05,0.001261446524118135,0.06013098253681235,0.0008361106901270555,-4.926567134169395e-05,0.9482203899748807,1.1399204881251555,37.66894226517996,MEA_DFMGI,MEA,train
DIB DB Equity,-0.3395514117516713,-0.03262552096205611,-0.007178203113535271,-0.00023419261615054143,0.0006897118022345808,-0.4298681496022602,0.0005443113207209218,-4.926567134169395e-05,0.9482203899748807,-3.674066282167057,114.99238435004996,MEA_DFMGI,MEA,train
DIC DB Equity,-0.6515940140902757,-0.04134090283077807,-0.0188808675342334,-0.0007805521100935353,0.0011979117260358886,-0.8121718437535109,0.000960558042662621,-4.926567134169395e-05,0.9482203899748807,-3.381618247228174,138.8691169830477,MEA_DFMGI,MEA,train
EMAAR DB Equity,-0.4373407723105559,-0.031130455280589577,-0.01898718997929675,-0.000591079868554556,0.0013515315881292445,-0.5602025722813696,0.001053798611942674,-4.926567134169395e-05,0.9482203899748807,-1.5367131151355895,85.97922807318099,MEA_DFMGI,MEA,train
GGICO DB Equity,-0.3007938483096342,-0.028578649716058748,-0.012105240758256156,-0.00034595143535876005,0.0011501280272282733,-0.3945476165682983,0.0008753055131667316,-4.926567134169395e-05,0.9482203899748807,-2.136316085646723,52.39903108847925,MEA_DFMGI,MEA,train
SALAMA DB Equity,0.014681734066230884,0.002667322117933279,-0.0031938060510106336,8.518909520249807e-06,0.0005802386476842646,0.020995561573295136,0.0004137628225324775,-4.926567134169395e-05,0.9482203899748807,-0.2273674939378019,93.56399842765244,MEA_DFMGI,MEA,train
SHUAA DB Equity,0.12137374170201408,0.0201608804228511,-0.007775059869823638,0.00015675205231602263,0.0012914824089453071,0.17986018000078915,0.0008760893628698104,-4.926567134169395e-05,0.9482203899748807,0.9060633325918938,65.3933366375428,MEA_DFMGI,MEA,train
TABREED DB Equity,-0.4114083413175574,-0.037076037877677416,-0.01344957634387041,-0.0004986570019640535,0.0012120731445723185,-0.5261892971351986,0.0009465155744535752,-4.926567134169395e-05,0.9482203899748807,-2.210992336905393,68.59497322216237,MEA_DFMGI,MEA,train
UPP DB Equity,-0.20416547552754444,-0.030371326940115923,-0.00890919943686109,-0.00027058420887160484,0.0013253181429056045,-0.28741111507092726,0.0009385253954531861,-4.926567134169395e-05,0.9482203899748807,0.6412000355602223,50.92957985471248,MEA_DFMGI,MEA,train
BRES QD Equity,0.19918093052179178,0.025284776821259073,-0.003241662973526805,8.196472481536432e-05,0.00041150889596028274,0.2949976361308747,0.00027812437198257716,-2.1560790675586907e-05,0.97147314309801,1.1170136660074512,59.349002450631005,MEA_DSM,MEA,train
