,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.13193256856208987,0.05943232257482086,-0.16766260676982603,0.009964578129279644,0.07552781119841635,0.2546608159641371,0.05005150277381392,-0.004303158168521985,0.8739710706971612,2.7425549651280297,124.17313753029725,MEA_DFMGI,MEA,train
ARMX DB Equity,0.24840126074263114,0.08672170107421114,-0.08063949131736015,0.006993193860800551,0.028152811462765513,0.3694533669497733,0.01993654530438508,-0.004303158168521985,0.8739710706971612,-0.8629864958257935,93.14283722515606,MEA_DFMGI,MEA,train
ARTC DB Equity,-0.22313678610684393,-0.04333248138752351,-0.5148091389068317,-0.02230795742980729,0.09997436020757974,-0.27334325351615796,0.0644351143336172,-0.004303158168521985,0.8739710706971612,2.649717989580031,53.91183410787206,MEA_DFMGI,MEA,train
DIB DB Equity,-0.6115427877613661,-0.05004083135592016,-0.47940680429245447,-0.023989915044479337,0.03922851438130375,-0.741952684248134,0.031682044744950774,-0.004303158168521985,0.8739710706971612,-3.966429631812144,85.06051162699603,MEA_DFMGI,MEA,train
DIC DB Equity,-0.7188096114544226,-0.0632068410958987,-0.645496560451982,-0.0407997985244376,0.05676022951596911,-0.8850538531925229,0.04522980937435594,-0.004303158168521985,0.8739710706971612,-2.3816298733992696,114.43442930000796,MEA_DFMGI,MEA,train
EMAAR DB Equity,-0.44535698003860114,-0.048962551456038755,-0.6763684211140197,-0.03311672362203488,0.07435995191804225,-0.5492701520785946,0.056267078685708516,-0.004303158168521985,0.8739710706971612,-0.3791254675056238,50.95141826219623,MEA_DFMGI,MEA,train
GGICO DB Equity,-0.41564224007129763,-0.05619038121723269,-0.575876751708529,-0.0323587342126439,0.07785237180680485,-0.5306357612488697,0.05627507252744953,-0.004303158168521985,0.8739710706971612,0.1173125903688761,24.701265393983185,MEA_DFMGI,MEA,train
SALAMA DB Equity,0.0740539570718394,0.015497551086781868,-0.17587662714803634,0.00272565701419758,0.036806365547129814,0.13256993365107536,0.025638087017606163,-0.004303158168521985,0.8739710706971612,0.47194157642919027,77.33708910825963,MEA_DFMGI,MEA,train
SHUAA DB Equity,-0.15927119756560393,-0.026759543760742008,-0.5198388817019283,-0.013910651303437938,0.08733940295581773,-0.1648705252981789,0.061796875301477164,-0.004303158168521985,0.8739710706971612,-0.20826632445853036,48.033956589544,MEA_DFMGI,MEA,train
TABREED DB Equity,-0.5963307955841647,-0.058353469287824644,-0.708602251509198,-0.04134939972072538,0.06933970210312478,-0.7475992681017266,0.05325689446283048,-0.004303158168521985,0.8739710706971612,-0.7928879670171961,30.37076380555797,MEA_DFMGI,MEA,train
UPP DB Equity,-0.3680351100506307,-0.05525440827410291,-0.4845186695866913,-0.02677179238576821,0.07274249563332479,-0.4725753038602898,0.051825438654219284,-0.004303158168521985,0.8739710706971612,0.3365584918637741,33.63882368252612,MEA_DFMGI,MEA,train
BRES QD Equity,0.21744193427317837,0.037708793387376614,-0.14833898530986583,0.005593684148342826,0.025724955800454405,0.3359153064773426,0.01759069088686281,-0.00181102587273168,0.9554051668070171,0.04516036995363504,41.1930674606455,MEA_DSM,MEA,train
