,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.0018332304371441693,0.00042165582897135814,-0.006020521735685744,2.5385880833006524e-06,0.0013847621291163475,0.003392609618835236,0.0010308589577097435,-7.276945015293409e-05,0.9329535711054356,-1.8728573027147142,58.01129707959779,MEA_DFMGI,MEA,train
ARMX DB Equity,0.17892104408867102,0.06592095412762991,-0.0014560190984898662,9.598216820050354e-05,0.0005364498552385821,0.26242748983742864,0.0003662780912255817,-7.276945015293409e-05,0.9329535711054356,1.2354077001579489,94.10310792590822,MEA_DFMGI,MEA,train
ARTC DB Equity,0.08661270028390392,0.018055851085917358,-0.006365841845374999,0.00011494069239659233,0.0013270651073091285,0.13353196551540863,0.0008673161806900477,-7.276945015293409e-05,0.9329535711054356,1.4898829789644514,38.58753345634004,MEA_DFMGI,MEA,train
DIB DB Equity,-0.46606234367273447,-0.03514237008093069,-0.014267284815833699,-0.0005013862030480709,0.0010757921335093758,-0.5908952254602642,0.0008477523568014456,-7.276945015293409e-05,0.9329535711054356,-2.1975726190581404,59.28809026665374,MEA_DFMGI,MEA,train
DIC DB Equity,-0.5255024870447108,-0.03910481134764052,-0.017745370365247228,-0.0006939293604270036,0.001320506329721638,-0.6772969197318285,0.0010236241196738217,-7.276945015293409e-05,0.9329535711054356,-2.1811019883929865,98.55566990593296,MEA_DFMGI,MEA,train
EMAAR DB Equity,-0.473124249226576,-0.03461979503366156,-0.01969685931012559,-0.0006819012321234164,0.0014412730550973272,-0.6139523999247768,0.0011093602533169093,-7.276945015293409e-05,0.9329535711054356,-1.0660667662350323,69.83902507480967,MEA_DFMGI,MEA,train
GGICO DB Equity,-0.4028429583591283,-0.032806560789618286,-0.016066665044952404,-0.0005270920234836662,0.0013084305249634568,-0.5294640750756874,0.0009941647409671905,-7.276945015293409e-05,0.9329535711054356,-1.571089275467457,34.68683550316439,MEA_DFMGI,MEA,train
SALAMA DB Equity,0.24883682766122087,0.04708592899841328,-0.004849011115902805,0.00022832019311591623,0.000917549846868981,0.37958373552734676,0.000602541749909116,-7.276945015293409e-05,0.9329535711054356,3.7555303338702397,142.55307853838156,MEA_DFMGI,MEA,train
SHUAA DB Equity,-0.16566990335163403,-0.017284179062366796,-0.015301814222277266,-0.0002644792969969112,0.001596423319180397,-0.2291475136567086,0.0011487799881401768,-7.276945015293409e-05,0.9329535711054356,-0.027218302810705523,38.788397940972786,MEA_DFMGI,MEA,train
TABREED DB Equity,-0.3998598953246559,-0.03708811948439938,-0.01523403756635178,-0.0005650018054906836,0.0014129994332938666,-0.5307559888760157,0.0010629417632209268,-7.276945015293409e-05,0.9329535711054356,-0.508318390029619,69.94177109386541,MEA_DFMGI,MEA,train
UPP DB Equity,-0.256413201944449,-0.03092270518887332,-0.01232067552134438,-0.0003809886168743004,0.00148583853711573,-0.35029713434171944,0.0010846712000623343,-7.276945015293409e-05,0.9329535711054356,-0.6766142156986183,57.72869603602889,MEA_DFMGI,MEA,train
BRES QD Equity,0.09813882465282957,0.01337587882668662,-0.0032426562086158143,4.337337652304818e-05,0.0004419594047155488,0.14232307105734573,0.0003054324553594854,-3.0505109154514373e-05,0.9425695495053896,0.7071453891931625,47.596483846683235,MEA_DSM,MEA,train
CBQK QD Equity,-0.22346415885164964,-0.022961818613824597,-0.006333731971624926,-0.00014543400468103318,0.0006508157971658531,-0.3055909499138092,0.0004752522762547509,-3.0505109154514373e-05,0.9425695495053896,-0.2844475236521458,57.73445644408542,MEA_DSM,MEA,train
DHBK QD Equity,-0.30780773348641777,-0.0247290931745237,-0.007986559343097674,-0.0001975003701393252,0.000641635503768264,-0.4057388813704269,0.00048630778855471963,-3.0505109154514373e-05,0.9425695495053896,-1.5782929142492186,47.702855276101126,MEA_DSM,MEA,train
IQCD QD Equity,-0.0991563279228066,-0.014807293735833893,-0.004511487284091407,-6.680291740102096e-05,0.0006737131033435119,-0.1367601162874796,0.00048682494547052957,-3.0505109154514373e-05,0.9425695495053896,0.08925031134934185,63.606548056214024,MEA_DSM,MEA,train
MARK QD Equity,-0.009229781300749286,-0.0013309817567021495,-0.0026432167591732216,-3.5180732854689367e-06,0.00038116540043948115,-0.01269523540829274,0.0002713969682568844,-3.0505109154514373e-05,0.9425695495053896,-0.37504041218898104,61.940028811236914,MEA_DSM,MEA,train
MCGS QD Equity,-0.3206942601754662,-0.028268652177975508,-0.006547650597303308,-0.0001850932573180808,0.0005771642349220968,-0.42448778911921475,0.00043568694373513086,-3.0505109154514373e-05,0.9425695495053896,-0.9736214783057161,38.032763289648855,MEA_DSM,MEA,train
ORDS QD Equity,0.06853140308297823,0.011970497000058679,-0.0018662063889448679,2.233941798035488e-05,0.00032597345122653017,0.09949633523542066,0.00022505642128607342,-3.0505109154514373e-05,0.9425695495053896,0.27732000310576843,68.53368432592605,MEA_DSM,MEA,train
QATI QD Equity,-0.19230508607707816,-0.022098191512417587,-0.004786671541450978,-0.00010577678443002281,0.0005500467334890259,-0.27059541561738953,0.00039036547899739887,-3.0505109154514373e-05,0.9425695495053896,0.2601394585482578,32.09451400704501,MEA_DSM,MEA,train
QEWS QD Equity,0.0770955725856223,0.01514451653950862,-0.001958521884711903,2.9660867076009012e-05,0.00038472853993097556,0.10553750175388822,0.00028174274546779755,-3.0505109154514373e-05,0.9425695495053896,-1.4172719438550307,55.462626512903064,MEA_DSM,MEA,train
QFLS QD Equity,-0.2513691850053587,-0.031024969329896245,-0.004727821930197301,-0.00014668053038158213,0.0005835262996872714,-0.35573366489409214,0.0004118840682468745,-3.0505109154514373e-05,0.9425695495053896,0.977524702255039,75.63478048558538,MEA_DSM,MEA,train
QGTS QD Equity,0.0606873708034243,0.010243034048990636,-0.003491022762440479,3.5758665021479175e-05,0.0005892274545441584,0.1141840826877563,0.0003146805918105382,-3.0505109154514373e-05,0.9425695495053896,17.97735459719172,771.2620152836513,MEA_DSM,MEA,train
QIBK QD Equity,-0.4884162030833051,-0.03228917474124064,-0.01232289675945177,-0.00039789616678420625,0.0008146661889436547,-0.6306089844035572,0.0006305702020789224,-3.0505109154514373e-05,0.9425695495053896,-1.5366647216063496,104.74194997970298,MEA_DSM,MEA,train
QIIK QD Equity,-0.5308459907008936,-0.03785929360482432,-0.008495300377040124,-0.00032162607123553677,0.0006058745415235843,-0.7000062043666115,0.0004592731950155833,-3.0505109154514373e-05,0.9425695495053896,-0.6638677250340449,40.14500623386408,MEA_DSM,MEA,train
QNBK QD Equity,-0.09889065073995414,-0.015222095484250691,-0.002885911953007129,-4.392962730781491e-05,0.00044422427174974907,-0.1395177623918052,0.00031416745455460475,-3.0505109154514373e-05,0.9425695495053896,1.0548233906371254,249.11983598393098,MEA_DSM,MEA,train
QNNS QD Equity,-0.1606991355162277,-0.021672769925405563,-0.003610870154346218,-7.825755808565926e-05,0.0004869818237308232,-0.22189076975063243,0.0003521645056664858,-3.0505109154514373e-05,0.9425695495053896,-0.15643337203387392,28.984855220194717,MEA_DSM,MEA,train
UDCD QD Equity,0.21492246001928808,0.035555991526141424,-0.003582394878776892,0.00012737560195308362,0.0005926584031359606,0.309756180643737,0.000411753243721235,-3.0505109154514373e-05,0.9425695495053896,0.24804377194875366,36.41395229157838,MEA_DSM,MEA,train
ACGC EC Equity,-0.16584252313902428,-0.01671594036137161,-0.013815583626880727,-0.0002309404719644803,0.0013925286928424564,-0.22318108910794962,0.0010305423694877739,-8.518280326352798e-05,0.8972113175395526,-1.2686994223554597,40.29570586663466,MEA_EGX30,MEA,train
AMOC EC Equity,-0.429591682187587,-0.03189660571361992,-0.010274165431638003,-0.00032771100380946105,0.0007628429911414385,-0.5290960913848375,0.00061893014153743,-8.518280326352798e-05,0.8972113175395526,-7.241068625073191,281.9502959173247,MEA_EGX30,MEA,train
COMI EC Equity,-0.36832993890447135,-0.036656085163880366,-0.004816709145232664,-0.00017656170063728993,0.0004793574509920094,-0.5154918495917872,0.00034231842212455936,-8.518280326352798e-05,0.8972113175395526,0.16122704854870995,15.133169057224475,MEA_EGX30,MEA,train
EAST EC Equity,-0.5548453609053972,-0.03494686733223567,-0.009745436053142506,-0.00034057246084395754,0.0006138151002798529,-0.7274770096126582,0.00046797613973465136,-8.518280326352798e-05,0.8972113175395526,-0.95890699485202,29.696965845521113,MEA_EGX30,MEA,train
EGCH EC Equity,-0.019503237123985065,-0.0036487696293910007,-0.007778903755372919,-2.838342777256031e-05,0.0014553188064177507,-0.02396585214624736,0.0011401532269702985,-8.518280326352798e-05,0.8972113175395526,-4.585154710182287,105.54740619163243,MEA_EGX30,MEA,train
EGTS EC Equity,-0.6357562436625347,-0.037407216361699795,-0.02918303709524797,-0.0010916561827134519,0.0017170986421218902,-0.8245389695976038,0.0013228920587773463,-8.518280326352798e-05,0.8972113175395526,-0.874323917582786,26.30517555851164,MEA_EGX30,MEA,train
EKHO EC Equity,-0.10454093472977205,-0.014308446579708983,-0.010068099293247262,-0.00014405886089663422,0.0013780138973217724,-0.14203233950407945,0.0010076567069317952,-8.518280326352798e-05,0.8972113175395526,-1.1675760557046087,205.04510354990182,MEA_EGX30,MEA,train
ESRS EC Equity,-0.6628019890368522,-0.0408764121793462,-0.024402316573146985,-0.000997479150374847,0.0015049429043270215,-0.8902925316784528,0.0011196799942487714,-8.518280326352798e-05,0.8972113175395526,-0.2963810235511335,14.120701187515966,MEA_EGX30,MEA,train
ETEL EC Equity,0.2377746603555086,0.053451370499715704,-0.0015782397694224415,8.43590786527848e-05,0.0003547858233785526,0.3673809507816975,0.0002297845279670177,-8.518280326352798e-05,0.8972113175395526,1.7713572263338102,48.92766994490091,MEA_EGX30,MEA,train
GTHE EC Equity,-0.40758576119291745,-0.04116205455347087,-0.03708455314488839,-0.0015264763996409858,0.0037451661588307496,-0.5337250296037894,0.0028490710517182953,-8.518280326352798e-05,0.8972113175395526,-4.967901545414871,416.039492060716,MEA_EGX30,MEA,train
HELI EC Equity,-0.31644808088460996,-0.034273526984378355,-0.013217138654792638,-0.00045299795834130574,0.0014315079967461945,-0.40136209858439437,0.0011263532802983553,-8.518280326352798e-05,0.8972113175395526,-3.924885010063914,90.06954167725715,MEA_EGX30,MEA,train
HRHO EC Equity,-0.5215418453676471,-0.03627632156904872,-0.029090695603907504,-0.0010553034283946605,0.0020234300234351324,-0.7105686206988666,0.0014830540698539617,-8.518280326352798e-05,0.8972113175395526,0.1353867930958253,50.61583447056505,MEA_EGX30,MEA,train
IRON EC Equity,-0.1586016273670203,-0.023109220776227395,-0.010609396986036253,-0.00024517489725295327,0.001545853603920429,-0.2155476839692259,0.0011320473092687109,-8.518280326352798e-05,0.8972113175395526,-0.5434805303823956,18.970738780739772,MEA_EGX30,MEA,train
OCDI EC Equity,-0.6054553358883269,-0.03185953546168429,-0.037371491692984295,-0.001190638364848673,0.0019665172544920473,-0.7733592286163463,0.0015379805012570977,-8.518280326352798e-05,0.8972113175395526,-1.5466591823962745,31.3693138619087,MEA_EGX30,MEA,train
ORHD EC Equity,-0.2869944761212137,-0.02414832376946618,-0.02615173552275911,-0.0006315205765370369,0.0022004624795297825,-0.46502941927176544,0.0013532488317810757,-8.518280326352798e-05,0.8972113175395526,8.222250190552458,237.47991995577985,MEA_EGX30,MEA,train
ORWE EC Equity,-0.3052161135514053,-0.026388302313188887,-0.011109784363564579,-0.0002931683484200809,0.0009605270999910845,-0.4887532920591963,0.000598973311310093,-8.518280326352798e-05,0.8972113175395526,13.0516068641342,578.4161460775148,MEA_EGX30,MEA,train
PHDC EC Equity,0.28106205892039837,0.09030100289155954,-0.012088011166646716,0.0010915595313125692,0.003883695777030217,0.4293007871513513,0.0025588257465812055,-8.518280326352798e-05,0.8972113175395526,0.7495617971862178,360.05389245402057,MEA_EGX30,MEA,train
SWDY EC Equity,-0.3016027082654254,-0.031136838538035703,-0.006270774458334133,-0.00019525209181758818,0.0006473817590714624,-0.41036131309514023,0.00047534102137541896,-8.518280326352798e-05,0.8972113175395526,-0.029173257824886334,39.900986188553,MEA_EGX30,MEA,train
TMGH EC Equity,-0.12361691871584238,-0.02116607167129211,-0.003981861775786289,-8.428037173147107e-05,0.0006817867053069488,-0.17568450512571604,0.00047842313262031594,-8.518280326352798e-05,0.8972113175395526,-0.4248694861144722,54.71754794079087,MEA_EGX30,MEA,train
ANM NW Equity,,,-45.35992811184801,,8.164051774151607,-0.20893809119216616,8.163560785373475,-2.6009469202683076e-05,0.9910196965742384,-74.94514699756988,5615.524564952945,MEA_FTN098,MEA,train
AOX NW Equity,0.09139171223936965,0.03348204986154701,-0.0008112983541963564,2.716393194779343e-05,0.0002972253312931342,0.132523674325104,0.00020530465963246902,-2.6009469202683076e-05,0.9910196965742384,0.3912551008550088,26.141295144878363,MEA_FTN098,MEA,train
BWL NW Equity,-0.022784768302750776,-0.004129990686109772,-0.007558554866905562,-3.121676120076966e-05,0.0013700714787168102,-0.03065759924411917,0.0009876443463764824,-2.6009469202683076e-05,0.9910196965742384,-1.0854666188178668,642.1387132745983,MEA_FTN098,MEA,train
FNB NW Equity,-0.6879427584279251,-0.03405380235361757,-0.002419809299939092,-8.240370763357152e-05,0.00011978279678658011,-0.8907852805312593,9.250255773314305e-05,-2.6009469202683076e-05,0.9910196965742384,-0.1643255260286706,350.7343006053732,MEA_FTN098,MEA,train
