,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.14121409361007575,0.06981617298144609,-0.12928369683708404,0.009026092942058694,0.06391779114471245,0.2667073194678312,0.04126693690010032,-0.004021450507286053,0.8950569493689872,4.444677441790213,158.36012310540377,MEA_DFMGI,MEA,train
ARMX DB Equity,0.1813564278835076,0.06839756854557698,-0.06314828339444246,0.004319189042006899,0.02381602401642629,0.26805503107084877,0.01713821245956278,-0.004021450507286053,0.8950569493689872,-1.6976861281010869,95.87758921621726,MEA_DFMGI,MEA,train
ARTC DB Equity,-0.18651736584754552,-0.03810917779463431,-0.37135433990816646,-0.014152008564369378,0.07587501839339113,-0.22772478861526274,0.05001796932394071,-0.004021450507286053,0.8950569493689872,1.8808550957659782,43.96363585260606,MEA_DFMGI,MEA,train
DIB DB Equity,-0.6600255608785319,-0.050624507856899335,-0.49602165432022344,-0.025110852136326356,0.038045272220824856,-0.8157698315755805,0.03028242096678914,-0.004021450507286053,0.8950569493689872,-2.563384133106643,50.802310389663745,MEA_DFMGI,MEA,train
DIC DB Equity,-0.6881807983313717,-0.05582119045642447,-0.5483235372710036,-0.03060807260574505,0.04447678964591904,-0.859391627862969,0.03501472401136823,-0.004021450507286053,0.8950569493689872,-1.9190361313466866,105.49263444856547,MEA_DFMGI,MEA,train
EMAAR DB Equity,-0.49735202507275605,-0.05086829705654763,-0.6117849977559604,-0.031120461000589517,0.06257230177365218,-0.6315715998632258,0.04695489918649007,-0.004021450507286053,0.8950569493689872,0.1831723009975542,67.65039259017513,MEA_DFMGI,MEA,train
GGICO DB Equity,-0.6007881512809401,-0.06471216335058996,-0.5710060942245259,-0.03695103964363988,0.06150427495092337,-0.784457810638231,0.04558008205022397,-0.004021450507286053,0.8950569493689872,-0.1846279493689715,21.58174110240236,MEA_DFMGI,MEA,train
SALAMA DB Equity,0.22360983401875537,0.044983724599848035,-0.16091587015123004,0.007238595186627839,0.03237154223736286,0.34756407057876365,0.022258347016025016,-0.004021450507286053,0.8950569493689872,0.44561743075187205,38.39611200120598,MEA_DFMGI,MEA,train
SHUAA DB Equity,-0.401386405896819,-0.04602082011326147,-0.6205149345320211,-0.028556606179690358,0.0711449260865879,-0.5009652247040425,0.05275775777487804,-0.004021450507286053,0.8950569493689872,-1.1827320959639929,45.42585234155848,MEA_DFMGI,MEA,train
TABREED DB Equity,-0.6188753517160339,-0.057985066607286466,-0.6095892036240881,-0.03534707057522546,0.05711500785612833,-0.7689060195247678,0.044669486786356294,-0.004021450507286053,0.8950569493689872,-1.6189871061148582,31.52731825595916,MEA_DFMGI,MEA,train
UPP DB Equity,-0.48851228098708654,-0.05202522413409179,-0.5293700679445591,-0.027540596434695086,0.056376466890549065,-0.6470949652339738,0.04070023320787262,-0.004021450507286053,0.8950569493689872,0.2328654292630819,30.08988413345238,MEA_DFMGI,MEA,train
BRES QD Equity,0.08381172490703466,0.014966331706907142,-0.11518830577649407,0.0017239463930076582,0.020569274703746854,0.13194561121017884,0.014658778357396677,-0.0017776255239168647,0.9395206971257837,-0.964144824392013,48.03097710704957,MEA_DSM,MEA,train
