,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABEV3 BS Equity,3.0768807596606758,4.399467237780466,-0.052190207898253294,0.22960910978131666,0.06794960365982051,6.5446987409494115,0.031945370811237835,-0.00463191378648438,2.2729209858618455,2.277129889060847,18.640944524420377,Americas_IBOV,Americas,train
BBAS3 BS Equity,4.335353541825763,8.928567006810207,-0.053361861218613846,0.4764449534985007,0.0908862152907305,11.101995955145846,0.03549126453979427,-0.00463191378648438,2.2729209858618455,2.4656605675383214,14.676197138497361,Americas_IBOV,Americas,train
BBDC3 BS Equity,4.42765713237979,10.433423079182473,-0.050536172697307744,0.5272652705536418,0.0967701475873712,11.220160880764217,0.03818706689858851,-0.00463191378648438,2.2729209858618455,2.346414635190826,13.155443753325748,Americas_IBOV,Americas,train
BBDC4 BS Equity,4.764251382552787,10.953925636639651,-0.05559469613019083,0.6089801672016886,0.10097903280549576,12.516470582188317,0.038436513991176174,-0.00463191378648438,2.2729209858618455,2.2946931453293287,12.762128288031452,Americas_IBOV,Americas,train
BRAP4 BS Equity,4.381643645623481,7.125825627006151,-0.06530476650999738,0.46535037876259233,0.08814891283024595,10.430922890509107,0.03702808733469738,-0.00463191378648438,2.2729209858618455,1.832883629573601,9.78468658320988,Americas_IBOV,Americas,train
BRFS3 BS Equity,2.9591902940006705,3.015082607570717,-0.07291069882374084,0.2198317799292877,0.06795341500364513,5.934235302465303,0.03388593068418556,-0.00463191378648438,2.2729209858618455,1.6945509668500343,12.72544237750425,Americas_IBOV,Americas,train
BRKM5 BS Equity,3.251207286372681,3.6560009084064418,-0.07113195465712709,0.26005849084318244,0.07191877186670022,7.427953402654883,0.03147876978286076,-0.00463191378648438,2.2729209858618455,3.285908881960594,35.21796238228734,Americas_IBOV,Americas,train
CCRO3 BS Equity,2.9312409827502393,3.837768445974824,-0.05393303265339264,0.2069824909129201,0.06491380149642567,6.699354381689986,0.028402437675559562,-0.00463191378648438,2.2729209858618455,3.7199084253069015,39.549403295295676,Americas_IBOV,Americas,train
CMIG4 BS Equity,4.255664561370275,6.390037937791307,-0.07064601557169632,0.45143071965693493,0.08851954039223886,9.922919933324243,0.03796357055859418,-0.00463191378648438,2.2729209858618455,1.922355936476536,10.54338449373807,Americas_IBOV,Americas,train
CSNA3 BS Equity,4.488497525880503,7.222638361215088,-0.07137356020417607,0.5155054139071766,0.09367005729810028,10.89714329115351,0.0385823889067263,-0.00463191378648438,2.2729209858618455,1.9918693781276744,10.794050144335024,Americas_IBOV,Americas,train
