,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABEV3 BS Equity,0.6306088865083703,0.3111201535183455,-0.49068050813230407,0.1526605950185822,0.29367493333344113,0.9364050278792266,0.1977712818610652,-0.029475268519762763,1.1165854146654586,0.12043089378526589,5.7643543290136865,Americas_IBOV,Americas,train
BBAS3 BS Equity,0.5388963676231624,0.22939204954558706,-0.6180444885344835,0.14177449193527925,0.3787347290308031,0.8094118520928769,0.25215688309938766,-0.029475268519762763,1.1165854146654586,0.3035628241565061,6.159167091920455,Americas_IBOV,Americas,train
BBDC3 BS Equity,0.5683292324548668,0.25411445746450895,-0.5796023086818471,0.14728532621586443,0.3475848774836014,0.8559958903161319,0.23077522785794993,-0.029475268519762763,1.1165854146654586,0.381173382614877,4.0858549146499294,Americas_IBOV,Americas,train
BBDC4 BS Equity,0.5474011403585691,0.24092078160867147,-0.5868800220551785,0.14139159362404796,0.357916216769106,0.8266238034658057,0.23701681997394608,-0.029475268519762763,1.1165854146654586,0.49019908409363855,5.339525784196923,Americas_IBOV,Americas,train
BRAP4 BS Equity,0.8364140613632821,0.276831663714781,-0.5907494856376795,0.16353816294772994,0.20640222632381183,1.3178962771218268,0.1309949253145694,-0.029475268519762763,1.1165854146654586,1.0512401856650226,19.63167087811368,Americas_IBOV,Americas,train
BRFS3 BS Equity,0.5418515840965896,0.19185911791556134,-0.6914807723394513,0.13266689103661822,0.32956258977816766,0.8256763053773005,0.21627605172546835,-0.029475268519762763,1.1165854146654586,0.5553332954607545,8.666728784340453,Americas_IBOV,Americas,train
BRKM5 BS Equity,0.5164919780475996,0.17687795570122725,-0.7461143359138567,0.13197117845582174,0.3768872182733041,0.7828087119333154,0.24866767819443808,-0.029475268519762763,1.1165854146654586,0.466674916667512,9.40440743176695,Americas_IBOV,Americas,train
CCRO3 BS Equity,0.5372057039420535,0.19438164371848454,-0.6799296887796118,0.13216585051797858,0.336344101607982,0.7986902885821332,0.22622782880186817,-0.029475268519762763,1.1165854146654586,0.2772563431902222,15.27997793758788,Americas_IBOV,Americas,train
CMIG4 BS Equity,0.3882167717481127,0.09052999951666277,-0.6550710293212106,0.05930357996782898,0.2003776978834743,0.5577607417973243,0.13946837267888582,-0.029475268519762763,1.1165854146654586,-0.3360295343787841,26.61207094918883,Americas_IBOV,Americas,train
CSNA3 BS Equity,0.6976740972570111,0.2754950442288157,-0.7849451017398285,0.21624848552100628,0.38846766172175723,1.0622585440197496,0.2551392283272894,-0.029475268519762763,1.1165854146654586,0.35541703064023183,8.620322444788128,Americas_IBOV,Americas,train
EGIE3 BS Equity,0.7404223792001904,0.3603662612982096,-0.5032519953769957,0.1813550400648718,0.2760013512787025,1.1687202090726647,0.17485585993109026,-0.029475268519762763,1.1165854146654586,1.115073442782978,12.874795686666614,Americas_IBOV,Americas,train
ELET3 BS Equity,0.39444269790160724,0.09769595398977841,-0.8382311861956913,0.08189179539937164,0.4026630490309962,0.6018696370244769,0.2638902008585857,-0.029475268519762763,1.1165854146654586,1.0144387280888907,19.370513272933678,Americas_IBOV,Americas,train
ELET6 BS Equity,0.46324492569371617,0.14062669492513855,-0.45857828615848323,0.0644883487469019,0.16370005006240673,0.7136466816678578,0.10626157099194805,-0.029475268519762763,1.1165854146654586,1.040982397050102,46.07861562141534,Americas_IBOV,Americas,train
EMBR3 BS Equity,0.22692174870838216,0.04806118965979893,-0.49918992691905734,0.02399166175391798,0.16622901664353518,0.322549773748651,0.11694622725799857,-0.029475268519762763,1.1165854146654586,-1.2356183750261107,91.69148322352791,Americas_IBOV,Americas,train
GGBR4 BS Equity,0.5414183188084472,0.16533870333550008,-0.9158753399306299,0.1514296411210907,0.43420960195991454,0.8060924319084247,0.2916402925990117,-0.029475268519762763,1.1165854146654586,0.1850895458381587,3.1486744567913707,Americas_IBOV,Americas,train
GOAU4 BS Equity,0.43901555463486325,0.102851846852842,-0.9833562859254238,0.1011400101217812,0.44401486176561855,0.644637268786143,0.3023862259332427,-0.029475268519762763,1.1165854146654586,0.11124279215012156,4.893500777549943,Americas_IBOV,Americas,train
ITSA4 BS Equity,0.5505513829468445,0.23915116035364756,-0.5759132953016513,0.13773033283448277,0.33681276673167015,0.8297681326135513,0.223475362851318,-0.029475268519762763,1.1165854146654586,0.5098632869295986,6.225761935387178,Americas_IBOV,Americas,train
ITUB4 BS Equity,0.5025596320405467,0.2124738774107374,-0.5713530548936939,0.12139759894373303,0.3472380227652222,0.7580763314411343,0.23019820790293039,-0.029475268519762763,1.1165854146654586,0.4920615717098602,5.11471561544718,Americas_IBOV,Americas,train
LAME4 BS Equity,0.6870394269734496,0.26899183718183745,-0.8342286240499711,0.22440069021287812,0.4243702351313008,1.0644682654809492,0.27390115104790314,-0.029475268519762763,1.1165854146654586,0.7562379057852419,7.965010388483371,Americas_IBOV,Americas,train
PCAR4 BS Equity,0.3912210297756581,0.12133409644271759,-0.4923976422646559,0.05974462301470651,0.19842500449367864,0.5894673551563773,0.13169182977174865,-0.029475268519762763,1.1165854146654586,0.5788812440869981,5.313581336255615,Americas_IBOV,Americas,train
