,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABEV3 BS Equity,1.8155200839632488,2.4447129221196895,-0.25747649642047626,0.6294561179412423,0.29271390812128517,2.8691930253400977,0.18521862222447508,-0.03398169638947218,1.2894202363512386,0.18357193665890303,5.902573931899255,Americas_IBOV,Americas,train
BBAS3 BS Equity,1.9866460497290952,3.143531917772397,-0.3581688852406315,1.1259153227068839,0.4253711178270233,3.242014106084429,0.26065952313839136,-0.03398169638947218,1.2894202363512386,0.41538885495400113,5.226681815403738,Americas_IBOV,Americas,train
BBDC3 BS Equity,2.050432875761037,2.0557087369359075,-0.4460071524242376,0.9168607999744103,0.34682282957858807,3.383364751466202,0.21018630389296,-0.03398169638947218,1.2894202363512386,0.5145993415585554,4.230206166092936,Americas_IBOV,Americas,train
BBDC4 BS Equity,1.9545807053049606,2.8158132747417564,-0.31398118444350787,0.8841123871751693,0.35670564721223413,3.2133330735924464,0.2169740763085239,-0.03398169638947218,1.2894202363512386,0.6259719078789837,5.278250151556687,Americas_IBOV,Americas,train
BRAP4 BS Equity,2.293056721597116,3.4970258523554625,-0.3972708215977114,1.3892663335136914,0.4184840325055185,3.760527533032068,0.25517899156135815,-0.03398169638947218,1.2894202363512386,0.20635024732855237,4.431385384792601,Americas_IBOV,Americas,train
BRFS3 BS Equity,2.018107097471167,2.6289649346923643,-0.3739830877262604,0.9831884238003168,0.37406940833420527,3.3575175256239542,0.224842349189468,-0.03398169638947218,1.2894202363512386,0.5749567562019148,6.08142909008283,Americas_IBOV,Americas,train
BRKM5 BS Equity,1.9933508831720723,2.9048128655322047,-0.41501846241061696,1.2055509690437538,0.44624634014867237,3.414824526274101,0.26048938368678587,-0.03398169638947218,1.2894202363512386,1.2930506175398353,12.102726059763908,Americas_IBOV,Americas,train
CCRO3 BS Equity,1.9865095587729158,2.326481998764131,-0.4062811476481651,0.9452057764406883,0.36932204431026916,3.3510169929263043,0.2189370489127922,-0.03398169638947218,1.2894202363512386,0.7992590830275386,11.99379532367584,Americas_IBOV,Americas,train
CMIG4 BS Equity,1.768320754687839,1.50008450491525,-0.5803924720953341,0.8706377541596673,0.3996634826546174,2.7745392253233265,0.25472093701851517,-0.03398169638947218,1.2894202363512386,0.1181390302096421,5.486433038742799,Americas_IBOV,Americas,train
CSNA3 BS Equity,2.3181604562982905,3.936561879043375,-0.4743584654117194,1.8673414519412899,0.5108383304420308,3.909589550223293,0.3028975809300799,-0.03398169638947218,1.2894202363512386,0.6496925042791669,6.518552674514638,Americas_IBOV,Americas,train
EGIE3 BS Equity,2.170715026807165,2.625991365454846,-0.4122430771839372,1.0825467611535546,0.36930507901191073,3.7185789175790847,0.21558130195856265,-0.03398169638947218,1.2894202363512386,1.1969875946889068,15.706289214184306,Americas_IBOV,Americas,train
ELET3 BS Equity,2.089773631448595,2.444314329742266,-0.6095959888626039,1.4900442109302694,0.49467253764453895,3.567028493559429,0.2898080649587883,-0.03398169638947218,1.2894202363512386,1.1499103659567445,15.213216559033295,Americas_IBOV,Americas,train
ELET6 BS Equity,2.0493112196636276,3.202788780687673,-0.40767123534429317,1.3056848587697862,0.4590543520162393,3.3982054250023346,0.27683589317489515,-0.03398169638947218,1.2894202363512386,0.676181609443842,7.115330530775562,Americas_IBOV,Americas,train
EMBR3 BS Equity,1.9638075607875731,3.356866177656674,-0.3072371284352294,1.0313539249645811,0.401781396562239,3.3419322226510757,0.23609735080946773,-0.03398169638947218,1.2894202363512386,1.0191493058447432,8.224814532807079,Americas_IBOV,Americas,train
GGBR4 BS Equity,1.985159186240973,2.666660608709934,-0.4308106786122903,1.1488258664669897,0.43271915388913146,3.24218618381318,0.26494974523490483,-0.03398169638947218,1.2894202363512386,0.32610301450439527,3.219759812991346,Americas_IBOV,Americas,train
GOAU4 BS Equity,2.1603085860365985,3.002228539721224,-0.45015507542754957,1.3514684147489495,0.44109291038891246,3.5590991039429665,0.2677353941893238,-0.03398169638947218,1.2894202363512386,0.4281025044407116,4.959025289163086,Americas_IBOV,Americas,train
ITSA4 BS Equity,1.9007266416208783,1.7979576248311728,-0.44113327374041844,0.7931389330883223,0.33718334777924514,3.1188924740128776,0.20548748556577617,-0.03398169638947218,1.2894202363512386,0.680600362551645,6.161043413158044,Americas_IBOV,Americas,train
ITUB4 BS Equity,1.8849413210309665,1.8417220447286349,-0.44628608439085005,0.8219349198782524,0.3510422169127361,3.065792131071123,0.21583132573764877,-0.03398169638947218,1.2894202363512386,0.5200444776613311,5.092544393226575,Americas_IBOV,Americas,train
LAME4 BS Equity,2.0412285001615746,2.0812626110194823,-0.5622044092650816,1.1700950167537094,0.42353110751685297,3.38647432676529,0.2552872645558121,-0.03398169638947218,1.2894202363512386,0.7038442266348104,7.939553623807326,Americas_IBOV,Americas,train
PCAR4 BS Equity,1.8717879346498127,2.5524157560950047,-0.2856368335254228,0.7290639544113751,0.3200344738747833,3.0295305213882218,0.19773250760857938,-0.03398169638947218,1.2894202363512386,0.4070029927325394,3.396116013964625,Americas_IBOV,Americas,train
PETR3 BS Equity,2.094191283010158,2.0445058750579426,-0.5985514413817655,1.2237419384294195,0.42496934954779675,3.500655089951712,0.2542287327660632,-0.03398169638947218,1.2894202363512386,0.5126095214272726,8.363739606572993,Americas_IBOV,Americas,train
PETR4 BS Equity,1.9431370587075723,2.0575032649894727,-0.5147404371329156,1.0590801300230823,0.4166334597795002,3.1845438505619974,0.2542203698819303,-0.03398169638947218,1.2894202363512386,0.3780240406595611,8.80391100517743,Americas_IBOV,Americas,train
SBSP3 BS Equity,1.9695766176918477,2.48946178576309,-0.39513317021333194,0.9836689275335124,0.3858221456422303,3.140732351833021,0.2419519371655889,-0.03398169638947218,1.2894202363512386,0.2582811220376676,4.199146408548581,Americas_IBOV,Americas,train
TIMP3 BS Equity,2.101834391752299,2.4857789470746376,-0.5407823673491174,1.344265423705619,0.45478627894440016,3.4331488151842495,0.2784281991373841,-0.03398169638947218,1.2894202363512386,0.46715854654249517,6.955114328669582,Americas_IBOV,Americas,train
UGPA3 BS Equity,2.0244708945977745,2.6485516825729256,-0.32457117291039955,0.8596435261265067,0.3336380232421519,3.58452746585326,0.18843221981675923,-0.03398169638947218,1.2894202363512386,1.8529099632174288,19.269469680468273,Americas_IBOV,Americas,train
USIM5 BS Equity,2.2425784566137335,3.880162941703283,-0.46270292136371644,1.7953627284933407,0.5186834908383848,3.686537521858536,0.3155232831507862,-0.03398169638947218,1.2894202363512386,0.4496702115176887,5.894844398566525,Americas_IBOV,Americas,train
VALE3 BS Equity,1.9405058408508855,2.7003570677907702,-0.3696810129780562,0.9982707362233456,0.397789113650378,3.136595356313991,0.24609871876255573,-0.03398169638947218,1.2894202363512386,0.31193362216433584,6.488818794569685,Americas_IBOV,Americas,train
