,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABEV3 BS Equity,3.4824457472901975,3.7334032873827208,-0.17943127676738144,0.6698893185426207,0.15062401560550756,6.747928745229928,0.07773347680293251,-0.010463298816251805,2.177686949366563,0.8954464783997896,9.921175450121153,Americas_IBOV,Americas,train
BBAS3 BS Equity,4.728767289910022,11.569560582571386,-0.12397133482197359,1.434293868725065,0.1923174920089914,11.318545763077239,0.08034818999948981,-0.010463298816251805,2.177686949366563,1.61790120367735,7.014147729284849,Americas_IBOV,Americas,train
BBDC3 BS Equity,4.978832649204626,10.953691923100765,-0.150559082369085,1.649177804495709,0.20000801231087226,11.950370629874923,0.08332849688414343,-0.010463298816251805,2.177686949366563,1.5730199379713408,6.919894437471019,Americas_IBOV,Americas,train
BBDC4 BS Equity,5.136200247769023,7.629001711407451,-0.24419930623379954,1.862996925182169,0.20942422468702634,12.331156482468478,0.08722983576241304,-0.010463298816251805,2.177686949366563,1.4101864029833961,5.688177166061557,Americas_IBOV,Americas,train
BRAP4 BS Equity,4.693694312831961,16.22844326428945,-0.08210492558923829,1.3324351266436607,0.18429404579663297,11.765567519857418,0.07352130810388073,-0.010463298816251805,2.177686949366563,1.92331849488687,8.861786786103202,Americas_IBOV,Americas,train
BRFS3 BS Equity,3.095685117627627,3.6427229124635576,-0.14173646167128937,0.5163066564615186,0.13761162772855837,6.07597464744891,0.07011258155112199,-0.010463298816251805,2.177686949366563,1.3687698852317487,10.559678602686013,Americas_IBOV,Americas,train
BRKM5 BS Equity,3.6746039177608427,4.272291397174009,-0.17672916796742796,0.7550385039369629,0.15653727918561133,7.898743445085697,0.07282329187801966,-0.010463298816251805,2.177686949366563,1.7054456187207467,11.921816677313757,Americas_IBOV,Americas,train
CCRO3 BS Equity,3.445750005353684,7.131951573885068,-0.08636056965659426,0.6159194006839586,0.14230295156154746,7.612415190493035,0.0644132491245908,-0.010463298816251805,2.177686949366563,2.1721180385783287,13.88297492108332,Americas_IBOV,Americas,train
CMIG4 BS Equity,4.346560924056924,8.22942244999223,-0.14138365758559493,1.1635058457969092,0.18156506223419774,9.445075631281311,0.08355503285409556,-0.010463298816251805,2.177686949366563,1.3491752474962342,7.804871176259759,Americas_IBOV,Americas,train
CSNA3 BS Equity,4.3930806943612435,6.452566515181629,-0.18797477184389838,1.2129197184988452,0.18491981795641355,10.246270472659337,0.07928423170526284,-0.010463298816251805,2.177686949366563,1.9206062042588086,11.554102870045305,Americas_IBOV,Americas,train
EGIE3 BS Equity,3.1191882199389087,4.202736888698442,-0.12538542478083442,0.5269619500315366,0.13887072508552767,6.2819288042764345,0.06895396991546218,-0.010463298816251805,2.177686949366563,1.8507436379041526,18.88737081485759,Americas_IBOV,Americas,train
ELET3 BS Equity,4.327360001780566,9.398924899283777,-0.12348288692809152,1.1606063805838827,0.18207599726185258,9.591464007858871,0.08214683255753942,-0.010463298816251805,2.177686949366563,1.5353351318643946,9.79900303227177,Americas_IBOV,Americas,train
ELET6 BS Equity,4.302017750676433,6.084331947472011,-0.19872536094144594,1.209111062348946,0.18861825048707678,9.043316643108026,0.0897280382541223,-0.010463298816251805,2.177686949366563,1.0252563441469789,10.538579197010318,Americas_IBOV,Americas,train
EMBR3 BS Equity,3.122943707663864,4.219769751677469,-0.12120776496783423,0.5114688602796988,0.1352708529597713,6.557261180180015,0.06442373537871557,-0.010463298816251805,2.177686949366563,2.233620097766923,16.803970826723614,Americas_IBOV,Americas,train
GGBR4 BS Equity,4.801050458580816,10.813232789299667,-0.14696811222007422,1.5892004100395796,0.20274205913685997,11.16998376247373,0.08714201172456085,-0.010463298816251805,2.177686949366563,1.4739840317306876,6.379476941523791,Americas_IBOV,Americas,train
GOAU4 BS Equity,4.787509690803174,12.982125060198436,-0.11803857520262359,1.5323915452080974,0.19848518364053974,11.283669223888984,0.08421460442567125,-0.010463298816251805,2.177686949366563,1.6343417187679548,8.492630719332087,Americas_IBOV,Americas,train
ITSA4 BS Equity,5.017518631754373,8.65799724143929,-0.189310822312411,1.639052577355458,0.19760885914059062,12.133726903994086,0.08171488779851,-0.010463298816251805,2.177686949366563,1.502377776429204,5.928091394935027,Americas_IBOV,Americas,train
ITUB4 BS Equity,5.056988781843181,12.337087622690866,-0.1395503609968072,1.7216450313957523,0.20236613063289002,12.412853946189399,0.0824438325683915,-0.010463298816251805,2.177686949366563,1.5544130320890464,6.243023981351856,Americas_IBOV,Americas,train
LAME4 BS Equity,3.4833831141590994,3.2173271648780553,-0.22905484878500013,0.7369443872430161,0.16241633064212868,7.1529336624577775,0.07909458277124233,-0.010463298816251805,2.177686949366563,1.5848384353692888,12.363150235753844,Americas_IBOV,Americas,train
PCAR4 BS Equity,3.320540272192664,5.44776983917528,-0.11293833474831214,0.6152620537285363,0.1477971817400457,6.599322798339904,0.07436619015027646,-0.010463298816251805,2.177686949366563,1.362382880569281,10.679497278927371,Americas_IBOV,Americas,train
PETR3 BS Equity,4.526289477876556,10.70805228577101,-0.1237708659447078,1.3253449039910858,0.19069239498009538,10.781018607368846,0.08006005854767152,-0.010463298816251805,2.177686949366563,2.011540807224531,14.09169626072411,Americas_IBOV,Americas,train
PETR4 BS Equity,4.589196107915077,8.82702990380282,-0.15649984076298468,1.3814287743552454,0.1933999091684379,10.839884632151549,0.08187818787244415,-0.010463298816251805,2.177686949366563,2.0010902762542186,15.152877731788134,Americas_IBOV,Americas,train
SBSP3 BS Equity,4.261869375387432,11.092078994767427,-0.10240297182961995,1.135861852833088,0.18216651250912333,9.57472221295067,0.0810853687048648,-0.010463298816251805,2.177686949366563,1.5244729853561492,6.819935940771353,Americas_IBOV,Americas,train
TIMP3 BS Equity,3.470835494497215,8.306048077911695,-0.08208305696408377,0.6817858175256442,0.15327944505744762,7.066854150501224,0.07528211664655504,-0.010463298816251805,2.177686949366563,1.4866592515660702,9.614371771151342,Americas_IBOV,Americas,train
UGPA3 BS Equity,3.177984269343957,3.25214643316857,-0.16921932881265597,0.5503260366212586,0.14118711077829818,6.568511780992336,0.06830929623753654,-0.010463298816251805,2.177686949366563,1.862434834878983,12.628006674091381,Americas_IBOV,Americas,train
USIM5 BS Equity,4.352903631387788,8.405604501462307,-0.14977479499618418,1.25894769102552,0.1916748238138245,9.568661980276246,0.08719526704408923,-0.010463298816251805,2.177686949366563,1.3391009967020733,8.906927692960076,Americas_IBOV,Americas,train
VALE3 BS Equity,4.128258662510498,5.845068522423328,-0.16669907309891382,0.9743675048876066,0.16837619560390205,9.905609448639098,0.07017241005376688,-0.010463298816251805,2.177686949366563,2.1145054348320778,11.277728674740802,Americas_IBOV,Americas,train
