,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABEV3 BS Equity,4.481182664499959,3.769807412757857,-0.04969097220071319,0.1873253953493932,0.03849435774287359,10.239721410100147,0.016846185720275155,-0.001919741006182022,3.222159672825388,1.4847844966574422,13.5747783221328,Americas_IBOV,Americas,train
BBAS3 BS Equity,6.397787395992064,12.190344609294096,-0.027472153940703067,0.3348950236967472,0.045334595176707085,19.75013806522481,0.014685522737414731,-0.001919741006182022,3.222159672825388,1.7666271260328132,5.915822878010175,Americas_IBOV,Americas,train
BBDC3 BS Equity,6.5243353510668545,8.664725435449268,-0.04080818455731358,0.353591714708263,0.046598439859789176,20.767231792732684,0.014639594314547777,-0.001919741006182022,3.222159672825388,1.8569789339549745,6.4475622233196095,Americas_IBOV,Americas,train
BBDC4 BS Equity,6.866402548921025,10.820168984759496,-0.03671576912656286,0.3972708263548257,0.04892425536677144,22.794463737993134,0.014737509757447743,-0.001919741006182022,3.222159672825388,1.8174646083865582,5.961973283830279,Americas_IBOV,Americas,train
BRAP4 BS Equity,6.204435097272117,18.673957571746623,-0.01712969492723507,0.3198791962881511,0.04491903348715841,19.44945895427509,0.014329304920947838,-0.001919741006182022,3.222159672825388,1.8311202811190073,5.792630193464749,Americas_IBOV,Americas,train
BRFS3 BS Equity,4.256892250230248,5.794666132632678,-0.027735923063882856,0.16072041403558757,0.03516681591538424,9.653447085914275,0.015507553395502423,-0.001919741006182022,3.222159672825388,1.6324519380239086,9.4263940919524,Americas_IBOV,Americas,train
BRKM5 BS Equity,5.0083519584728995,4.84886159574492,-0.04388607451235973,0.21279750129098107,0.0386851741546151,12.817965242298536,0.015115423086167487,-0.001919741006182022,3.222159672825388,1.7842180004735924,7.49522632139117,Americas_IBOV,Americas,train
CCRO3 BS Equity,4.3016301228926475,5.395433293639405,-0.027766018176730207,0.14980969890252704,0.03258395484250707,10.530893257013913,0.013309803665529354,-0.001919741006182022,3.222159672825388,2.042587242893584,10.323251498364963,Americas_IBOV,Americas,train
CMIG4 BS Equity,5.905925710750578,6.2384367192930945,-0.04598978555949131,0.2869043669467459,0.04288602434772882,16.346351888769,0.015494691142746521,-0.001919741006182022,3.222159672825388,1.6802380022992995,6.801823825952537,Americas_IBOV,Americas,train
CSNA3 BS Equity,6.2303613951711645,15.312304350666755,-0.021497551599410258,0.32917705288433274,0.04586685135129654,19.47168984903675,0.014676027719869882,-0.001919741006182022,3.222159672825388,2.084166839264413,8.849863635754286,Americas_IBOV,Americas,train
EGIE3 BS Equity,4.2000319039208165,5.536596872810707,-0.027311208297522826,0.1512111504527467,0.03367082329201124,10.43270526828744,0.013555307891961715,-0.001919741006182022,3.222159672825388,2.3020088532855683,12.325546855196412,Americas_IBOV,Americas,train
ELET3 BS Equity,5.969944372658789,11.87801659148277,-0.024615648232087256,0.2923850781108359,0.043140451255834794,18.507671343953756,0.01391564013767021,-0.001919741006182022,3.222159672825388,1.9952010342587783,7.408657085695552,Americas_IBOV,Americas,train
ELET6 BS Equity,5.942183465917579,11.822880622293786,-0.02470824016474702,0.2921225738547686,0.043309019143771506,17.592667283303822,0.014628261498781539,-0.001919741006182022,3.222159672825388,1.9083851146752744,7.322967523850696,Americas_IBOV,Americas,train
EMBR3 BS Equity,4.125598346568838,5.211115173400511,-0.02969785324820404,0.15475893367913773,0.03503589192610421,9.852231078798056,0.014671196467565392,-0.001919741006182022,3.222159672825388,2.2156282172145603,14.022078048614343,Americas_IBOV,Americas,train
GGBR4 BS Equity,6.637870350765181,12.365773636178941,-0.029928722975900036,0.3700918135398876,0.04763632304273042,20.818773665336124,0.015188393967282566,-0.001919741006182022,3.222159672825388,1.7001174263636067,5.330449531515258,Americas_IBOV,Americas,train
GOAU4 BS Equity,6.559875445251974,18.23605683852119,-0.0198529703713094,0.36203989610467535,0.04730059269342456,21.42766056910178,0.014480628697417687,-0.001919741006182022,3.222159672825388,1.8711422563417952,5.956745564674133,Americas_IBOV,Americas,train
ITSA4 BS Equity,6.94711853734578,15.983856156038925,-0.02494122743494951,0.3986569916752847,0.04849576176063139,23.845865982847467,0.01412847852757061,-0.001919741006182022,3.222159672825388,1.8066920539655629,5.8039450340097964,Americas_IBOV,Americas,train
ITUB4 BS Equity,6.731489601047812,10.20363430329781,-0.0376277195515981,0.383939489971556,0.04847556832304493,21.786035367185274,0.014978070978575612,-0.001919741006182022,3.222159672825388,1.7556044048873798,5.9139799256220975,Americas_IBOV,Americas,train
LAME4 BS Equity,5.081763786019552,12.339100736104793,-0.018161204939643707,0.22409293723930768,0.03996178822315444,13.273396332519436,0.015299503090966823,-0.001919741006182022,3.222159672825388,1.9463347222228342,9.98439106583045,Americas_IBOV,Americas,train
PCAR4 BS Equity,5.124254573772745,11.69533861043942,-0.018457494995180224,0.21586665386912363,0.038300916292293825,13.427596722735938,0.014616438782239808,-0.001919741006182022,3.222159672825388,1.775862579432227,6.892730919666894,Americas_IBOV,Americas,train
PETR3 BS Equity,6.2469865736360575,20.373195808683516,-0.01539240609466976,0.31359250333348054,0.04384025473313164,20.90758514172559,0.013099049021978745,-0.001919741006182022,3.222159672825388,2.1254245489151327,7.652925291565252,Americas_IBOV,Americas,train
PETR4 BS Equity,6.359402160022518,19.24462733836821,-0.017155788963690657,0.33015676530191684,0.0450463086661275,21.124291659619068,0.013561050815257398,-0.001919741006182022,3.222159672825388,2.1243867251403747,8.85987530211937,Americas_IBOV,Americas,train
SBSP3 BS Equity,5.529324212746764,9.619183160765674,-0.026210864687108638,0.2521271082273431,0.04083204221075627,15.82061494212471,0.014270848540196576,-0.001919741006182022,3.222159672825388,2.3182067602207903,14.040576915977809,Americas_IBOV,Americas,train
TIMP3 BS Equity,4.925393108345695,3.8127607421273977,-0.05391211340153265,0.20555398950248405,0.0381151834663458,12.470369513018706,0.015054266176514198,-0.001919741006182022,3.222159672825388,1.7544804495887953,10.017448157899036,Americas_IBOV,Americas,train
UGPA3 BS Equity,4.555473817799068,5.161090334652785,-0.03280404501097172,0.16930463964364106,0.03447500214602788,11.319876075056415,0.013873824112868124,-0.001919741006182022,3.222159672825388,1.8961281538340817,8.284626728288435,Americas_IBOV,Americas,train
USIM5 BS Equity,6.504309790901223,15.938484950724792,-0.022204490351123565,0.3539059352998968,0.0467789144282153,20.979557135922207,0.01450290628881745,-0.001919741006182022,3.222159672825388,1.8835123309032473,6.6262049274389305,Americas_IBOV,Americas,train
VALE3 BS Equity,5.673723379257867,8.244091435950804,-0.033225822330384916,0.27391671732634926,0.04285128987651046,16.657121106311752,0.014595941498653531,-0.001919741006182022,3.222159672825388,1.9708439501482615,7.7582152431959255,Americas_IBOV,Americas,train
VIVT4 BS Equity,5.163335658864523,6.648890912607281,-0.03235596000552962,0.21513124844945053,0.03789065196586864,14.503735428684998,0.013489087373040482,-0.001919741006182022,3.222159672825388,2.178195414056123,10.356109309252579,Americas_IBOV,Americas,train
WEGE3 BS Equity,3.918582365054788,5.9571081006847955,-0.020997510345170327,0.12508443897142696,0.030199794550924988,8.759710890863397,0.01350962193044115,-0.001919741006182022,3.222159672825388,1.7320193168109954,9.232740505221253,Americas_IBOV,Americas,train
ALFAA MF Equity,7.750053628211409,22.20459251186348,-0.015128031521300486,0.3359117754371035,0.037481075700324176,26.916660704816774,0.010791841896962426,-0.0014421170217749093,3.7757244970546466,1.5137830126989842,3.987554645117287,Americas_MEXBOL,Americas,train
ASURB MF Equity,5.261511228561672,9.449159632152488,-0.01704588009301376,0.1610692420694173,0.028468927130078987,14.810615863396373,0.010113663141464046,-0.0014421170217749093,3.7757244970546466,1.9743908805749726,7.488977947236572,Americas_MEXBOL,Americas,train
BIMBOA MF Equity,7.039214120026027,14.356013308707077,-0.01948378315911173,0.2797094503361708,0.035141584788627604,22.372682692524112,0.011056749127669801,-0.0014421170217749093,3.7757244970546466,1.5514410155861187,4.426724683372436,Americas_MEXBOL,Americas,train
CEMEXCPO MF Equity,7.604655926966756,30.11679530615226,-0.010831741823444317,0.3262173513057609,0.03723766865581199,26.291372110011103,0.010770820802540654,-0.0014421170217749093,3.7757244970546466,1.650824054102855,4.893116108575276,Americas_MEXBOL,Americas,train
FEMSAUBD MF Equity,7.347933227524898,22.308607206470743,-0.013411590996422057,0.2991939155530192,0.03572649708934947,25.271771774414958,0.010387713113635844,-0.0014421170217749093,3.7757244970546466,1.565266858155145,3.688414293613743,Americas_MEXBOL,Americas,train
GCARSOA1 MF Equity,7.680278015986449,9.612761481082003,-0.034339303072532856,0.33009552986284474,0.037251739586645786,25.265510269555183,0.011323884360622684,-0.0014421170217749093,3.7757244970546466,1.3873480205018915,3.203424783023081,Americas_MEXBOL,Americas,train
GFINBURO MF Equity,6.785481673363089,23.623578421160143,-0.01093280731766996,0.2582720310324098,0.033957625984996104,20.64110235400831,0.011163107708119282,-0.0014421170217749093,3.7757244970546466,1.4882654641431767,4.152920224893984,Americas_MEXBOL,Americas,train
GFNORTEO MF Equity,7.390299349649872,10.201233235743713,-0.030712748839229486,0.313307914219797,0.03699150295977902,24.81540893118952,0.011016472911015693,-0.0014421170217749093,3.7757244970546466,1.4841927205031364,3.7107273742716593,Americas_MEXBOL,Americas,train
GMEXICOB MF Equity,7.428275066183713,21.965073654100387,-0.014095627483708972,0.30961149588042924,0.0364197452082306,24.24790510200499,0.01115708281226708,-0.0014421170217749093,3.7757244970546466,1.4089168474489622,3.3299530284382515,Americas_MEXBOL,Americas,train
GRUMAB MF Equity,5.626785143059362,11.90465224255776,-0.014765373810507089,0.17577664044545682,0.0288612557452025,16.2404204912774,0.009999500020603758,-0.0014421170217749093,3.7757244970546466,1.9902747786085693,8.763877110336542,Americas_MEXBOL,Americas,train
KIMBERA MF Equity,6.481735092647448,9.220326725820279,-0.026274472109644023,0.24225921739937029,0.033569200203571306,19.33154666230715,0.011255522736618314,-0.0014421170217749093,3.7757244970546466,1.6095488228978672,5.2331947051045695,Americas_MEXBOL,Americas,train
KOFL MF Equity,5.563243417250231,16.923546384790225,-0.010326488172835307,0.17476080158496599,0.029036352451556457,16.018995814863484,0.010084046372444581,-0.0014421170217749093,3.7757244970546466,1.8628771687565746,6.563858210837752,Americas_MEXBOL,Americas,train
TLEVICPO MF Equity,7.169225180472109,12.46805239655974,-0.024114709706850396,0.3006634641528385,0.036780205247184256,22.70750683602554,0.011612264415691274,-0.0014421170217749093,3.7757244970546466,1.5860880066780525,5.37112174989622,Americas_MEXBOL,Americas,train
BMA AR Equity,8.385524694013414,43.85531107431445,-0.014096684378075361,0.6182144785169239,0.0576512257239673,32.929350959853124,0.014680999256191396,-0.002076071642325621,4.306701180567756,1.4884430610528872,2.944024560513995,Americas_MERVAL,Americas,train
CEPU AR Equity,7.256672540322832,25.443360578965915,-0.018563605386709245,0.4723205054996773,0.053545519341708474,26.49703491195628,0.014664369094708389,-0.002076071642325621,4.306701180567756,1.7602085732660724,4.663193199866863,Americas_MERVAL,Americas,train
COME AR Equity,6.987450075627923,19.907423864190584,-0.022119470172867913,0.44034166838260247,0.05245310549077108,22.291634163770382,0.016441749099044792,-0.002076071642325621,4.306701180567756,1.5431322536185026,4.338575030508855,Americas_MERVAL,Americas,train
CRES AR Equity,6.7179532930479855,10.764586164004161,-0.0383702525740493,0.41303988996795615,0.051698842926893925,21.21824178514916,0.01636848215814862,-0.002076071642325621,4.306701180567756,1.5789849538401568,4.52487558158129,Americas_MERVAL,Americas,train
GGAL AR Equity,8.859412965785374,51.76621020189662,-0.013309482915902749,0.6889814903031737,0.05941997297702132,38.96452919182243,0.013510392398882656,-0.002076071642325621,4.306701180567756,1.474727836347619,2.5819992391623154,Americas_MERVAL,Americas,train
