,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABEV3 BS Equity,0.6026232130431316,0.26657536922783026,-0.4199836111745085,0.11195728621848211,0.21419215212884835,0.8892507501029223,0.1451527175091732,-0.015390113690822528,1.1046977873733885,0.03736292212928343,5.713424258293946,Americas_IBOV,Americas,train
BBAS3 BS Equity,0.4706623889454644,0.21272567075142812,-0.33218240736914734,0.070663725419426,0.17911524648044827,0.7004542244392067,0.12035448836437165,-0.015390113690822528,1.1046977873733885,0.21391157902535263,5.006123927728943,Americas_IBOV,Americas,train
BBDC3 BS Equity,0.5314231640384188,0.2440048349607003,-0.3550433810882511,0.08663230160632773,0.19037740989869378,0.7948530668344276,0.12728260071100328,-0.015390113690822528,1.1046977873733885,0.3177240565759874,4.258391358889802,Americas_IBOV,Americas,train
BBDC4 BS Equity,0.5117245689869977,0.25211328781803516,-0.32164365461460453,0.08109063927069649,0.1861333256677732,0.7667912354001216,0.12421763767520834,-0.015390113690822528,1.1046977873733885,0.4122493092473893,5.3702368699462575,Americas_IBOV,Americas,train
BRAP4 BS Equity,0.4455167609195673,0.09679080593408314,-0.5780648451105157,0.055951362240407754,0.14618560790200097,0.6534854547717573,0.09966272095268693,-0.015390113690822528,1.1046977873733885,0.05471253657792533,4.631250920409365,Americas_IBOV,Americas,train
BRFS3 BS Equity,0.4707521247982204,0.13778659507847865,-0.5122029759075503,0.07057470403936539,0.17877394739201619,0.7014036464098052,0.1199854264005155,-0.015390113690822528,1.1046977873733885,0.22511872139994593,5.8476699029600265,Americas_IBOV,Americas,train
BRKM5 BS Equity,0.4403805687156689,0.12902987745171826,-0.3576563523793154,0.046148355317331635,0.11828444683521015,0.6692653013542762,0.07783187304362305,-0.015390113690822528,1.1046977873733885,0.7096641986289759,11.600928743312135,Americas_IBOV,Americas,train
CCRO3 BS Equity,0.4868477066941163,0.17611814780923926,-0.40296714884596846,0.07096982788272199,0.1708055459742232,0.7144293967976789,0.11639539011261632,-0.015390113690822528,1.1046977873733885,0.09278688331458311,11.796835067963931,Americas_IBOV,Americas,train
CMIG4 BS Equity,0.3290320747218596,0.08633074393265369,-0.3859005788045607,0.033315084052239374,0.12238766804956261,0.47261674624556704,0.08520533531368821,-0.015390113690822528,1.1046977873733885,-0.17024342433894823,5.390977375702677,Americas_IBOV,Americas,train
CSNA3 BS Equity,0.49546055098144864,0.13963811915759844,-0.5389190286905274,0.07525363954458508,0.17865347148947092,0.7321757747036632,0.12089412198149707,-0.015390113690822528,1.1046977873733885,0.08686567122897307,6.323243361984552,Americas_IBOV,Americas,train
EGIE3 BS Equity,0.5688637365655936,0.31335306537727237,-0.3119219151312402,0.09774168826472351,0.19813738714530435,0.8874401468238118,0.12700932542687746,-0.015390113690822528,1.1046977873733885,1.225467784589235,14.499024470064054,Americas_IBOV,Americas,train
ELET3 BS Equity,0.3212114695435572,0.0833670048405051,-0.38316159720717907,0.031943034729066566,0.12035106399972188,0.4845114899150587,0.07978787486599885,-0.015390113690822528,1.1046977873733885,0.8377903894544073,15.60893953974174,Americas_IBOV,Americas,train
ELET6 BS Equity,0.3043753309649773,0.09218546269663327,-0.32414161847530754,0.0298811450783818,0.12055967036500789,0.452424929086303,0.08110823964206879,-0.015390113690822528,1.1046977873733885,0.45394603336994904,7.210050786223306,Americas_IBOV,Americas,train
EMBR3 BS Equity,0.32550773247840453,0.10455142376719873,-0.2075953162056352,0.021704385876700982,0.07448431161049962,0.4774166607854212,0.050784192025602214,-0.015390113690822528,1.1046977873733885,0.1636461444765247,8.250268600980212,Americas_IBOV,Americas,train
GGBR4 BS Equity,0.49775318851371364,0.13157363289778934,-0.597733695815588,0.07864599386387905,0.18732100551707212,0.7366416734195009,0.12657392479425977,-0.015390113690822528,1.1046977873733885,0.14695355980979277,3.24819435723305,Americas_IBOV,Americas,train
GOAU4 BS Equity,0.41927544834536645,0.0761086580941828,-0.7005252177840644,0.0533160342866803,0.15111027464298515,0.6144325038215613,0.10311438238776616,-0.015390113690822528,1.1046977873733885,0.1095021841406375,4.906004499696307,Americas_IBOV,Americas,train
ITSA4 BS Equity,0.5270837528986045,0.22944793884921671,-0.38898611954716716,0.08925206337105251,0.2000229639548367,0.7925462284118469,0.13302549520484439,-0.015390113690822528,1.1046977873733885,0.4922057940957633,6.096414642305627,Americas_IBOV,Americas,train
ITUB4 BS Equity,0.48967093367464737,0.2333959532432998,-0.32019932363951564,0.07473322636870461,0.18026185116894736,0.7375170827015368,0.11968399246358884,-0.015390113690822528,1.1046977873733885,0.4887053945053144,5.080000873793711,Americas_IBOV,Americas,train
LAME4 BS Equity,0.6326915212579132,0.21796488432178934,-0.656743314968068,0.14314698067612341,0.2678262927341414,0.9677643115667856,0.17509575684651318,-0.015390113690822528,1.1046977873733885,0.63113870395386,7.778625381595301,Americas_IBOV,Americas,train
PCAR4 BS Equity,0.2786930441189494,0.07509627824919109,-0.3091828663262944,0.023218482559521858,0.10043557927842844,0.40989193590611483,0.06828799221209007,-0.015390113690822528,1.1046977873733885,0.289869841710649,3.347025398593904,Americas_IBOV,Americas,train
