,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,0.3885576000291025,0.11957952953119567,-0.4049212726067982,0.04842029527549396,0.15099549377780544,0.5647487880216426,0.10388768939733423,-0.01135583191124834,1.0724658072703355,0.3280686759261407,17.592603951204616,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,0.440733718731337,0.1082962206169176,-0.5290025509941424,0.05728897696937385,0.1534869212501287,0.6124371996797023,0.11045518073456613,-0.01135583191124834,1.0724658072703355,-1.7633238092931804,38.493720470800554,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,0.5309600470478573,0.1520572901791906,-0.48093696181004647,0.07312997115984854,0.1557001732898121,0.7919777394318936,0.10438496843941587,-0.01135583191124834,1.0724658072703355,0.5440346127216863,13.499860038660096,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,0.34987711784655967,0.10653010215918507,-0.34789438296946,0.03706122415834323,0.12707238815278543,0.5082603936880656,0.08747429757838286,-0.01135583191124834,1.0724658072703355,0.1563934371423502,5.405846882275414,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,0.1944560339950151,0.045271210857063725,-0.2355060722401995,0.010661645054504953,0.0655598278469961,0.28566327312022477,0.044627732411220575,-0.01135583191124834,1.0724658072703355,1.029681732496919,31.580784975414076,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,0.3456016220932652,0.09556824307700686,-0.39568967809513544,0.0378153673392585,0.13292283348572684,0.5071340647395375,0.09058422626272201,-0.01135583191124834,1.0724658072703355,0.3886065971142784,16.668766239432834,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,0.30741329574517917,0.08805225673245866,-0.2625970440237752,0.023122262337566202,0.08653647245003657,0.4406746366508293,0.060367581851792,-0.01135583191124834,1.0724658072703355,0.10887460790433957,10.023872957908312,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,0.12775382063250523,0.01853788769251861,-0.2037992057005309,0.0037780067871009404,0.03404484253863129,0.1909227545115947,0.022780724687680165,-0.01135583191124834,1.0724658072703355,1.2369274863369235,38.838559488650155,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,0.4192740117577144,0.17314622628212173,-0.29020574825959594,0.050248030156528456,0.1403929602243674,0.6114533934102918,0.09626754923627345,-0.01135583191124834,1.0724658072703355,0.42593516138371423,12.81761886939735,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,0.16439138742496168,0.029276535333691813,-0.2570556543927189,0.007525698948553705,0.05469599462731551,0.2412575960961564,0.0372695019301649,-0.01135583191124834,1.0724658072703355,0.49737500563679193,11.016006293286672,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,0.7173108807348835,0.3194129908262478,-0.488506628749461,0.15603536332731283,0.24346781548353294,1.073717671939832,0.16265180104521695,-0.01135583191124834,1.0724658072703355,0.1575324222667186,8.666682390038062,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,0.4781153518456247,0.1433845721377659,-0.4777408563846428,0.06850066828544188,0.16799873152567757,0.7026641528119548,0.11431175521275487,-0.01135583191124834,1.0724658072703355,0.5972058505330506,13.762302274015493,Asia and Pacific_AS51,Asia and Pacific,train
AWC AT Equity,0.09113615434656643,0.01598020177719883,-0.17604463348579963,0.002813228764896092,0.03929458546002795,0.13065542935582775,0.027409174062843628,-0.01135583191124834,1.0724658072703355,0.02998993975313596,4.672733635748899,Asia and Pacific_AS51,Asia and Pacific,train
BEN AT Equity,0.25289893462756824,0.0715244819687396,-0.2256676092970438,0.016140758852094983,0.07414984045081718,0.373742444230622,0.0501747017024495,-0.01135583191124834,1.0724658072703355,1.0545433804114934,19.82071985258555,Asia and Pacific_AS51,Asia and Pacific,train
BHP AT Equity,0.4202007446213348,0.12413465923464882,-0.4047726295330989,0.05024631243460398,0.14000656850048857,0.6046180369111666,0.0973025294388082,-0.01135583191124834,1.0724658072703355,-0.033041562414158225,4.253910233277239,Asia and Pacific_AS51,Asia and Pacific,train
BKL AT Equity,0.5427084693005613,0.17404958757799063,-0.5051627401828621,0.08792336658859479,0.18782014785821916,0.8042963718104926,0.12673386144772542,-0.01135583191124834,1.0724658072703355,0.03744665937747552,16.45350382275298,Asia and Pacific_AS51,Asia and Pacific,train
BKW AT Equity,0.4608414242220772,0.2046361030452577,-0.2874484445398782,0.05882232951706157,0.1475773950418409,0.692009868257702,0.09827862294116803,-0.01135583191124834,1.0724658072703355,0.6760672248680255,12.728276099726232,Asia and Pacific_AS51,Asia and Pacific,train
BLD AT Equity,0.3276914178240048,0.07634069623185523,-0.3774759094299914,0.028816773736638268,0.1028692807010666,0.4679887452746257,0.0720303229166049,-0.01135583191124834,1.0724658072703355,-0.33354128459405125,9.73870600410951,Asia and Pacific_AS51,Asia and Pacific,train
BOQ AT Equity,0.24457839615861993,0.06250536760959767,-0.2210348085030537,0.013815861960000397,0.06464553075392106,0.3486830043741096,0.0453446254399394,-0.01135583191124834,1.0724658072703355,-0.01257451189115777,5.74009226533785,Asia and Pacific_AS51,Asia and Pacific,train
BPT AT Equity,0.4237733068104237,0.145532934314472,-0.3548221398528381,0.05163830717252349,0.14280992492215247,0.6409514513759117,0.09442062109336746,-0.01135583191124834,1.0724658072703355,0.5246853740827131,6.813214417444351,Asia and Pacific_AS51,Asia and Pacific,train
BRG AT Equity,0.6089716113675979,0.18718224983593548,-0.5316926664310626,0.09952342952383386,0.18323253502888528,0.9229285570443253,0.1209014622636182,-0.01135583191124834,1.0724658072703355,0.8835705904822007,21.9831860217495,Asia and Pacific_AS51,Asia and Pacific,train
BWP AT Equity,0.4011246343728926,0.16587331981835884,-0.2838940663294878,0.04709045125880551,0.13863469564621667,0.5818066207233157,0.09558122857617278,-0.01135583191124834,1.0724658072703355,0.3683182086049994,11.28471817390219,Asia and Pacific_AS51,Asia and Pacific,train
CBA AT Equity,0.3857670378984708,0.10331878617461457,-0.36641640077081467,0.037857697762111675,0.11281205270580977,0.5553684382541114,0.07836090136554356,-0.01135583191124834,1.0724658072703355,0.16731302418785599,8.456921216926787,Asia and Pacific_AS51,Asia and Pacific,train
CCP AT Equity,0.6591882136436242,0.18540558217048858,-0.7467500933907267,0.13845163580097442,0.24395204860128003,0.9368652035399574,0.17164722793050324,-0.01135583191124834,1.0724658072703355,-2.7882743863542316,109.1885151413394,Asia and Pacific_AS51,Asia and Pacific,train
CGF AT Equity,0.28737670904138457,0.06835598698484581,-0.3107514104994225,0.021241719371621004,0.08601843647973338,0.41716426883292473,0.05925650166920564,-0.01135583191124834,1.0724658072703355,-0.009757384885584468,13.339255974970516,Asia and Pacific_AS51,Asia and Pacific,train
CIM AT Equity,0.34456337669562376,0.10488088971957861,-0.3521419078066196,0.036932956598308087,0.12949842742925005,0.5028731425539196,0.08873095748399656,-0.01135583191124834,1.0724658072703355,0.9869823196385138,49.97053403656738,Asia and Pacific_AS51,Asia and Pacific,train
COH AT Equity,0.5274733186770793,0.18863765680010777,-0.39704393039424674,0.0748974366762758,0.16179055218578084,0.7752427753331518,0.11008190235034052,-0.01135583191124834,1.0724658072703355,-0.08295944345748973,20.342130124845156,Asia and Pacific_AS51,Asia and Pacific,train
CPU AT Equity,0.27114343737739355,0.054976649367729134,-0.40639586952365436,0.022342283223295345,0.09995736550096956,0.3867949838107713,0.07007015294278132,-0.01135583191124834,1.0724658072703355,-0.41066720795499484,22.238601748792043,Asia and Pacific_AS51,Asia and Pacific,train
CQR AT Equity,0.0760189439498214,0.009960305022520901,-0.11343239076890489,0.001129821211492077,0.016684676889440867,0.10680891958691721,0.011874958778579792,-0.01135583191124834,1.0724658072703355,0.0044784879482090605,26.37724596097024,Asia and Pacific_AS51,Asia and Pacific,train
CSL AT Equity,0.7173992841922582,0.22013724698157505,-0.7175867270725632,0.15796756656827293,0.24631708491978938,1.1025009664739798,0.16027895283477836,-0.01135583191124834,1.0724658072703355,1.2400353040060013,21.71463526707783,Asia and Pacific_AS51,Asia and Pacific,train
CSR AT Equity,0.2565945302847396,0.04533488107869457,-0.4015147017016046,0.01820262125298977,0.08412383732709114,0.35852884748362923,0.06020635905923978,-0.01135583191124834,1.0724658072703355,-0.6426097531274391,9.777928406100056,Asia and Pacific_AS51,Asia and Pacific,train
DOW AT Equity,0.3411337493568992,0.12098851761027853,-0.26778578070852477,0.032399004645035534,0.11173591577966545,0.49639577506399674,0.07678730118690041,-0.01135583191124834,1.0724658072703355,0.5342886595458161,30.3756152208666,Asia and Pacific_AS51,Asia and Pacific,train
ELD AT Equity,-0.008490338861932838,-0.0013603364583307282,-0.04916001443182769,-6.687415992367995e-05,0.005856754618493735,-0.011693128095159247,0.00425256876838522,-0.01135583191124834,1.0724658072703355,-0.6596218986894005,26.59207393453685,Asia and Pacific_AS51,Asia and Pacific,train
FLT AT Equity,0.2164536130431622,0.039365371127102734,-0.2528663407058925,0.009954177347439863,0.05201529441624423,0.3058167185839197,0.03681583682551453,-0.01135583191124834,1.0724658072703355,-0.37180702175514263,17.92872194673631,Asia and Pacific_AS51,Asia and Pacific,train
FMG AT Equity,0.8074179669758935,0.3950517918424237,-0.508172752723452,0.20075455652889662,0.2708642413004029,1.3614110571691584,0.16064263169126375,-0.01135583191124834,1.0724658072703355,2.8806089512164004,49.76907061406674,Asia and Pacific_AS51,Asia and Pacific,train
GNC AT Equity,0.1613734572044715,0.044660951316373834,-0.140878647876306,0.006291774434320274,0.04517409669341852,0.2430700166781647,0.029990947707705863,-0.01135583191124834,1.0724658072703355,1.3470866038912255,53.41280292421666,Asia and Pacific_AS51,Asia and Pacific,train
GPT AT Equity,-0.06056033543503116,-0.007524842606649306,-0.027962618538706525,-0.0002104143033735406,0.0033804668508277294,-0.08120118072119212,0.002521172778460618,-0.01135583191124834,1.0724658072703355,-1.6972865895066167,47.60151961764384,Asia and Pacific_AS51,Asia and Pacific,train
GUD AT Equity,0.4694895351498966,0.14286885087430914,-0.4446196607926277,0.06352230001356785,0.1576871547268636,0.6760234943455087,0.10951168057184084,-0.01135583191124834,1.0724658072703355,-0.07505155322593805,6.624993615769549,Asia and Pacific_AS51,Asia and Pacific,train
GWA AT Equity,0.18452024647432622,0.06433815516059524,-0.1713794903055896,0.011026240238624752,0.07444134930441268,0.2652066840121438,0.051793325544173194,-0.01135583191124834,1.0724658072703355,0.06550285502178971,5.938091193598789,Asia and Pacific_AS51,Asia and Pacific,train
HLS AT Equity,0.181485416291119,0.04297403151935498,-0.17749444836379744,0.007627652018496356,0.04828264289413176,0.2703033643591524,0.032417634038894416,-0.01135583191124834,1.0724658072703355,0.7003979270094278,10.315893516955732,Asia and Pacific_AS51,Asia and Pacific,train
HVN AT Equity,0.26234393058017663,0.06756462670675034,-0.2392744652934655,0.016166489928010286,0.07063713576599653,0.38092182827313864,0.04864836422156767,-0.01135583191124834,1.0724658072703355,0.11169649057121546,4.02408847178814,Asia and Pacific_AS51,Asia and Pacific,train
IAG AT Equity,0.2216475956002934,0.06856491321605274,-0.2336405497534102,0.016019544017593423,0.08997756807490866,0.31288256719728685,0.06374056503183204,-0.01135583191124834,1.0724658072703355,-0.178612264341279,5.9566368994319046,Asia and Pacific_AS51,Asia and Pacific,train
ILU AT Equity,0.3768305479702947,0.1329522633830549,-0.3008841149084153,0.04000322409308099,0.12473002206483735,0.5523604592172037,0.08509313398292521,-0.01135583191124834,1.0724658072703355,0.06481351250453538,5.324680813951643,Asia and Pacific_AS51,Asia and Pacific,train
IRE AT Equity,0.4528474752954964,0.16871954243577605,-0.3766971377587839,0.06355616871952852,0.16556425677384767,0.7268888059438177,0.10314556375904235,-0.01135583191124834,1.0724658072703355,4.477663201573917,123.99604616090012,Asia and Pacific_AS51,Asia and Pacific,train
JHX AT Equity,0.4994048813354513,0.16977015582813879,-0.3766062963244764,0.06393650961286457,0.14516125717913256,0.7439695715472858,0.09744248043005072,-0.01135583191124834,1.0724658072703355,0.38820313616236235,8.615976973018105,Asia and Pacific_AS51,Asia and Pacific,train
LLC AT Equity,0.057464517249982514,0.011419100887223883,-0.07931529399788265,0.0009057093440616448,0.01884572767325127,0.07859062384191891,0.013779769010948958,-0.01135583191124834,1.0724658072703355,-0.7800725522863888,10.2192518704971,Asia and Pacific_AS51,Asia and Pacific,train
LYC AT Equity,0.4835528724376538,0.1328840793984312,-0.41067676358549565,0.05457240365938576,0.12630279756005258,0.7652282551561872,0.07981158581841619,-0.01135583191124834,1.0724658072703355,1.0139775774998856,10.166605902770051,Asia and Pacific_AS51,Asia and Pacific,train
MGR AT Equity,0.16597328078125465,0.02764599439693204,-0.13190200387296588,0.003646562060016123,0.02360895464444707,0.2376336773548453,0.01648947952904632,-0.01135583191124834,1.0724658072703355,0.5385174046934784,34.122660831741314,Asia and Pacific_AS51,Asia and Pacific,train
MND AT Equity,0.47059597185369867,0.13629889942033635,-0.47888580728393954,0.06527160848082025,0.16234331062132173,0.6885155709376659,0.11096061042126296,-0.01135583191124834,1.0724658072703355,0.18291847389684318,5.483137482199847,Asia and Pacific_AS51,Asia and Pacific,train
MQG AT Equity,0.4105604533131922,0.10161480648697642,-0.4542439863418753,0.04615791477000242,0.13062487199008027,0.5961147741811484,0.08996490102412401,-0.01135583191124834,1.0724658072703355,0.7527188696485333,27.414059527266147,Asia and Pacific_AS51,Asia and Pacific,train
MTS AT Equity,0.4243874648993456,0.10744136491253502,-0.5064198427150466,0.05441043912009591,0.1519753519107334,0.6312251256591284,0.10217659548522338,-0.01135583191124834,1.0724658072703355,0.5844785141628196,14.764684531855352,Asia and Pacific_AS51,Asia and Pacific,train
NAB AT Equity,0.16409379009274533,0.0441144548571195,-0.10936565355825767,0.004824606186815128,0.032562267392933525,0.22949671616214276,0.02328253737079525,-0.01135583191124834,1.0724658072703355,-0.21480726327006147,10.109137735325948,Asia and Pacific_AS51,Asia and Pacific,train
NCM AT Equity,0.39218624264091734,0.10153620075829208,-0.49012397413525305,0.04976532623424901,0.15409687133326883,0.5732191651599174,0.1054303077149478,-0.01135583191124834,1.0724658072703355,0.10356976925075867,3.472994503338483,Asia and Pacific_AS51,Asia and Pacific,train
