,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,2.026352874491309,1.7503403189962472,-0.006599949015514256,0.01155215686517419,0.005676355074681514,4.054563555852644,0.0028368770802990576,-0.0003281419917184782,1.6101200547780674,2.721575703426096,24.378555553893406,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,1.9813833908462948,1.4016937984324438,-0.007102591683220412,0.009955658715167903,0.005006170862813923,3.8988462935702217,0.0025441228128629525,-0.0003281419917184782,1.6101200547780674,2.5494432206437954,22.399045337754707,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,1.9531230519410165,1.646395985748367,-0.006138846633918239,0.010106972455207863,0.0051557008374244016,3.905570168637582,0.0025782965661062278,-0.0003281419917184782,1.6101200547780674,3.0652849953269907,28.528779153630275,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,2.06222743021843,1.8977871426954571,-0.005950299371151953,0.01129240164176104,0.0054524650081314175,3.9068141812261863,0.002878105377037837,-0.0003281419917184782,1.6101200547780674,2.09451689427165,18.674523810536144,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,2.2865886679018783,1.6843089091641965,-0.008367683663607621,0.01409376414368202,0.0061290100293818804,4.695772771089752,0.0029844980926087704,-0.0003281419917184782,1.6101200547780674,2.535274158108457,19.952854960249567,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,2.071589192516188,1.4623159546259499,-0.007912872129895665,0.011571119162461452,0.005561139849267108,4.127110532067514,0.0027913953649410963,-0.0003281419917184782,1.6101200547780674,3.0105575352083718,33.207294783854714,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,2.0872882403271493,2.3956868114539263,-0.004658111212717898,0.011159375598593924,0.005323638362783079,4.505195209100192,0.0024664786395817363,-0.0003281419917184782,1.6101200547780674,4.1743938466638015,43.64658726799056,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,1.9546204977611663,1.580347666621774,-0.006290934111157256,0.009941863043438692,0.005067884105815886,4.300976506812504,0.002303149095982165,-0.0003281419917184782,1.6101200547780674,3.9686845431837314,35.400140094926094,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,2.699547089576541,4.502017852766581,-0.004001384233968114,0.01801430325710318,0.006622036662519186,6.209321385665913,0.0028789780217594054,-0.0003281419917184782,1.6101200547780674,3.5038258877785347,29.84985151860846,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,1.798246074897676,1.505826341519415,-0.005989900642458189,0.009019750170497609,0.005000409961818592,3.5260750316036575,0.0025501350669302056,-0.0003281419917184782,1.6101200547780674,2.656530730715498,23.429764781115736,Asia and Pacific_AS51,Asia and Pacific,train
