,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,1.8908805390826537,2.2505354834143207,-0.3134784746004099,0.7054944303748174,0.3072370823491,3.198978345838104,0.18160442400439084,-0.02139324684606181,1.3878362675344798,1.1009165103571992,11.658478600448625,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,1.939460397010719,1.9431074951490235,-0.3782046611969233,0.7348923118720387,0.30856593060466925,3.298670805238019,0.18142198406831683,-0.02139324684606181,1.3878362675344798,1.1886073827169443,15.171062121336838,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,1.9514874805934288,1.6682027208012375,-0.39332450855231843,0.6561450153247872,0.27838397042827934,3.29357818685882,0.16494608667748184,-0.02139324684606181,1.3878362675344798,1.0895607563909484,15.045845449128503,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,2.003497843580145,1.6360910829700392,-0.2932204204794043,0.4797353152910788,0.20630661913997833,3.2717396011483846,0.12633489120533178,-0.02139324684606181,1.3878362675344798,0.4968890082529098,6.430990514621408,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,2.3104393878157565,1.9920569773891512,-0.3747162125429424,0.7464560457370046,0.2555233387165075,4.1002762254224585,0.14398327181383463,-0.02139324684606181,1.3878362675344798,1.359995525650055,16.654445009655966,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,2.457994282224263,3.590514462485755,-0.20487242225834795,0.7355973950830867,0.23562421588984994,4.483341041475884,0.1291811107058164,-0.02139324684606181,1.3878362675344798,2.0250317762792718,23.748549394980973,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,2.3721672902426296,3.3365958709135444,-0.20809254896742732,0.6943207396525926,0.23388745069483843,4.2296351000945,0.13117447415833472,-0.02139324684606181,1.3878362675344798,1.2739314061209472,11.754700056227055,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,1.9761807846729513,2.3475142146813663,-0.3196159267331797,0.7503029312446974,0.30645700163216827,3.8861481676845897,0.1558392556902456,-0.02139324684606181,1.3878362675344798,3.2299469881321246,38.2677049141653,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,2.431028657057164,2.9470224470724244,-0.2303973769869812,0.6789862417272412,0.22353386849013235,4.253682785966485,0.12775217792807003,-0.02139324684606181,1.3878362675344798,1.123508996036765,10.790396336321097,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,1.919509079041213,2.0421703757691283,-0.2999032878779058,0.61245361010002,0.2675046925777724,3.3224293378730914,0.15454886586628622,-0.02139324684606181,1.3878362675344798,1.2560570049104878,12.23951764395822,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,2.2738354121575024,2.6730236207721036,-0.2721754717140374,0.7275314648864115,0.25484045053343357,3.911101120398873,0.1481591048236556,-0.02139324684606181,1.3878362675344798,0.7823981438655995,11.436676402931585,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,1.9647164467870235,1.8091311534828711,-0.27466999772637674,0.49691404981385756,0.21746882290086664,3.216825231959617,0.13282181722892894,-0.02139324684606181,1.3878362675344798,0.44155016720996765,10.19158886121247,Asia and Pacific_AS51,Asia and Pacific,train
AWC AT Equity,1.9883991363042286,2.510983187481879,-0.3197507705856434,0.8028888091249258,0.32260018081126857,3.3585556975145527,0.19099219386816046,-0.02139324684606181,1.3878362675344798,0.8879891476958435,7.998105140131933,Asia and Pacific_AS51,Asia and Pacific,train
BEN AT Equity,2.0473053775306638,1.8785166610832795,-0.3444724982123607,0.6470973271768998,0.260202885301083,3.5907731624515753,0.1483565633987847,-0.02139324684606181,1.3878362675344798,1.8389737833973998,25.06677780749617,Asia and Pacific_AS51,Asia and Pacific,train
BHP AT Equity,2.502015007865302,3.212897268001038,-0.27921656591390726,0.8970941418054243,0.27073727649807916,4.376721955972832,0.15477079325597823,-0.02139324684606181,1.3878362675344798,0.8018034237800782,5.112329260525538,Asia and Pacific_AS51,Asia and Pacific,train
BKL AT Equity,2.14957111284579,2.3887492898102582,-0.2753915484726522,0.6578413658337952,0.24955989621579283,4.086457772832918,0.13127426579484075,-0.02139324684606181,1.3878362675344798,2.2586426185385826,22.977181325683205,Asia and Pacific_AS51,Asia and Pacific,train
BKW AT Equity,2.22778782367136,2.5262310806001835,-0.23131676666546525,0.5843596054142388,0.217193556936942,3.96965033238308,0.12189012154970276,-0.02139324684606181,1.3878362675344798,1.4755678209758647,16.74799515051172,Asia and Pacific_AS51,Asia and Pacific,train
BLD AT Equity,2.171261624072368,2.287322066640094,-0.3244317621956392,0.742079928789017,0.27289149843649857,3.751466595016952,0.15794325314739913,-0.02139324684606181,1.3878362675344798,0.9048467212178695,10.61663878956176,Asia and Pacific_AS51,Asia and Pacific,train
BOQ AT Equity,2.1207845037738475,1.5785722028993217,-0.39008846818415677,0.6157828125470863,0.23991738264711646,3.5947848139841563,0.14154200978168138,-0.02139324684606181,1.3878362675344798,0.7375823313144396,7.635063194881132,Asia and Pacific_AS51,Asia and Pacific,train
BPT AT Equity,1.9364998491119287,1.25697973530234,-0.6985007298035736,0.8780012624569873,0.3593156704131945,3.1044752313653254,0.22413280496127147,-0.02139324684606181,1.3878362675344798,-0.0792626724715648,16.917189090839198,Asia and Pacific_AS51,Asia and Pacific,train
