,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,2.9589730689673726,5.109983646818725,-0.33148844270151123,1.6939005213141285,0.35646001345255784,5.580692745174136,0.1890008334327236,-0.02499999999999991,1.514820430261196,1.8249081913640226,18.2892940317378,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,3.017063883652522,6.626459376464855,-0.29465847234965853,1.952542396956205,0.38286142866012823,6.031384942946327,0.19151776909961335,-0.02499999999999991,1.514820430261196,3.0277304082007523,39.776847810448054,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,3.1497445436081684,6.343403750021992,-0.25544730819455963,1.6204054127343932,0.32263534570625296,5.883954954214145,0.1727101800780408,-0.02499999999999991,1.514820430261196,1.340286475256591,13.497270818909623,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,3.0197463949773073,2.9641989499618995,-0.3072983470794643,0.9108934377379754,0.222873792411683,5.336792499661486,0.12610989301397615,-0.02499999999999991,1.514820430261196,0.7158478750525804,5.374237792568987,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,3.184819120039385,6.415580329522652,-0.23325223843706916,1.4964484727339884,0.3016473402108119,6.2446724637229005,0.1538418903782955,-0.02499999999999991,1.514820430261196,2.4180233793572254,31.462812716229315,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,3.3122578963039375,7.016651480992175,-0.19929871174483144,1.3984096009242042,0.275823314715995,6.250750979294223,0.14615811047010158,-0.02499999999999991,1.514820430261196,1.6451855198853502,16.608858638953535,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,2.9887629839423457,3.936293180100416,-0.2547919039421799,1.002935633832403,0.24241417929316492,5.568698352577588,0.13010554351876788,-0.02499999999999991,1.514820430261196,1.2944475695866358,9.435142339984058,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,2.6515956295317413,5.445226846793616,-0.3031045991292444,1.6504733005651784,0.3965939822889475,5.433600044440175,0.19353777634259223,-0.02499999999999991,1.514820430261196,3.2003319027583257,38.86751980310666,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,3.320819690932868,6.701537886646126,-0.17611977936734952,1.1802733740180495,0.24389383169720041,6.196466631145269,0.1307079480951605,-0.02499999999999991,1.514820430261196,1.389200954485618,13.076762864130597,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,3.1093081359863675,8.107467653082619,-0.2490914295890446,2.0195007080532856,0.378718648540995,5.8821139479929645,0.20019213935154556,-0.02499999999999991,1.514820430261196,1.390691569520379,10.789635221531668,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,3.3370520432472843,6.897540273988442,-0.20132144351671655,1.3886227646740417,0.2723217784277845,6.283269666087272,0.14463042260114736,-0.02499999999999991,1.514820430261196,1.110664440985008,8.601277567612467,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,2.960182826849199,3.356007262598233,-0.27608640692415404,0.926547986742112,0.23065943075587747,5.386305830866111,0.12676481937984718,-0.02499999999999991,1.514820430261196,1.3811701176590667,12.699615714486944,Asia and Pacific_AS51,Asia and Pacific,train
AWC AT Equity,3.099960781541279,4.8225171053088,-0.4170017931053338,2.010998280194914,0.37919284911736273,5.619239634223355,0.20918897171524337,-0.02499999999999991,1.514820430261196,0.7803255756435197,4.51027986722585,Asia and Pacific_AS51,Asia and Pacific,train
BEN AT Equity,2.779159984903211,3.392546653890635,-0.31546764993855037,1.0702387202097712,0.27559181236292746,5.129742089806806,0.14930842987368345,-0.02499999999999991,1.514820430261196,1.7534317688675314,20.028579063487257,Asia and Pacific_AS51,Asia and Pacific,train
BHP AT Equity,3.319822614249126,6.304687758604148,-0.24201981479372803,1.5258593636696602,0.292363641281778,5.9196646458791005,0.16396121840907552,-0.02499999999999991,1.514820430261196,0.5853338832665858,4.200407946306545,Asia and Pacific_AS51,Asia and Pacific,train
BKL AT Equity,3.039642366145725,7.101133243413084,-0.1944337963898741,1.3807002951871459,0.30028508953705113,6.145105756053542,0.14853434852272868,-0.02499999999999991,1.514820430261196,2.0880098176775532,16.29106210308096,Asia and Pacific_AS51,Asia and Pacific,train
BKW AT Equity,3.1622415513442874,5.072542350238399,-0.2041832083176536,1.0357279713988472,0.233610873143568,5.956247770031487,0.1240267427452073,-0.02499999999999991,1.514820430261196,1.3863882817736997,13.372619571645163,Asia and Pacific_AS51,Asia and Pacific,train
BLD AT Equity,3.150084074942881,4.34184171933803,-0.33430378466511723,1.451494119191603,0.2991063454976499,5.91879938930526,0.15918940205491666,-0.02499999999999991,1.514820430261196,1.30990911916543,9.6463132477949,Asia and Pacific_AS51,Asia and Pacific,train
BOQ AT Equity,3.163575225099176,5.895515778453456,-0.2055150199298948,1.2116170427058712,0.2620067799417089,5.7973649930732964,0.1429749823966487,-0.02499999999999991,1.514820430261196,0.900566406890967,5.519668571493851,Asia and Pacific_AS51,Asia and Pacific,train
BPT AT Equity,3.02959438869354,3.845843484343758,-0.7044918574167852,2.709365419619575,0.4701004788990298,5.210200353748279,0.2733510568302907,-0.02499999999999991,1.514820430261196,0.2128745019699871,7.682721807858821,Asia and Pacific_AS51,Asia and Pacific,train
BRG AT Equity,3.2816763389671677,6.137838872357407,-0.40231386615400666,2.469337686568457,0.4038836673808176,6.832280628648788,0.1939931257187017,-0.02499999999999991,1.514820430261196,2.4008732777710304,22.290079309093137,Asia and Pacific_AS51,Asia and Pacific,train
BWP AT Equity,3.1703814531009393,4.745605978832465,-0.22185492421879874,1.0528360548061548,0.23584679854851331,5.698111118723724,0.13122318963462354,-0.02499999999999991,1.514820430261196,1.0596519556394814,11.590743490905854,Asia and Pacific_AS51,Asia and Pacific,train
CBA AT Equity,3.1218933322687215,4.22456123547565,-0.21748002193143667,0.9187576701419415,0.21643346368080144,5.736179383325834,0.11779307130962809,-0.02499999999999991,1.514820430261196,1.0230931143359134,8.361594410445965,Asia and Pacific_AS51,Asia and Pacific,train
CCP AT Equity,3.262063157739069,11.012922336118155,-0.28389937702714907,3.1265617904723193,0.4660314574683597,7.721408730181278,0.19688428638840974,-0.02499999999999991,1.514820430261196,6.060276459805401,113.83408470037631,Asia and Pacific_AS51,Asia and Pacific,train
CGF AT Equity,2.8490018164280575,4.045799356899355,-0.4955931812810192,2.005070574110453,0.41700692599767286,5.190849751062032,0.22887456709518095,-0.02499999999999991,1.514820430261196,1.09331375874504,13.66768527370758,Asia and Pacific_AS51,Asia and Pacific,train
