,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,3.859714913639335,5.696118692134911,-0.0839330203902405,0.4780924463321896,0.1026716133217278,7.962955818012831,0.04976583648107907,-0.005910817029664986,2.195080140431802,1.5699225209794119,13.56206721478916,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,4.187119129681289,5.326758434730721,-0.09348570270967056,0.49797575543546624,0.09772027339510432,9.54838137759683,0.04285191488584081,-0.005910817029664986,2.195080140431802,2.0476571412004114,14.377738430631744,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,3.52588049407452,3.1522482882959633,-0.1245233239345422,0.3925284347255844,0.09524934182198946,7.429386021158749,0.045203977212535384,-0.005910817029664986,2.195080140431802,1.7468452865024269,13.522043692242534,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,3.8764298569564324,6.080237944372358,-0.0811414557203728,0.4933593579326203,0.10494365250570174,8.059101057322168,0.050477926133157866,-0.005910817029664986,2.195080140431802,1.6170225874567137,11.636356852157634,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,4.7155452251999534,4.950260800368386,-0.1585406145152367,0.7848173893010915,0.12462617764238604,10.373370757675504,0.05665278824451887,-0.005910817029664986,2.195080140431802,1.3506371739425245,23.17437526588904,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,3.65024891431054,5.710235438148195,-0.07187157275290754,0.41040360172909884,0.09551225471808228,7.306625595207783,0.04771607625778681,-0.005910817029664986,2.195080140431802,1.2153352251008696,8.024984134438247,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,5.530938063624349,12.44383638552669,-0.08600255307028577,1.0702016991442123,0.13333706531253348,14.308435537088316,0.05154155728049147,-0.005910817029664986,2.195080140431802,1.6845843459452594,7.202595440582746,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,3.0221243915601166,3.83554549563322,-0.08053613713165048,0.3089000180110013,0.09045125902658038,6.311280386258573,0.04331212359804535,-0.005910817029664986,2.195080140431802,4.328763457181948,89.89580314652957,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,3.5415734999941737,4.9979346461149445,-0.07955513662450504,0.3976113736120217,0.09587080484350954,7.402833257914374,0.045865345068240054,-0.005910817029664986,2.195080140431802,2.4409043360919784,34.12432963639654,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,1.9441424743322484,1.564533404158081,-0.06539809252594482,0.1023175003250616,0.0507777418536843,3.374722551628147,0.029252527630989556,-0.005910817029664986,2.195080140431802,1.1071614092940771,18.322456829632372,Asia and Pacific_AS51,Asia and Pacific,train
