,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,2.4965996567116537,2.095303733531589,-0.10486924939817555,0.2197329297966526,0.08090013823075148,4.315416435622051,0.04680319045633553,-0.00564886126775242,1.757112052034989,0.4742122246867731,22.457538515377106,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,2.7350072964731167,3.2878275383169573,-0.07328994389404568,0.2409646958165481,0.08013470522725238,5.298059356956793,0.041367789360357114,-0.00564886126775242,1.757112052034989,1.9327893728230907,19.22856910268894,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,2.3460322162945757,1.6298115698233056,-0.1304457782668309,0.2126020386538865,0.08369062781982396,3.959212603746004,0.04959089817037316,-0.00564886126775242,1.757112052034989,0.1433219456073483,31.713961950607363,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,2.8727722919097705,3.788893134510533,-0.07815104002145343,0.29610593899214277,0.09178639330351317,5.58331953479197,0.04722663745350009,-0.00564886126775242,1.757112052034989,1.5266350507061615,12.913015736294474,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,3.2989429934579375,2.102289631676795,-0.19492666610068424,0.4097923090807931,0.10586405346058542,6.451947699941325,0.05412931004168413,-0.00564886126775242,1.757112052034989,1.4741426076726574,35.4568993396951,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,2.373870134323625,1.5513791925347318,-0.12407122765028522,0.19248152096889237,0.07537548673366501,4.145525052856175,0.04316259449303629,-0.00564886126775242,1.757112052034989,0.6072782746771647,25.505279778079277,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,3.8142970325646544,6.931798287636437,-0.08182057177571604,0.5671636993283427,0.11974500989936449,8.664690172272222,0.052713141132869276,-0.00564886126775242,1.757112052034989,2.3372786256667903,16.276505343054758,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,2.264461059629123,1.5738607897534276,-0.11429605763481503,0.17988608353483326,0.07428596267564234,4.180854158648164,0.040235239827271556,-0.00564886126775242,1.757112052034989,1.38289883501946,13.760076343637998,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,2.7524889828718964,2.671067247875619,-0.09710063863687796,0.2593623356107706,0.08512703598966669,5.199621134263432,0.04506313491998087,-0.00564886126775242,1.757112052034989,1.5452341583446807,14.337733205470272,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,1.4370954076636007,0.995562485563115,-0.07183060138003206,0.07151185204939803,0.0488971373342294,2.449651206620489,0.028685655868478085,-0.00564886126775242,1.757112052034989,2.173441033937326,33.77995213000405,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,2.2403621248201584,1.6108414292169209,-0.11877155472238807,0.1913221409593273,0.07957534571508056,3.9271601654618724,0.0453960579905631,-0.00564886126775242,1.757112052034989,1.0234190251356847,10.977073901625124,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,3.51913630602091,3.519388932480058,-0.1283817872044368,0.4518254410193048,0.10765246560513224,7.131392856590748,0.05312338105080907,-0.00564886126775242,1.757112052034989,1.5508851171121312,11.261066837558127,Asia and Pacific_AS51,Asia and Pacific,train
AWC AT Equity,3.2756206654905973,3.852125736508565,-0.10849112204134152,0.4179214433981433,0.1084593888208754,6.4604245657769,0.054992022857156604,-0.00564886126775242,1.757112052034989,1.3580060439183772,9.664449178788391,Asia and Pacific_AS51,Asia and Pacific,train
BEN AT Equity,3.327878521806236,5.281169326533659,-0.07776710633480896,0.4107012565886745,0.10511143788543481,6.744673458287813,0.05186286611181733,-0.00564886126775242,1.757112052034989,1.702869226175593,14.405882480705376,Asia and Pacific_AS51,Asia and Pacific,train
BHP AT Equity,4.023346433014808,7.419711087724697,-0.08568595253761291,0.6357650121055787,0.12433818340331157,8.355076823544925,0.05987444487326738,-0.00564886126775242,1.757112052034989,1.2791362294770507,7.410617093802706,Asia and Pacific_AS51,Asia and Pacific,train
BKL AT Equity,0.9403226496623899,0.44401642683481163,-0.07792290478783101,0.03459904975248196,0.036899502209864196,1.4003676317793683,0.024777377669829907,-0.00564886126775242,1.757112052034989,-0.5230333260935139,28.98331032070725,Asia and Pacific_AS51,Asia and Pacific,train
BKW AT Equity,1.857910307949114,1.4099014263349108,-0.07223712147954738,0.10184722060834206,0.05296491010597829,3.2235575936399306,0.030526537710896234,-0.00564886126775242,1.757112052034989,1.505559529360704,19.8750929703472,Asia and Pacific_AS51,Asia and Pacific,train
BLD AT Equity,3.1196586279243665,3.7143227867577155,-0.09751606745781376,0.36220615143356016,0.1007543281067008,6.198280255281127,0.050710696521181334,-0.00564886126775242,1.757112052034989,2.242763310304013,33.45030745613499,Asia and Pacific_AS51,Asia and Pacific,train
BOQ AT Equity,3.554332305126701,5.018699080443906,-0.09144816126588416,0.45895080285337886,0.10797357767956188,7.561423885832541,0.05075419405670829,-0.00564886126775242,1.757112052034989,1.821454640058044,12.414031796114262,Asia and Pacific_AS51,Asia and Pacific,train
BPT AT Equity,2.6666125718914095,2.0578298126813954,-0.12713271144104824,0.26161748377041016,0.08865885319656655,4.8044134870516775,0.0492086730629262,-0.00564886126775242,1.757112052034989,0.684493212714487,16.771063168792313,Asia and Pacific_AS51,Asia and Pacific,train
BRG AT Equity,1.5138756400862121,0.7257540029897992,-0.0929581561710747,0.06746475395170837,0.043762992678894844,2.4249027109949766,0.027321396546530312,-0.00564886126775242,1.757112052034989,0.2655848901888858,28.102045210239815,Asia and Pacific_AS51,Asia and Pacific,train
