,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,2.020477337334809,1.7772415204969376,-0.006975542392862911,0.012397223568582527,0.006107438903886762,4.0236132962272855,0.0030668806830990974,-0.00034692069234028956,1.61347660525578,2.674079612503878,24.80096122198236,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,1.981781046576167,1.3168158841073818,-0.00813028427243436,0.010706087472249992,0.005380954246252954,3.955608966915011,0.0026958865820436314,-0.00034692069234028956,1.61347660525578,2.7983417946859688,25.582302355258488,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,1.9594678903305167,1.7822044665927348,-0.005985919930234826,0.010668133236330979,0.005423179461717641,3.872018547863968,0.002744446052459609,-0.00034692069234028956,1.61347660525578,2.9392816866995006,27.87902660225218,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,2.057447530929326,1.8454868553727153,-0.00642848398367662,0.011863682691849231,0.00574041434852482,3.8800792633785393,0.003043907231317669,-0.00034692069234028956,1.61347660525578,2.027887367094914,18.250520300353923,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,2.294271870228582,1.6074608279776164,-0.009407816704950748,0.01512269683000178,0.00655169893559357,4.689956174985732,0.0032050147185404346,-0.00034692069234028956,1.61347660525578,2.4593325517817615,18.806869917782176,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,2.069929836843681,1.3771525226701091,-0.00883627690763187,0.01216890103435686,0.005851816840611061,4.144665021808648,0.002922516105496833,-0.00034692069234028956,1.61347660525578,3.1513876298938395,35.993575353993826,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,2.0895568933127184,2.0727505705892866,-0.00566850507072395,0.01174939711973133,0.005597755337444267,4.533157757797487,0.002580282636825292,-0.00034692069234028956,1.61347660525578,4.163930839810764,42.96547152136277,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,1.9580502561265938,1.8545376670765052,-0.005705253431797202,0.010580607389485408,0.005382760492694271,4.276672474201804,0.0024644663871191716,-0.00034692069234028956,1.61347660525578,3.8565092867325617,33.96542530925588,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,2.7012669295272422,4.2424541546293,-0.004538568212949966,0.01925466757109806,0.007069765199644395,6.1820383411041355,0.0030891628099982173,-0.00034692069234028956,1.61347660525578,3.4272599514086886,28.700782294217873,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,1.797280943024403,1.4475849255227964,-0.0064113271490024845,0.009280940533491044,0.0051475233259182665,3.448624854058238,0.0026826767099818213,-0.00034692069234028956,1.61347660525578,2.328255190958764,21.264877519483328,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,2.292622025723997,1.8626304586226485,-0.007823717170094353,0.014572693900666733,0.006319356279201829,4.761136776307463,0.003042948790337327,-0.00034692069234028956,1.61347660525578,2.832876135674957,23.804427812723564,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,2.1149285151124784,1.7346224783205946,-0.0071273947033388884,0.012363339064274781,0.005818043939651378,4.207060071625137,0.0029247851993215927,-0.00034692069234028956,1.61347660525578,2.583294589298906,21.762141013446584,Asia and Pacific_AS51,Asia and Pacific,train
AWC AT Equity,1.9721660668676768,1.5709741555394376,-0.0068052190404356795,0.010690823235309344,0.005399580217890319,4.086197011132658,0.0026060586046245207,-0.00034692069234028956,1.61347660525578,3.1736413444183103,26.04360557862879,Asia and Pacific_AS51,Asia and Pacific,train
BEN AT Equity,1.9545704820576473,1.2022544494352085,-0.008942871746356364,0.010751607347785352,0.005479179431575187,4.07517372881189,0.0026279719824304467,-0.00034692069234028956,1.61347660525578,3.4042737015009386,31.944250318292568,Asia and Pacific_AS51,Asia and Pacific,train
BHP AT Equity,2.289124518442814,2.8279164757731605,-0.004986513725866331,0.014101444322046408,0.0061255181421329226,5.049833442251349,0.002776739852447755,-0.00034692069234028956,1.61347660525578,3.277616381066611,25.934461515216306,Asia and Pacific_AS51,Asia and Pacific,train
BKL AT Equity,2.3083307691327586,1.8522778374778273,-0.007932859442146086,0.014693859732513914,0.0063281125836576165,4.785800381742909,0.003052232818384562,-0.00034692069234028956,1.61347660525578,2.6305091251654225,20.31863325540759,Asia and Pacific_AS51,Asia and Pacific,train
