,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
ABC AT Equity,2.9182786103536498,1.380356696058017,-0.29677587295259,0.40965656345857093,0.12018908793545055,5.5128945543441645,0.06362270147967038,-0.007498966404980487,1.747211032770243,1.369157665278278,14.780124431730982,Asia and Pacific_AS51,Asia and Pacific,train
ALL AT Equity,2.88677201655417,4.1461885801661245,-0.08829545259957278,0.36608959724894796,0.11021839421480124,5.328063026759827,0.059716894212927,-0.007498966404980487,1.747211032770243,1.3694221116591443,18.1210318947486,Asia and Pacific_AS51,Asia and Pacific,train
ALQ AT Equity,2.9459278300071436,3.2192008876112665,-0.12895071270082237,0.4151182487845928,0.12037986407220176,5.6395885735367335,0.0628823161687446,-0.007498966404980487,1.747211032770243,1.6417551959541143,16.215885854401453,Asia and Pacific_AS51,Asia and Pacific,train
AMC AT Equity,3.0091569971452676,2.9656016644194834,-0.1442304958819571,0.42773019864757944,0.12081989127371338,5.726580905554308,0.06348745040308366,-0.007498966404980487,1.747211032770243,1.7000716720692808,18.943766577112576,Asia and Pacific_AS51,Asia and Pacific,train
AMP AT Equity,3.529467076760914,3.9804832390176674,-0.15174132408681215,0.6040037971939036,0.13662202753826583,7.064726596332222,0.0682550048585003,-0.007498966404980487,1.747211032770243,1.2319352853401695,23.836084243219563,Asia and Pacific_AS51,Asia and Pacific,train
ANN AT Equity,2.669089128430496,2.038784073028545,-0.1453258416633596,0.29628801138272576,0.0991036747728494,5.000287311698306,0.052900268411553146,-0.007498966404980487,1.747211032770243,1.3697561486809966,10.919932145228218,Asia and Pacific_AS51,Asia and Pacific,train
ANZ AT Equity,3.766758345419519,5.886434481579308,-0.1237314090773718,0.7283368328474364,0.1482892833444575,8.31806711933904,0.06715140519548962,-0.007498966404980487,1.747211032770243,2.3852961889741993,19.246307756887017,Asia and Pacific_AS51,Asia and Pacific,train
AOG AT Equity,2.5632747181043753,1.3132282687260979,-0.21803459842514294,0.28632919821224045,0.1002219461228782,4.949936337747379,0.05189892620172588,-0.007498966404980487,1.747211032770243,1.9038984003795403,17.228792789473424,Asia and Pacific_AS51,Asia and Pacific,train
APA AT Equity,2.8703936458698105,4.022040795851788,-0.0959358300154152,0.38585782210590236,0.11606756702485119,5.852072887908316,0.05693018751835491,-0.007498966404980487,1.747211032770243,3.2138256539455283,48.308067024842956,Asia and Pacific_AS51,Asia and Pacific,train
API AT Equity,1.5747875697118987,0.7737809686949942,-0.1411712812629824,0.10923565076758401,0.06728239144999099,2.4885569417792905,0.042577074262234456,-0.007498966404980487,1.747211032770243,-0.06127003960683192,20.173820298016505,Asia and Pacific_AS51,Asia and Pacific,train
ARB AT Equity,2.333839053842279,2.1209892134334374,-0.12093785725721733,0.2565078907383107,0.1000096343703362,4.210672742540862,0.05543209000686489,-0.007498966404980487,1.747211032770243,1.4752786726677463,18.594224762919385,Asia and Pacific_AS51,Asia and Pacific,train
ASX AT Equity,3.5452489133966285,4.811183700961027,-0.13916186213444345,0.6695332828966198,0.14774835624681712,7.468469112214895,0.07013548447076909,-0.007498966404980487,1.747211032770243,2.410822232620565,23.4221960582284,Asia and Pacific_AS51,Asia and Pacific,train
AWC AT Equity,3.4617921366360345,4.25448032720176,-0.1358074701631183,0.5777902100960268,0.13443123577121852,7.206112647293444,0.06458031086786567,-0.007498966404980487,1.747211032770243,1.7110718484698844,10.956571694259614,Asia and Pacific_AS51,Asia and Pacific,train
BEN AT Equity,3.087203608282778,2.39446305846388,-0.22496196581507763,0.5386631167036176,0.14303675672197544,5.6166123232704,0.07862098468851175,-0.007498966404980487,1.747211032770243,-0.8191500093955539,82.44525678467431,Asia and Pacific_AS51,Asia and Pacific,train
BHP AT Equity,4.359131068665046,8.44407536550744,-0.1207105734152891,1.0192891793323198,0.16449883285435787,9.627349090365705,0.07448280584030748,-0.007498966404980487,1.747211032770243,1.6360730684996485,9.828878967485485,Asia and Pacific_AS51,Asia and Pacific,train
BKL AT Equity,1.4833635828151746,0.870707010889095,-0.09228242121643802,0.08035095113497315,0.05305630272374826,2.474010735359718,0.031811417054252424,-0.007498966404980487,1.747211032770243,0.9493274684613003,19.21501549793981,Asia and Pacific_AS51,Asia and Pacific,train
BKW AT Equity,2.158858603583378,1.6003424978606164,-0.13719386886980564,0.21955717879826664,0.09400263352930256,4.013380765229243,0.05056544744331986,-0.007498966404980487,1.747211032770243,2.5255325040655197,30.61980817729666,Asia and Pacific_AS51,Asia and Pacific,train
BLD AT Equity,3.5868760490098484,4.553809188972579,-0.1440961833923225,0.6561865240278362,0.14364322663803442,7.344012340844522,0.07015653369275389,-0.007498966404980487,1.747211032770243,1.5693843101088125,23.663344877453138,Asia and Pacific_AS51,Asia and Pacific,train
