,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,3.9376154941451125,4.018935452869389,-0.1543336309236451,0.6202569008890968,0.12462358722907804,9.152934463502438,0.0536133815844438,-0.006104483084222755,2.251952539160371,1.967599058127357,11.578097375385175,Europe_AEX,Europe,train
AD NA Equity,2.917280816065142,2.88235413828049,-0.1092629179043749,0.3149344235822764,0.0954387824111529,6.670586684496337,0.04173871687834814,-0.006104483084222755,2.251952539160371,3.602868664972859,40.02399297067594,Europe_AEX,Europe,train
AGN NA Equity,4.045715860328365,4.7407457026627196,-0.1345298613436595,0.6377718620447652,0.12392622269786535,10.791604929453346,0.046459288303907186,-0.006104483084222755,2.251952539160371,2.930469409410081,18.769723123889094,Europe_AEX,Europe,train
AKZA NA Equity,3.8784851338005875,3.368172127598402,-0.16931982888649327,0.5702983283052174,0.11823584761232422,8.979740748933278,0.05106784149655839,-0.006104483084222755,2.251952539160371,2.096208866571747,11.501098023769634,Europe_AEX,Europe,train
ASML NA Equity,3.892867614923589,5.953094406558991,-0.1023124086198584,0.6090754274764569,0.1242630940092136,8.668605532373084,0.055803643687803876,-0.006104483084222755,2.251952539160371,1.9249394710264567,13.127531503024706,Europe_AEX,Europe,train
DSM NA Equity,4.002690360328141,3.9997845175056383,-0.15771706916050923,0.6308342913745708,0.12421487423153064,9.200980957936412,0.054037029526407175,-0.006104483084222755,2.251952539160371,1.841778798274836,9.458575723782529,Europe_AEX,Europe,train
HEIA NA Equity,2.8400285948008848,1.6379580179124813,-0.17892386610705957,0.2930697810859575,0.09202619133889209,5.518309153328277,0.047361792826601225,-0.006104483084222755,2.251952539160371,1.4382706803094056,12.435781483860048,Europe_AEX,Europe,train
INGA NA Equity,4.23485975154209,9.801255866362814,-0.07111292469491184,0.6969959703402218,0.12688264691464993,11.658647306451055,0.04608855559861196,-0.006104483084222755,2.251952539160371,2.8254974245369264,17.317183788322122,Europe_AEX,Europe,train
KPN NA Equity,2.931209646114589,3.8584869471037844,-0.08174327201491771,0.31540534808311405,0.09509953520985386,6.353897850703976,0.04387175895773222,-0.006104483084222755,2.251952539160371,3.114700480231279,30.73715489463447,Europe_AEX,Europe,train
MT NA Equity,2.942710391784921,2.4555722896353838,-0.13152039886029593,0.3229578469631358,0.09672950003400835,6.542701442915688,0.04350602078143828,-0.006104483084222755,2.251952539160371,2.784688302594092,21.640979579101696,Europe_AEX,Europe,train
