,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,2.1334584759821973,2.2407293819954117,-0.10388581836990754,0.2327800055940905,0.10048716805141404,3.6944864214396373,0.05802841747167577,-0.005527445753069386,1.489860503020395,0.864635860425837,9.77251864823489,Europe_AEX,Europe,train
AD NA Equity,1.5565624778077498,0.9055275366760954,-0.1334397065289869,0.12083332874797459,0.07509876289982255,2.8262552579448905,0.04136070729317114,-0.005527445753069386,1.489860503020395,2.425325940941874,32.817942834136375,Europe_AEX,Europe,train
AGN NA Equity,1.9628698866758343,2.0600859816991264,-0.09766768903718685,0.20120383705045808,0.09573112328910724,3.959695328060322,0.04745510034325996,-0.005527445753069386,1.489860503020395,3.530121057176148,44.48355569875906,Europe_AEX,Europe,train
AKZA NA Equity,1.7734513172542978,0.6932564833468465,-0.25022600878857615,0.17347080289468542,0.09262510889843674,3.222895061051034,0.05096849828339921,-0.005527445753069386,1.489860503020395,2.318598926595225,25.55147789385515,Europe_AEX,Europe,train
ASML NA Equity,1.8648315312430443,1.8584439689062262,-0.10339569039075153,0.1921550972175876,0.09677250068950283,3.4492697670673005,0.05231959888033395,-0.005527445753069386,1.489860503020395,2.146952142782901,32.244075006407634,Europe_AEX,Europe,train
DSM NA Equity,1.8490461621265564,1.7190448545061787,-0.10045089675956129,0.1726795972050552,0.088271199707042,3.2075348937617445,0.05088565781842329,-0.005527445753069386,1.489860503020395,1.2417513121553445,14.396308489976509,Europe_AEX,Europe,train
HEIA NA Equity,1.2008757987266758,0.4828549336873135,-0.15342854665229635,0.07408373071953545,0.06106424828531331,2.0916769770111245,0.035058270822512214,-0.005527445753069386,1.489860503020395,2.458732167609539,48.848130783929214,Europe_AEX,Europe,train
INGA NA Equity,2.0333468702587605,1.6745818784959956,-0.11139125628110746,0.1865337791912458,0.0859397607640989,4.142485995511839,0.042183689641870685,-0.005527445753069386,1.489860503020395,3.037788766397294,32.618744161096004,Europe_AEX,Europe,train
KPN NA Equity,1.1903519455277178,0.7118377623553199,-0.10277734271961288,0.07316079366235506,0.060876835198414386,1.9783789829883256,0.03662840125128363,-0.005527445753069386,1.489860503020395,1.337304784844891,60.683980360762725,Europe_AEX,Europe,train
MT NA Equity,1.5166610823961453,0.7102173577645311,-0.1658231107356008,0.11777045156293364,0.0752819864314124,2.7122390192023333,0.04209704904974682,-0.005527445753069386,1.489860503020395,1.853075870318329,38.69595089407973,Europe_AEX,Europe,train
