,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,3.2136427127805525,1.6560131239995632,-0.016759081952673248,0.027753259659811125,0.008530176577452702,7.63709538091558,0.0035894457813588024,-0.00038899846073045855,2.1739700678768212,2.858362346637536,19.26934350262507,Europe_AEX,Europe,train
AD NA Equity,2.826239238294121,3.002515579577918,-0.006895987627619897,0.020705310288505308,0.0072608932221178745,7.66501473547525,0.002677231817238119,-0.00038899846073045855,2.1739700678768212,4.304147497266862,33.572291173815074,Europe_AEX,Europe,train
AGN NA Equity,3.2710932832047863,3.6500335335146863,-0.007727090548485011,0.028204139618474677,0.008514416696488645,8.87183103951931,0.0031393126336860134,-0.00038899846073045855,2.1739700678768212,3.6877896969666253,26.307840137832535,Europe_AEX,Europe,train
AKZA NA Equity,3.185886172209251,3.3176387829981744,-0.008041634970597317,0.02667924005716804,0.00827560296193892,7.656177889862273,0.0034436411251684493,-0.00038899846073045855,2.1739700678768212,2.9240203228249038,20.975023459399672,Europe_AEX,Europe,train
ASML NA Equity,3.301736056747844,4.902905655308436,-0.00590045334304668,0.028929366064507134,0.008649320301766685,8.842749472058436,0.003229512811251957,-0.00038899846073045855,2.1739700678768212,3.4551263293359056,22.268371831181017,Europe_AEX,Europe,train
DSM NA Equity,2.9647963936754405,2.340254576414211,-0.010325879846427155,0.024165187566104418,0.008065120529953947,6.601785290311275,0.0036219657577863744,-0.00038899846073045855,2.1739700678768212,3.175736403975751,30.337920323221994,Europe_AEX,Europe,train
HEIA NA Equity,2.4650025953974524,3.0762842744957744,-0.004869690231232674,0.014980551480006765,0.006039796748316923,4.927997230231415,0.003021128861222021,-0.00038899846073045855,2.1739700678768212,2.278119195037831,26.37853096112892,Europe_AEX,Europe,train
INGA NA Equity,3.515994681556518,5.57101497344579,-0.005485920987392835,0.030562147963905995,0.008573084147332866,10.143867749061174,0.002971540936084129,-0.00038899846073045855,2.1739700678768212,3.489031518770461,21.658588614588147,Europe_AEX,Europe,train
KPN NA Equity,2.591572426290282,2.4720948830452882,-0.007636737096013453,0.01887873869821699,0.007227087721743701,6.10177954085486,0.0030695178573147894,-0.00038899846073045855,2.1739700678768212,3.605104731762555,34.07867852203405,Europe_AEX,Europe,train
MT NA Equity,2.6783252165939304,2.8947370162599286,-0.006366051542427832,0.018428045047284458,0.006826744759851721,6.140359113645024,0.00297771552105647,-0.00038899846073045855,2.1739700678768212,3.240759627519813,28.988766640079614,Europe_AEX,Europe,train
PHIA NA Equity,3.300025811781896,3.780260918389103,-0.007589302817738072,0.02868954483971553,0.008582984433346263,8.989892259859246,0.0031506573553316806,-0.00038899846073045855,2.1739700678768212,3.4841883811141154,22.014326177077987,Europe_AEX,Europe,train
RAND NA Equity,3.2898621421152625,2.6588877714187418,-0.010800684895150335,0.02871780899066234,0.008617944910340455,8.529615265278277,0.003323930777836671,-0.00038899846073045855,2.1739700678768212,3.341003132314193,21.885284728605352,Europe_AEX,Europe,train
RDSA NA Equity,2.8944368156830227,1.7530494218452126,-0.013043569451915947,0.022866021886479126,0.007821927557024077,6.964289506290076,0.0032508808070382147,-0.00038899846073045855,2.1739700678768212,3.4651387502985833,26.749126730012453,Europe_AEX,Europe,train
REN NA Equity,2.812635409471154,0.6723756535309797,-0.036337859192125954,0.024432691822222408,0.008595878498707018,5.295957677892508,0.00456519362718854,-0.00038899846073045855,2.1739700678768212,0.5001827365159957,55.52048348928149,Europe_AEX,Europe,train
UNA NA Equity,3.2964517317283404,4.061566461986134,-0.007300302227922502,0.029650662691292684,0.008876393548417825,8.5738709845256,0.0034127645420597864,-0.00038899846073045855,2.1739700678768212,3.903335857243003,33.135474662143025,Europe_AEX,Europe,train
VPK NA Equity,2.404570857784358,1.126063956636594,-0.013943684727587911,0.015701480794440892,0.006488057172744405,5.146995228921241,0.0030310875583402833,-0.00038899846073045855,2.1739700678768212,3.2657641397881605,32.012692549332854,Europe_AEX,Europe,train
WKL NA Equity,2.649737203831691,0.9482914077714628,-0.021724933310488206,0.020601567592744008,0.007707456084303219,5.068660743070527,0.004029216822490539,-0.00038899846073045855,2.1739700678768212,1.297237964115153,38.66409630194937,Europe_AEX,Europe,train
ALPHA GA Equity,5.530906211149085,13.400545101764578,-0.03165777974369084,0.4242315052770582,0.06435358332047493,18.050059060429934,0.0197192503639618,-0.0024481041676090885,2.7739219808335625,2.624806176741806,13.014067315637785,Europe_ASE,Europe,train
ASCO GA Equity,3.2434196846528947,3.4289443387893255,-0.04018447625173256,0.13779033235059246,0.04005659417733359,6.924663675630813,0.018761972009143243,-0.0024481041676090885,2.7739219808335625,1.8860248836571012,10.815800137576362,Europe_ASE,Europe,train
