,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,0.7471705649802961,0.179455248221365,-0.15757603438189313,0.028277846363740977,0.03830422626289712,1.1307400463928237,0.025310671952657897,-0.003300135413298634,1.0356512749670783,0.5029070225598715,15.600902323118653,Europe_AEX,Europe,train
AD NA Equity,0.215814141268909,0.03936319708844669,-0.16531378146800804,0.006507278961361607,0.03250600330159105,0.30484519663039217,0.023012516733608893,-0.003300135413298634,1.0356512749670783,-0.9449694141614967,69.29344269674807,Europe_AEX,Europe,train
AGN NA Equity,0.33323607592295457,0.09765266618017841,-0.06839925965985316,0.0066793700705349845,0.0206115073444331,0.5471069742528052,0.012554213617357899,-0.003300135413298634,1.0356512749670783,6.329545902312444,215.13784640871134,Europe_AEX,Europe,train
AKZA NA Equity,0.30694376845502835,0.0816052646656532,-0.06388100592097348,0.0052130263952892,0.01743482329713054,0.4474992850985995,0.01195870148482952,-0.003300135413298634,1.0356512749670783,-0.10756734424059138,28.823786090924894,Europe_AEX,Europe,train
ASML NA Equity,-0.4500940227350385,-0.049790773263289775,-0.5246617554508335,-0.026123314505572037,0.055397514388704445,-0.6153223960895892,0.04052199344472394,-0.003300135413298634,1.0356512749670783,-0.19637948322836435,6.805005484165015,Europe_AEX,Europe,train
DSM NA Equity,-0.3317875905449806,-0.042674950478680015,-0.2836277889554796,-0.012103801848052598,0.03487128305084549,-0.4721517131089423,0.024504536701707283,-0.003300135413298634,1.0356512749670783,0.5102670480587973,16.40792720805977,Europe_AEX,Europe,train
HEIA NA Equity,0.17432892245215487,0.01995703616293371,-0.042664143365173914,0.0008514498519993641,0.00495242270643512,0.24963185201884439,0.003458495007581187,-0.003300135413298634,1.0356512749670783,-0.17557189929624176,52.486282344110755,Europe_AEX,Europe,train
INGA NA Equity,0.34483920295547826,0.12010456059846773,-0.0503732313831848,0.006050054821202355,0.017959630256138958,0.5155876654593344,0.012011894383440249,-0.003300135413298634,1.0356512749670783,-0.1436529058577926,254.34704627040418,Europe_AEX,Europe,train
KPN NA Equity,0.5022121896573826,0.16983355932861835,-0.05277963033055771,0.008963752479087317,0.018095098815437707,0.7557032177173637,0.012025328177928273,-0.003300135413298634,1.0356512749670783,0.6413412685029234,27.236326638081604,Europe_AEX,Europe,train
MT NA Equity,0.2608749421825671,0.07721357961957423,-0.02065040109034571,0.001594491388765551,0.006180431921375823,0.3879060738307352,0.004156469642843886,-0.003300135413298634,1.0356512749670783,0.4471531678988414,75.31264813374538,Europe_AEX,Europe,train
PHIA NA Equity,0.304269902888819,0.1166328516310885,-0.06389756104328695,0.007452554756750107,0.025467937938337265,0.44896286450727824,0.017260062281054707,-0.003300135413298634,1.0356512749670783,0.42823093597216555,7.489789071879358,Europe_AEX,Europe,train
RAND NA Equity,0.37264116932704056,0.09635723284711559,-0.17412031943620732,0.016777752163328774,0.047704277081276544,0.5443782390702133,0.03265482768714277,-0.003300135413298634,1.0356512749670783,0.07561820214515932,11.831745781427024,Europe_AEX,Europe,train
