,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,1.893689965951953,2.1937110063195533,-0.3328451112477003,0.7301659839437362,0.315952885066451,3.101671541726596,0.192901408197093,-0.027960610194573667,1.2467712655890764,0.566435099009515,6.942761486000563,Europe_AEX,Europe,train
AD NA Equity,1.4138354428132112,1.1755651915080985,-0.434430951761288,0.510701905004304,0.3275751681317383,2.6300392623643445,0.17609523535165722,-0.027960610194573667,1.2467712655890764,6.300803329536491,165.4341910359833,Europe_AEX,Europe,train
AGN NA Equity,1.5778762043639698,1.6952990520131566,-0.4888272437264714,0.8287083628876912,0.44477800182540206,2.5901941549665293,0.2709467257345135,-0.027960610194573667,1.2467712655890764,0.9495232378366019,13.961845463029924,Europe_AEX,Europe,train
AKZA NA Equity,1.6676072473692078,0.9760628756568556,-0.5600044982186712,0.5465996009120906,0.2860174016088415,2.717849185305817,0.17549343590341435,-0.027960610194573667,1.2467712655890764,0.7311397292168935,8.303207447424684,Europe_AEX,Europe,train
ASML NA Equity,1.7567516916770425,2.4713555093551673,-0.37974390160537236,0.9384821833764636,0.429012770982657,2.8733104730858043,0.26229985176834447,-0.027960610194573667,1.2467712655890764,0.6780587430218563,6.217792740844786,Europe_AEX,Europe,train
DSM NA Equity,1.4798123483608245,1.1722044643553078,-0.35483667888878884,0.41594113911044905,0.2574855423474687,2.3134524941434664,0.16470201400493462,-0.027960610194573667,1.2467712655890764,0.37680502732462134,6.1906202667814085,Europe_AEX,Europe,train
HEIA NA Equity,1.5009205172512434,1.3053078815057095,-0.28379065579705803,0.3704341797095738,0.22721767725274922,2.356358952571726,0.14472993314478536,-0.027960610194573667,1.2467712655890764,0.33980148139362853,5.213533214021702,Europe_AEX,Europe,train
INGA NA Equity,1.5908162263830528,1.679345409953448,-0.5028386659782583,0.8444398056577032,0.44723315864571755,2.635669209496598,0.2699374273473569,-0.027960610194573667,1.2467712655890764,0.9754369329152666,14.948574541443726,Europe_AEX,Europe,train
KPN NA Equity,1.6137237782765625,1.862090728688315,-0.3716675285940105,0.6920786591494061,0.36740635888258283,2.730836931466817,0.21711013601254295,-0.027960610194573667,1.2467712655890764,1.1721441209577121,13.710741389617287,Europe_AEX,Europe,train
MT NA Equity,1.396382741479133,1.644678754971298,-0.4869237266156932,0.800833108456283,0.5164753831814447,2.213246647170705,0.32585492104792346,-0.027960610194573667,1.2467712655890764,0.4344120305101953,5.381506610975055,Europe_AEX,Europe,train
PHIA NA Equity,1.2475796345193548,1.0449694859132472,-0.43736859043764853,0.4570368311042312,0.35110658471318285,1.935941164518306,0.2262638104204997,-0.027960610194573667,1.2467712655890764,0.3011509002024868,4.2559188489750825,Europe_AEX,Europe,train
RAND NA Equity,1.7915176391963785,1.286039448787435,-0.6578764333956808,0.8460550457744249,0.3836243726150006,2.8510525475861495,0.2410582824744133,-0.027960610194573667,1.2467712655890764,0.1485682791856817,9.66121714937615,Europe_AEX,Europe,train
RDSA NA Equity,1.4535783317204207,0.9680948778908165,-0.43663639012039074,0.42270545277628657,0.2668345682732232,2.4310779758042598,0.15954442862640608,-0.027960610194573667,1.2467712655890764,1.4032587097393334,14.26350692078029,Europe_AEX,Europe,train
REN NA Equity,1.2177494880122208,0.5043804331771105,-0.651805693434936,0.32875803800201986,0.26152017363223407,1.879074513777035,0.16948027085173284,-0.027960610194573667,1.2467712655890764,0.36096784513607943,8.219870447324896,Europe_AEX,Europe,train
UNA NA Equity,2.517725927517372,1.9749310631430181,-0.4187569247968309,0.8270160586875062,0.25222279662544533,4.209873794471383,0.15084249684842696,-0.027960610194573667,1.2467712655890764,0.3852883951551576,4.8397974235876795,Europe_AEX,Europe,train
VPK NA Equity,1.5291521627843039,0.9811039550463504,-0.4588741352455319,0.45020322895786524,0.2662187008209233,2.5011513275994663,0.16276060454313043,-0.027960610194573667,1.2467712655890764,0.7795685085549237,7.168287383240164,Europe_AEX,Europe,train
WKL NA Equity,1.350922395446267,0.5876252681844366,-0.6731727125948859,0.3955732957730145,0.2749938968696876,2.0320548477087383,0.18281761159704182,-0.027960610194573667,1.2467712655890764,-0.21112733275993004,18.38121008053087,Europe_AEX,Europe,train
ALPHA GA Equity,2.378106395302509,4.225178233371874,-0.6163223578922588,2.604071811306802,0.6192108447421082,4.17630859644337,0.3525958956136358,-0.036931700576955814,1.4391206491705304,1.036049886413911,10.513059631108979,Europe_ASE,Europe,train
ASCO GA Equity,2.828911009256103,5.88312213995022,-0.44043240598795314,2.591117638819271,0.4957373044392445,5.049770551258981,0.27771493852873874,-0.036931700576955814,1.4391206491705304,0.7528075750600763,4.905021627264631,Europe_ASE,Europe,train
AVAX GA Equity,2.552627691492881,4.446031919645521,-0.42880872902183087,1.9064972966536868,0.45956251647230517,4.391317915263034,0.2671389382768231,-0.036931700576955814,1.4391206491705304,0.8416537168929689,9.55732348228759,Europe_ASE,Europe,train
BELA GA Equity,2.4385028333257126,3.517359616269794,-0.4109153066443027,1.4453369052977894,0.3998174966781525,4.09519589778891,0.23807312831829838,-0.036931700576955814,1.4391206491705304,0.43742454977030665,4.157627876011411,Europe_ASE,Europe,train
EKTER GA Equity,2.4039900847339073,4.515351701540144,-0.5571587955771539,2.515767915637359,0.5963372582761803,4.244905085075782,0.3377198847374811,-0.036931700576955814,1.4391206491705304,1.1254297663810735,9.744939773738908,Europe_ASE,Europe,train
