,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,4.23369601005938,7.673506168619321,-0.09554695753037017,0.7331801680021037,0.1320742612048286,10.301879789945623,0.05427769340117436,-0.0064908753024247616,2.409836424595891,2.100750584951313,11.21974534388457,Europe_AEX,Europe,train
AD NA Equity,3.0946568323381016,2.4245362974252473,-0.13877879436355017,0.33647422424734175,0.095215207465853,7.10937005795147,0.041446483995741835,-0.0064908753024247616,2.409836424595891,4.148523553260064,58.1414095544742,Europe_AEX,Europe,train
AGN NA Equity,4.506669214168749,10.044491713304224,-0.08536812892434298,0.8574794635608496,0.13969762528871268,12.407705280331179,0.050740324093539305,-0.0064908753024247616,2.409836424595891,2.613048570660363,14.959390983303965,Europe_AEX,Europe,train
AKZA NA Equity,4.365303070910128,6.0801675300171905,-0.12185987966958656,0.7409284835788221,0.12903169691656266,10.195951429575613,0.05524373734860568,-0.0064908753024247616,2.409836424595891,1.648528559056044,8.799754445725199,Europe_AEX,Europe,train
ASML NA Equity,4.139582062446018,6.151282947373462,-0.11843755179118741,0.7285428926617923,0.1345016327918111,10.19846926974849,0.05459452117253018,-0.0064908753024247616,2.409836424595891,2.4008049846278507,14.692625737296979,Europe_AEX,Europe,train
DSM NA Equity,4.245127665561253,4.641413284414957,-0.15384192956737752,0.7140439755940562,0.12901096046376262,9.512817166567459,0.057571588714025984,-0.0064908753024247616,2.409836424595891,1.5587257811122146,10.754865595682098,Europe_AEX,Europe,train
HEIA NA Equity,3.0757284457847907,3.1350722477018045,-0.11419352432270699,0.3580049489713797,0.10120648766148402,6.102588961310957,0.051008461322212977,-0.0064908753024247616,2.409836424595891,1.591841172884187,12.57568338283737,Europe_AEX,Europe,train
INGA NA Equity,4.60688225552251,12.66108377200651,-0.07029615055349987,0.8900254510074437,0.14045904591615152,13.537303336853245,0.04779964444596346,-0.0064908753024247616,2.409836424595891,2.7718066259888547,14.65558565411737,Europe_AEX,Europe,train
KPN NA Equity,3.0682808307806875,2.424678239393186,-0.16342893706643596,0.3962625873921457,0.11084081149278777,6.2577907160733055,0.054346773901844316,-0.0064908753024247616,2.409836424595891,2.35926090656911,27.073017209203407,Europe_AEX,Europe,train
MT NA Equity,3.243096795241203,3.1545276675721934,-0.12960498557816677,0.4088425128616222,0.10752757819706553,6.992124210685481,0.049873591163902345,-0.0064908753024247616,2.409836424595891,2.0658469775121606,15.809704475246832,Europe_AEX,Europe,train
PHIA NA Equity,4.642334241310116,6.073990705913363,-0.15710814104116474,0.9542733885073604,0.14681044551541497,11.374486247090413,0.059918588267891426,-0.0064908753024247616,2.409836424595891,1.7889486499476677,10.239858346833445,Europe_AEX,Europe,train
RAND NA Equity,4.303874748871961,4.19915054211226,-0.17111318427852276,0.7185300205257139,0.1278181882557587,10.635208518931849,0.051725687550108645,-0.0064908753024247616,2.409836424595891,2.083262493786513,11.128447587912953,Europe_AEX,Europe,train
RDSA NA Equity,3.8028213074150714,4.1353910248578005,-0.13896653825420976,0.5746809750520172,0.12141590777205236,8.967727258187724,0.05148718151671495,-0.0064908753024247616,2.409836424595891,2.685935904289516,24.50403550614434,Europe_AEX,Europe,train
REN NA Equity,3.8312747649427754,4.615218024763327,-0.1319459874931873,0.6089594997737546,0.12630999838875306,8.35059436375228,0.05795136110159976,-0.0064908753024247616,2.409836424595891,1.7176343005677335,11.908530868049167,Europe_AEX,Europe,train
UNA NA Equity,2.934094473223886,2.8577338275973125,-0.11465802615026902,0.32766211993516103,0.09828582005925755,5.499407230105607,0.05243835732939657,-0.0064908753024247616,2.409836424595891,1.2114563823889202,11.477069528974893,Europe_AEX,Europe,train
VPK NA Equity,3.622360742519289,2.9866486217532127,-0.16830614180920575,0.5026713064670651,0.11429606438853557,8.35668683603573,0.049543746796893606,-0.0064908753024247616,2.409836424595891,2.4082358036876026,17.651896187331563,Europe_AEX,Europe,train
WKL NA Equity,3.4324401692399995,2.160728635114142,-0.21517036796969,0.464924775500156,0.11316624295901345,7.088404366189025,0.054798843021328376,-0.0064908753024247616,2.409836424595891,1.7075545101039213,13.757817085938896,Europe_AEX,Europe,train
ALPHA GA Equity,5.112702509300303,10.389928437939563,-0.2610431580052255,2.712219730888043,0.2638249595090331,14.04295308357141,0.09605234201600295,-0.011677322806831526,2.389890058420867,2.304020852497591,14.892123112735312,Europe_ASE,Europe,train
