,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,2.4415575720819507,2.2271214348823274,-0.10943852846117802,0.24373289253786923,0.09106101798329641,4.449415449262626,0.04996852294731288,-0.005385551173206194,1.5317359832570203,1.4942772048455644,12.939205418485717,Europe_AEX,Europe,train
AD NA Equity,1.4981412208944764,0.6681423933231098,-0.15100465638698615,0.10089261252133475,0.06559821491731568,2.753937967514382,0.035685404298857845,-0.005385551173206194,1.5317359832570203,2.566690839077909,30.6844320303588,Europe_AEX,Europe,train
AGN NA Equity,2.160011445636366,1.6890638190394878,-0.12424028834572146,0.20984977591179144,0.09008008749062305,4.403622857706918,0.04418498729134828,-0.005385551173206194,1.5317359832570203,3.2854353453591627,41.6460163881776,Europe_AEX,Europe,train
AKZA NA Equity,2.198322004482485,1.4010991671436288,-0.14393592010037412,0.2016684977746861,0.0852444577407368,3.8647047441361813,0.04848876683166246,-0.005385551173206194,1.5317359832570203,1.0777511735612206,13.212080233064757,Europe_AEX,Europe,train
ASML NA Equity,2.094267267932031,0.9509967923215238,-0.21622063422810134,0.20562512958464985,0.09129921819653947,3.8723376102481515,0.04937714205258669,-0.005385551173206194,1.5317359832570203,1.7568652496246506,19.80906593664611,Europe_AEX,Europe,train
DSM NA Equity,2.1670861087493276,1.9164579577672542,-0.09842366878395216,0.1886248232736536,0.08128076880123487,3.833005003107721,0.04595413385445862,-0.005385551173206194,1.5317359832570203,1.324836482820885,13.176016010951574,Europe_AEX,Europe,train
HEIA NA Equity,1.3783400747618035,0.5003328196443161,-0.16470418330097633,0.08240690843819176,0.058703169246190776,2.399772802027121,0.033716912959093924,-0.005385551173206194,1.5317359832570203,2.1872614432712156,34.03747806649873,Europe_AEX,Europe,train
INGA NA Equity,2.237021470330303,1.9714591739198903,-0.1117032684221556,0.22021843328769464,0.09082713905366363,4.589616533166595,0.04426998610525232,-0.005385551173206194,1.5317359832570203,3.1751711982709336,41.828255693257695,Europe_AEX,Europe,train
KPN NA Equity,1.6367351509359676,1.3113524902944322,-0.08909159539720468,0.11683048548842834,0.06895910036302576,3.209024412298684,0.035171992805201564,-0.005385551173206194,1.5317359832570203,4.176355014902165,59.84949339379296,Europe_AEX,Europe,train
MT NA Equity,1.8157801066324868,1.1172491030275047,-0.1297858945004118,0.14500317421620745,0.0761781258307812,3.3993678492776094,0.040690720032983026,-0.005385551173206194,1.5317359832570203,2.2983135075839436,21.788345524107488,Europe_AEX,Europe,train
PHIA NA Equity,2.4203171195953805,1.7379212450470491,-0.15137502676916686,0.2630778749917009,0.09852824062103586,4.728281889217304,0.050434723040207984,-0.005385551173206194,1.5317359832570203,2.0370762610333335,21.707139943837635,Europe_AEX,Europe,train
RAND NA Equity,2.3523038688439137,1.820546865525599,-0.1261331589179817,0.22963132710697387,0.08961039208988665,4.282749729842945,0.04921858275603474,-0.005385551173206194,1.5317359832570203,1.3814515240211163,22.233681715555125,Europe_AEX,Europe,train
RDSA NA Equity,1.8865292522387174,1.6285873776079969,-0.09299533969095643,0.1514510363970596,0.07629170864351306,4.02321470594371,0.0357740142097389,-0.005385551173206194,1.5317359832570203,4.9430207296189765,64.87830022511872,Europe_AEX,Europe,train
REN NA Equity,2.0855720347389015,1.6333094749022496,-0.11933014980858879,0.19490306432387294,0.08721791332540477,3.9143445545649285,0.04646991045987858,-0.005385551173206194,1.5317359832570203,2.1952241016987393,28.58032393502144,Europe_AEX,Europe,train
UNA NA Equity,1.1390671837085629,0.5102969823784653,-0.11777742316444893,0.06010146363312985,0.05244835569211267,1.8749881849725039,0.031862707875802344,-0.005385551173206194,1.5317359832570203,1.4046551742413913,27.85976649718829,Europe_AEX,Europe,train
VPK NA Equity,1.6765791876197242,0.8416750186750939,-0.134343617609419,0.11307366686028741,0.06517317975015927,2.716562670958022,0.04022288825811696,-0.005385551173206194,1.5317359832570203,0.47546077537896664,11.639435289400714,Europe_AEX,Europe,train
WKL NA Equity,1.9032096491686552,0.7559839938139913,-0.2132625447747373,0.16122307032974104,0.08024354802599559,3.3057283566598903,0.04619868253207346,-0.005385551173206194,1.5317359832570203,1.4564223483309846,20.46363240309985,Europe_AEX,Europe,train
ALPHA GA Equity,2.898402220666719,3.623902342693527,-0.17653267341757953,0.6397371687599178,0.1759713455739885,7.191303326455873,0.07092396407602547,-0.008348385652444822,1.7681630755431876,4.210926989447311,49.60995854414504,Europe_ASE,Europe,train
ASCO GA Equity,1.4427445945898472,1.0019517105469224,-0.1262557694867655,0.12650218420368264,0.08506311820255837,2.654591908394397,0.04623096815658075,-0.008348385652444822,1.7681630755431876,3.0205903248027504,44.27802412590437,Europe_ASE,Europe,train
AVAX GA Equity,2.846033102385835,3.139052045109009,-0.18967294807503432,0.5953932555567913,0.169252047730065,5.377015347317574,0.0895844440404389,-0.008348385652444822,1.7681630755431876,1.6315035540747433,17.739311372320856,Europe_ASE,Europe,train
BELA GA Equity,2.7929709422158697,3.4429336158628168,-0.14875228417627387,0.5121442396268718,0.1522642330993851,6.134845229780636,0.0693203434898345,-0.008348385652444822,1.7681630755431876,2.4083551459768535,14.52931584540492,Europe_ASE,Europe,train
EKTER GA Equity,1.88937505281573,2.2212353434306578,-0.10093305744779456,0.22419607452355828,0.11029085611557753,3.4662686909999008,0.060116745317383515,-0.008348385652444822,1.7681630755431876,2.365837239679281,39.38035535359795,Europe_ASE,Europe,train
ELLAKTOR GA Equity,3.068587002655812,5.070436689679025,-0.13631813085047192,0.6911924521326991,0.17633107238853363,7.180899816322468,0.07535089622973193,-0.008348385652444822,1.7681630755431876,3.892779737667492,45.79074713976906,Europe_ASE,Europe,train
ELPE GA Equity,2.941957060052295,3.952726283958396,-0.15321496226443235,0.6056168084383156,0.1656996091729708,6.028230999649604,0.0808663661168032,-0.008348385652444822,1.7681630755431876,1.9213649229326029,13.727068904559964,Europe_ASE,Europe,train
ELTON GA Equity,2.1457231309609495,1.8908780835489234,-0.14771560988267995,0.27931220932522227,0.11806316912548524,4.077082861430971,0.062135326044905174,-0.008348385652444822,1.7681630755431876,2.302108101667267,30.00991559503177,Europe_ASE,Europe,train
ETE GA Equity,3.2001106084054287,5.776118841766171,-0.128858008447032,0.7442991705033659,0.1789078409468127,8.078210639161075,0.0708727347322876,-0.008348385652444822,1.7681630755431876,3.715367587474819,36.86020153820264,Europe_ASE,Europe,train
EUPIC GA Equity,2.0196882141937387,2.5007401728257856,-0.09536116819684157,0.2384735042374384,0.108855769698715,3.5833309653291483,0.0613548447616777,-0.008348385652444822,1.7681630755431876,1.3393669882255137,12.024766402042848,Europe_ASE,Europe,train
EUROB GA Equity,2.433792377230636,1.0503574315687183,-0.3847729305714969,0.4041491070922463,0.14372512071057764,5.253710173788252,0.06658096690357233,-0.008348385652444822,1.7681630755431876,3.198609401990757,54.84048917829233,Europe_ASE,Europe,train
EXAE GA Equity,3.057101614118289,5.17725273826898,-0.13207641845126636,0.6837929990875784,0.17552557447150452,6.703873483621316,0.08004320462593434,-0.008348385652444822,1.7681630755431876,3.508184820849166,44.585136660344006,Europe_ASE,Europe,train
EYAPS GA Equity,2.4941557258083327,3.416249562519406,-0.12272848912734056,0.41927114728994486,0.14459372430608886,5.2417966569341505,0.06880069735572603,-0.008348385652444822,1.7681630755431876,3.128822460369494,31.322728010291762,Europe_ASE,Europe,train
EYDAP GA Equity,2.969410519663047,5.92064025639594,-0.10804108711997229,0.6396724097472888,0.17154123370622618,6.497360036043971,0.07839743235675574,-0.008348385652444822,1.7681630755431876,2.942023407335819,27.748034582864122,Europe_ASE,Europe,train
FLEXO GA Equity,1.377421991822405,0.8596658403351356,-0.11618394087341924,0.09987936516439566,0.0709504230280847,2.2487976168816544,0.04345818951173753,-0.008348385652444822,1.7681630755431876,0.7877218214280192,18.486433760328495,Europe_ASE,Europe,train
FOYRK GA Equity,3.1290540551167267,5.233397929643261,-0.13683510117297432,0.7161125351811699,0.1777611680803719,6.346648257498747,0.08764063821671206,-0.008348385652444822,1.7681630755431876,1.6517988580348406,13.824236025675308,Europe_ASE,Europe,train
GEKTERNA GA Equity,3.4124040411217544,6.737152032698427,-0.13270125029577112,0.8940284981717772,0.1927229186109746,7.932469261161562,0.08290589533133196,-0.008348385652444822,1.7681630755431876,2.816244153297099,25.082254904561253,Europe_ASE,Europe,train
HTO GA Equity,2.504632660125176,3.3370514132915825,-0.12679126672784205,0.4231089758271753,0.14510223982864356,5.112995007873729,0.07107924188708928,-0.008348385652444822,1.7681630755431876,2.9298407548320835,31.418649681856948,Europe_ASE,Europe,train
IASO GA Equity,2.1583445097719114,2.3754205601792933,-0.1264893196394946,0.300465330514746,0.12540118659629218,3.904643285431621,0.06931720590683137,-0.008348385652444822,1.7681630755431876,1.4071372352879192,18.385523212933006,Europe_ASE,Europe,train
