,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,1.387587579425421,1.0471349046488194,-0.008961559539904646,0.00938396179432277,0.006747776661834013,2.344861519106553,0.003993042236568911,-0.0003147648005102855,1.339893463497355,1.4558494058726401,36.71726674969878,Europe_AEX,Europe,train
AD NA Equity,1.0826822274152215,0.4858509331621324,-0.012595455264870634,0.006119513694039291,0.005649744601958446,1.998042536574965,0.0030614353588592842,-0.0003147648005102855,1.339893463497355,4.744724633137684,86.44535790142794,Europe_AEX,Europe,train
AGN NA Equity,0.9336498607524558,0.31899106396800014,-0.013964812460666642,0.0044546503849416386,0.004772853551831284,1.7020079456396375,0.002618186398879855,-0.0003147648005102855,1.339893463497355,4.744329364991682,91.08401132203929,Europe_AEX,Europe,train
AKZA NA Equity,1.0588814946719127,0.28939637281398234,-0.0225311604562542,0.006520436111329797,0.006155824998603617,1.7145027562550137,0.003801854007921232,-0.0003147648005102855,1.339893463497355,1.6252363725861427,43.81421027129426,Europe_AEX,Europe,train
ASML NA Equity,1.0084742615449243,0.7466835763343223,-0.006096268869366105,0.004551983841673879,0.004513627310010262,1.6282657681515875,0.0027955368573024213,-0.0003147648005102855,1.339893463497355,1.7041662917097995,35.80345932544299,Europe_AEX,Europe,train
DSM NA Equity,1.091513939857909,0.5312364625752976,-0.011675577864556686,0.00620249268328954,0.005679758336766912,1.726192107824082,0.003591451595396274,-0.0003147648005102855,1.339893463497355,0.8963763980388368,25.345962305586934,Europe_AEX,Europe,train
HEIA NA Equity,1.0866410119660543,0.5601023503958859,-0.009592734226951167,0.00537291298723841,0.004942562367098718,1.939677959425092,0.0027689085944356223,-0.0003147648005102855,1.339893463497355,3.331970311269053,51.062282049018954,Europe_AEX,Europe,train
INGA NA Equity,0.9447250870694114,0.5456514590616951,-0.00794719694313597,0.004336399607472785,0.004591385604170878,1.537958398332279,0.0028203605308005394,-0.0003147648005102855,1.339893463497355,1.422893000910119,70.30278307672765,Europe_AEX,Europe,train
KPN NA Equity,1.3545036084612923,1.1275881772041951,-0.0077648570476387966,0.008755561004598178,0.006451355640148777,2.7302210518733707,0.0032006142828811205,-0.0003147648005102855,1.339893463497355,4.493345104087489,61.38295228307072,Europe_AEX,Europe,train
MT NA Equity,0.7237661024819869,0.23862358308390835,-0.01303608305109586,0.0031107168470319024,0.004304100862179997,1.2269569678356653,0.0025389336279694284,-0.0003147648005102855,1.339893463497355,3.7753002189889426,76.89632597941974,Europe_AEX,Europe,train
PHIA NA Equity,0.9484071360559624,0.4630847248034039,-0.009024415251267117,0.004179068853144674,0.0044074970697809655,1.6157815756212326,0.0025870462543916887,-0.0003147648005102855,1.339893463497355,2.6596076834315303,54.68506014224583,Europe_AEX,Europe,train
RAND NA Equity,1.3639835660951651,0.8003101405753642,-0.011094849454294071,0.008879320526428591,0.006496685170391577,2.4855462530602104,0.0035651606947962183,-0.0003147648005102855,1.339893463497355,2.3420939232857703,50.88849593473551,Europe_AEX,Europe,train
RDSA NA Equity,1.0321534116421345,0.5563931849424424,-0.00935242339507745,0.0052036246397173525,0.005040796341265268,1.9672937087328857,0.0026446865142374983,-0.0003147648005102855,1.339893463497355,4.915434386864462,72.29847724424641,Europe_AEX,Europe,train
REN NA Equity,0.736041954278368,0.17090674116654048,-0.02288671842210488,0.003911494461518172,0.005323160350561032,1.0703954840021472,0.0036603941308820066,-0.0003147648005102855,1.339893463497355,-2.9206488137181132,155.1898121636766,Europe_AEX,Europe,train
UNA NA Equity,2.1303097377769165,2.7813700571475426,-0.007486268591226177,0.020822083299400607,0.00969623671562907,5.042018241890683,0.004096769687082485,-0.0003147648005102855,1.339893463497355,6.2204157072137924,94.38186719388636,Europe_AEX,Europe,train
VPK NA Equity,1.282572979774467,0.6646370183349232,-0.012117116062154768,0.008053483890368751,0.006269412835680191,2.4645965927973825,0.00326259458671405,-0.0003147648005102855,1.339893463497355,4.751897171256373,75.69127046034409,Europe_AEX,Europe,train
WKL NA Equity,0.9313407006757204,0.33820819321862805,-0.014775002479126064,0.004997026893265977,0.005367569632548925,1.4237709469297648,0.0035111238035049172,-0.0003147648005102855,1.339893463497355,-0.2966773443987125,65.40093303738621,Europe_AEX,Europe,train
ALPHA GA Equity,1.685250585843394,1.071864644790164,-0.016855160396317532,0.018066450511080134,0.010658661633296528,3.4631279226692255,0.0051867895621871135,-0.000682212027140248,1.5438627216840188,4.008335775146992,43.733097427144955,Europe_ASE,Europe,train
ASCO GA Equity,2.105764079578276,1.7483049026821806,-0.01584060019416412,0.02769419898088543,0.013013606106377735,4.643240571171226,0.005901823061835965,-0.000682212027140248,1.5438627216840188,4.357941876761766,49.612147318519874,Europe_ASE,Europe,train
AVAX GA Equity,1.8085228698519586,2.1416092998391845,-0.009418092727291433,0.020169874971515123,0.011075992585705227,3.4615305873784274,0.0057868002006387425,-0.000682212027140248,1.5438627216840188,3.0320331079090095,38.16094567577768,Europe_ASE,Europe,train
BELA GA Equity,1.8858718623742914,1.854423819063707,-0.011962968435685502,0.02218441361384249,0.011671460619944734,3.6513275174207966,0.006028185384890176,-0.000682212027140248,1.5438627216840188,2.6804835934850266,27.920987075523104,Europe_ASE,Europe,train
EKTER GA Equity,1.792360561452718,1.4398832320802766,-0.014213300040013446,0.020465492400141283,0.011339142113818102,3.6608737651120857,0.005551633962143165,-0.000682212027140248,1.5438627216840188,4.715403316103087,79.17381674980032,Europe_ASE,Europe,train
ELLAKTOR GA Equity,1.351087728500569,0.859316737235273,-0.014001319243737802,0.012031567969518209,0.008881322452386473,2.345671331630376,0.005115569950686842,-0.000682212027140248,1.5438627216840188,2.2004612011420335,38.65697047454682,Europe_ASE,Europe,train
ELPE GA Equity,1.7742771134541266,1.320281741387848,-0.015455323653449747,0.02040538162688943,0.011422059729337622,3.3731834270877132,0.006007944603168715,-0.000682212027140248,1.5438627216840188,3.4349532601030917,44.87687416811126,Europe_ASE,Europe,train
ELTON GA Equity,1.6713198965224318,1.6052842128844325,-0.010663057139452425,0.017117237287047615,0.010186426654404473,3.07299578921874,0.005540123940846955,-0.000682212027140248,1.5438627216840188,2.309548815905462,26.992527329251914,Europe_ASE,Europe,train
ETE GA Equity,1.7850440728898296,1.7023831073377347,-0.011823744257420544,0.020128542489314283,0.011199720564568838,3.8870506144385066,0.005143229866250101,-0.000682212027140248,1.5438627216840188,4.6184380257744255,50.8884457035007,Europe_ASE,Europe,train
EUPIC GA Equity,1.975930372925793,2.462951202807404,-0.009785083834527203,0.024100183999820057,0.012089722088803469,3.9033775320653077,0.006119943274577151,-0.000682212027140248,1.5438627216840188,2.571163916263643,26.81541542309547,Europe_ASE,Europe,train
EUROB GA Equity,1.701934348661883,1.2835653011061332,-0.013891888883082544,0.01783114653714679,0.010416863062343521,3.401390387121977,0.005212226481921281,-0.000682212027140248,1.5438627216840188,3.4481133583384684,38.67701392800104,Europe_ASE,Europe,train
EXAE GA Equity,1.9000997558496335,1.196322221311465,-0.018752273773016893,0.0224337618147763,0.011712705467760575,3.518563952714429,0.0063251113518802094,-0.000682212027140248,1.5438627216840188,2.07470360443916,21.131544716523177,Europe_ASE,Europe,train
EYAPS GA Equity,1.9985943757462024,1.711905356480937,-0.01429939478003517,0.02447921051837776,0.012138086732932572,3.785348878661512,0.006408685871336801,-0.000682212027140248,1.5438627216840188,2.4479882771032906,29.44732097081119,Europe_ASE,Europe,train
EYDAP GA Equity,1.870251616385243,1.8410017104413634,-0.012376389370287342,0.022784953999787305,0.012085636630022564,3.5732928546372813,0.006325588850914043,-0.000682212027140248,1.5438627216840188,2.4759517322044178,24.74828177700307,Europe_ASE,Europe,train
FLEXO GA Equity,1.8925328802876764,1.6681292144607591,-0.013653303936963863,0.02277547517116152,0.011937499592469487,3.923011437891693,0.005758869390223013,-0.000682212027140248,1.5438627216840188,3.2310637960612736,30.58188041009904,Europe_ASE,Europe,train
FOYRK GA Equity,2.0681139557659503,2.0689968718474923,-0.013027100354931433,0.02695302988359649,0.012900981077210884,3.9197378162741026,0.006806756027935955,-0.000682212027140248,1.5438627216840188,2.082122169695108,20.185784045976508,Europe_ASE,Europe,train
GEKTERNA GA Equity,1.8451906712336217,1.6274008886876643,-0.013375646783359939,0.021767539462012264,0.011707933254682295,3.4910308350354944,0.0061882493285814865,-0.000682212027140248,1.5438627216840188,2.391738141187977,24.038712015542135,Europe_ASE,Europe,train
HTO GA Equity,1.6228179677070484,1.1609633212053885,-0.014214934450553308,0.01650301751043126,0.010118174991378981,3.175390764838939,0.005171003316578193,-0.000682212027140248,1.5438627216840188,3.4400132004137,42.45189088916369,Europe_ASE,Europe,train
IASO GA Equity,1.7153671426249752,1.434785804284085,-0.013129437836067554,0.018837931025420085,0.010914789502790056,3.191861456469838,0.0058658157746174005,-0.000682212027140248,1.5438627216840188,2.417706495882244,24.604456964575398,Europe_ASE,Europe,train
IATR GA Equity,1.5850676181133967,1.3344009367760357,-0.012358623169597889,0.016491358334773443,0.01035345126856491,2.805280759029817,0.0058500099459538185,-0.000682212027140248,1.5438627216840188,2.038221225150578,28.528452825774576,Europe_ASE,Europe,train
IKTIN GA Equity,1.6441977093425486,1.4977041527361676,-0.011644883817632422,0.017440590851798277,0.01055008437606554,3.0217615899604278,0.005740500713931152,-0.000682212027140248,1.5438627216840188,2.296520899377908,23.798968834296634,Europe_ASE,Europe,train
INKAT GA Equity,1.918452394071898,1.3622133291700302,-0.017138756619222244,0.023346642712105625,0.012068095033220405,3.5368622895372863,0.006545933630737361,-0.000682212027140248,1.5438627216840188,1.9024162077586975,27.185319264998792,Europe_ASE,Europe,train
