,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,1.685985748685383,1.4461755643591792,-0.4275579714862157,0.6183238907103439,0.31512466538507894,2.6773272944393893,0.1984425647181631,-0.028784560979036738,1.181015926113031,0.285477145328385,7.0980268290988136,Europe_AEX,Europe,train
AD NA Equity,1.2333361701910162,0.7233804722340718,-0.5868486869838323,0.4245148803203096,0.32817377449576096,2.203640751102475,0.18367267259476727,-0.028784560979036738,1.181015926113031,5.976718950866223,165.91859110279643,Europe_AEX,Europe,train
AGN NA Equity,1.095307993907781,0.8435913759943735,-0.5663495302922363,0.47776757955299476,0.4466574050822974,1.7505999517989788,0.2794627212356534,-0.028784560979036738,1.181015926113031,0.94102659712842,13.924872472003198,Europe_AEX,Europe,train
AKZA NA Equity,1.2672932846327576,0.5827897722500527,-0.6513733567269802,0.3796137302166691,0.28618487535269355,1.993792081060372,0.1819047101967847,-0.028784560979036738,1.181015926113031,0.5765409615864593,8.409473516927505,Europe_AEX,Europe,train
ASML NA Equity,0.9237058629795594,0.5258125194302841,-0.6808412879432529,0.3579948729456013,0.4313259631011132,1.429683270204335,0.2786759342262291,-0.028784560979036738,1.181015926113031,0.5479808458322156,6.222297619585964,Europe_AEX,Europe,train
DSM NA Equity,1.2025292429916463,1.0615113682186965,-0.2987928961944549,0.3171720560534028,0.256585029593215,1.8101666517587165,0.17045447229951832,-0.028784560979036738,1.181015926113031,-0.006820455905506505,6.426679556775346,Europe_AEX,Europe,train
HEIA NA Equity,0.5240602602682796,0.21573724807243627,-0.4558138470074821,0.09833602498670468,0.22894418007743408,0.7728931471911838,0.15523561961225338,-0.028784560979036738,1.181015926113031,0.17782423735113653,5.186490778902925,Europe_AEX,Europe,train
INGA NA Equity,1.411545679271152,1.5088113701885928,-0.46517204398272183,0.7018568690549989,0.44694641474227215,2.3046419939495513,0.2737454590567513,-0.028784560979036738,1.181015926113031,0.9000451058982272,15.036470555180504,Europe_AEX,Europe,train
KPN NA Equity,0.7963855034993045,0.38602406414235063,-0.6558727524838555,0.2531826654740479,0.36859718808024106,1.2009316014353966,0.24443145377043496,-0.028784560979036738,1.181015926113031,0.3608034714216892,13.836886269355855,Europe_AEX,Europe,train
MT NA Equity,0.6434945958356412,0.28098618233676653,-0.7890880120368479,0.22172282802994236,0.5178615325575288,0.9869086958785624,0.33766152733640264,-0.028784560979036738,1.181015926113031,0.5261917278536562,5.373172797479452,Europe_AEX,Europe,train
PHIA NA Equity,1.3075056941056629,1.0436616804505843,-0.463980996605758,0.4842391866147022,0.3483217252881173,2.065451296943788,0.2205003041557152,-0.028784560979036738,1.181015926113031,0.47455310593612215,4.299474974470144,Europe_AEX,Europe,train
RAND NA Equity,1.7114810419901905,1.339225357680052,-0.5883298814521778,0.7879062959216554,0.3827369176011473,2.674451942914152,0.24492755619694145,-0.028784560979036738,1.181015926113031,-0.008850035422484604,9.802864723022715,Europe_AEX,Europe,train
RDSA NA Equity,1.5222728064713749,1.4503284780354089,-0.3075654028581849,0.4460708626236587,0.26526828301427213,2.5205746600651397,0.16020580546562474,-0.028784560979036738,1.181015926113031,1.3008418465414162,14.838882528067533,Europe_AEX,Europe,train
REN NA Equity,0.7978969738707379,0.5071741277754213,-0.3758406109596493,0.19061663404604157,0.26161284101251486,1.1855961726993656,0.17606340082420524,-0.028784560979036738,1.181015926113031,0.07700686982724604,8.304140229115134,Europe_AEX,Europe,train
UNA NA Equity,2.330109991819523,1.5300689840987023,-0.4735450629634216,0.7245566134133985,0.2471665249888175,3.873412537890314,0.1486867675172642,-0.028784560979036738,1.181015926113031,0.41549029293462625,4.643424812508908,Europe_AEX,Europe,train
VPK NA Equity,1.4559234906744962,0.9121145584396737,-0.4611020458349187,0.42057788893234704,0.2652772184396206,2.3434864099313497,0.1648071575027172,-0.028784560979036738,1.181015926113031,0.6586838049760949,7.3149690147795,Europe_AEX,Europe,train
WKL NA Equity,0.7935189279482475,0.33499548147357655,-0.5896820247451633,0.19754081379581945,0.2752809338473938,1.153739315295276,0.18933274494097563,-0.028784560979036738,1.181015926113031,-0.28903544383116164,18.308568509005937,Europe_AEX,Europe,train
ALPHA GA Equity,2.2060880742564826,2.997678311088688,-0.744569998113209,2.231981334431312,0.6183141403160864,3.7288728283946115,0.3658090564817501,-0.03649652351621862,1.4109765982856544,0.7508964053096983,10.50339973429761,Europe_ASE,Europe,train
ASCO GA Equity,2.704097530102406,5.694932433740851,-0.4149976625618081,2.363383648449882,0.4939748881354658,4.78342403653193,0.2792468877394723,-0.03649652351621862,1.4109765982856544,0.7469870580882493,5.026876756840357,Europe_ASE,Europe,train
AVAX GA Equity,2.4483501625433233,3.4613968813011065,-0.49198769138715487,1.7029646606060291,0.44739931665439037,4.085620358492228,0.26810865756915186,-0.03649652351621862,1.4109765982856544,0.5376620712528577,9.292109246361425,Europe_ASE,Europe,train
BELA GA Equity,2.235711589038797,3.1357136367485285,-0.3983884084259242,1.249231965023713,0.3983885763137087,3.668143931267913,0.24281543300765654,-0.03649652351621862,1.4109765982856544,0.3334978716776155,4.261837134456879,Europe_ASE,Europe,train
EKTER GA Equity,2.4899344069926586,4.170262243922957,-0.626279423389755,2.611749433508135,0.5833188848791082,4.516911723470845,0.3215528331364025,-0.03649652351621862,1.4109765982856544,1.313257636367169,9.899343469636015,Europe_ASE,Europe,train
ELLAKTOR GA Equity,2.1941294078329827,3.7812757405371045,-0.4230353807080382,1.599613422460183,0.4904224632965963,3.6381581783223162,0.2957678848029523,-0.03649652351621862,1.4109765982856544,0.6208747681656286,9.736387254029355,Europe_ASE,Europe,train
ELPE GA Equity,2.278702163761601,2.7823145087589527,-0.3795835946122588,1.0561209425765643,0.34233806540790906,3.7564475493428326,0.20766601426910225,-0.03649652351621862,1.4109765982856544,0.31674603667944806,4.353472275319361,Europe_ASE,Europe,train
ELTON GA Equity,2.252768452663504,2.2912682986192645,-0.5827518261290665,1.3352407851720156,0.4155244050302662,3.7456886022631495,0.2499087271692513,-0.03649652351621862,1.4109765982856544,0.11015071179145068,16.938890215887465,Europe_ASE,Europe,train
ETE GA Equity,1.498227154798268,4.632933412891938,-0.563346627843936,2.6099474151781705,1.0554739465261056,4.668586147152181,0.33871919206891304,-0.03649652351621862,1.4109765982856544,39.84646733786965,2393.4710579032912,Europe_ASE,Europe,train
EUPIC GA Equity,2.457442807252646,4.906542407577803,-0.40031518656913145,1.9641634392988636,0.4916509342484137,4.202456101254179,0.28749950575027583,-0.03649652351621862,1.4109765982856544,0.5794352451930128,5.253019194826173,Europe_ASE,Europe,train
EUROB GA Equity,0.674124561997953,,-1078407.5099246525,,1.707049709966924,0.7128135555710312,1.6143971015230119,-0.03649652351621862,1.4109765982856544,-56.57358505367697,3856.2179042782764,Europe_ASE,Europe,train
