,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AALB NA Equity,0.474315959137797,0.11741126500413612,-0.6977720807315484,0.08192630268325929,0.21440824808722725,0.692834809642237,0.14678427299439806,-0.013818125827372173,1.0264331981919181,0.2399159776547622,6.925587668789431,Europe_AEX,Europe,train
AD NA Equity,0.15426295033314882,0.022450419910196827,-0.39228251699280003,0.008806907229917282,0.07568927633153179,0.20786849166782556,0.05617037474896111,-0.013818125827372173,1.0264331981919181,-4.175436409809996,156.07050298423152,Europe_AEX,Europe,train
AGN NA Equity,-0.06717650594239977,-0.015251761788769183,-0.07131899980218018,-0.0010877403959961285,0.014612533762613943,-0.09670479302751629,0.010150675374057661,-0.013818125827372173,1.0264331981919181,0.5220957867943423,15.32444125921133,Europe_AEX,Europe,train
AKZA NA Equity,0.2439597108012442,0.05675718374181202,-0.41964414920066756,0.023817820082358665,0.13220936011026546,0.3600681573029797,0.08957681095520467,-0.013818125827372173,1.0264331981919181,0.5384545622605811,8.296243412691709,Europe_AEX,Europe,train
ASML NA Equity,0.5156240938443327,0.15128736176094906,-0.7150326367085461,0.10817540118061109,0.2691975762443467,0.7702155990720682,0.18021545718278048,-0.013818125827372173,1.0264331981919181,0.4470301083041371,6.309698389853189,Europe_AEX,Europe,train
DSM NA Equity,0.503350555221636,0.16386417457663494,-0.5829777046787803,0.09552916037376957,0.23741934255647917,0.719439823199039,0.16610862235116705,-0.013818125827372173,1.0264331981919181,-0.2042809133773311,6.2110119927106044,Europe_AEX,Europe,train
HEIA NA Equity,0.3542779290689867,0.0980288698973724,-0.4123019844071757,0.04041749758787949,0.13916034054983392,0.514112643006938,0.09589617748004839,-0.013818125827372173,1.0264331981919181,0.10268881781110945,5.226149722386237,Europe_AEX,Europe,train
INGA NA Equity,0.14793596519910301,0.026359475567790416,-0.35465296640008115,0.009348466202867334,0.09055943297124094,0.2159019312637244,0.06205130748978598,-0.013818125827372173,1.0264331981919181,0.572330441474973,14.94499272152457,Europe_AEX,Europe,train
KPN NA Equity,0.08303895839459498,0.01017605623082448,-0.2879595895199365,0.0029302929751600093,0.050767034156637594,0.11506609044175478,0.0366366982745792,-0.013818125827372173,1.0264331981919181,-0.4050226126362232,13.990286300629322,Europe_AEX,Europe,train
MT NA Equity,0.240143231006719,0.046206124442784643,-0.5639609951674631,0.02605845192358447,0.16087891442462948,0.35579400099290387,0.10858525495924398,-0.013818125827372173,1.0264331981919181,0.38888656930335636,5.425913120336142,Europe_AEX,Europe,train
PHIA NA Equity,0.19848655946680163,0.049957416625922846,-0.3241542166327009,0.016193907251369488,0.11317349079966105,0.28655085626410015,0.07839242605846201,-0.013818125827372173,1.0264331981919181,0.15695069317821234,4.197024225513723,Europe_AEX,Europe,train
RAND NA Equity,0.2349781326388432,0.04615049202513172,-0.49416141631560984,0.022805792502801348,0.1345035114520828,0.3350746570239763,0.09432340910257545,-0.013818125827372173,1.0264331981919181,-0.157781016032984,9.109661434672317,Europe_AEX,Europe,train
RDSA NA Equity,0.027069479039534453,0.0057219983655844965,-0.043367936255453154,0.0002481512603724756,0.011689441693772127,0.03806822538537283,0.008312105271789402,-0.013818125827372173,1.0264331981919181,0.09260838494656429,14.741153182235145,Europe_AEX,Europe,train
REN NA Equity,0.3096375823215926,0.0980169908760913,-0.352532318329277,0.034554157029208055,0.14257018315663628,0.44180633542017705,0.09991954230756694,-0.013818125827372173,1.0264331981919181,-0.13528667731782396,8.246433937097526,Europe_AEX,Europe,train
UNA NA Equity,0.2969279558098857,0.11550826650988813,-0.2852945821273397,0.03295388262619192,0.14423974398940065,0.4225528345672557,0.10135729505441791,-0.013818125827372173,1.0264331981919181,-0.03335969480927098,4.8371452543210856,Europe_AEX,Europe,train
