,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.23062660858922818,0.0529244357789705,-0.4015931358823753,0.021254090129282144,0.12441371558145982,0.37615602257933617,0.07627981891605934,-0.012441619235947126,1.0831131562577874,2.025367394575949,22.223088902055387,MEA_DFMGI,MEA,train
ARMX DB Equity,0.20004097578869498,0.03473155124429972,-0.5051421452933479,0.017544370304911405,0.1276199186846058,0.2914090316685767,0.08760611473695556,-0.012441619235947126,1.0831131562577874,0.2343835425948707,18.231615955999683,MEA_DFMGI,MEA,train
ARTC DB Equity,0.07631882335977368,0.007632611954705347,-0.3718704062387166,0.002838342508258762,0.06356684444116749,0.11319972540493693,0.042856524210544526,-0.012441619235947126,1.0831131562577874,0.6033912681575158,15.414233870708006,MEA_DFMGI,MEA,train
DIB DB Equity,0.5080998276347197,0.13300310821777628,-0.8829428964671073,0.1174341496089315,0.3155829780087634,0.7747117267307272,0.20697719060916903,-0.012441619235947126,1.0831131562577874,1.0627916793390786,22.48662519054065,MEA_DFMGI,MEA,train
DIC DB Equity,0.4318886187876919,0.10632233317596937,-0.7776710847632313,0.0826838041755138,0.26374392426602694,0.660538243330228,0.17244724331268294,-0.012441619235947126,1.0831131562577874,1.0834957171023043,22.029229517275596,MEA_DFMGI,MEA,train
EMAAR DB Equity,0.3302242432573343,0.06447244307676875,-0.7613271723676055,0.04908462278326775,0.21484631860878595,0.4867598141371393,0.14575456091209243,-0.012441619235947126,1.0831131562577874,0.36832389558487216,13.143072884502324,MEA_DFMGI,MEA,train
GGICO DB Equity,0.05840196319830704,0.005976506691174055,-0.27345020142261545,0.0016342769585051542,0.046538060194576965,0.07795864102345984,0.03486353844965548,-0.012441619235947126,1.0831131562577874,-1.0410601202209522,12.794790967641529,MEA_DFMGI,MEA,train
SALAMA DB Equity,0.062235877906187016,0.010440098679299068,-0.06792677640371783,0.0007091622486214977,0.012681455655424168,0.09599202691459938,0.008221948751492276,-0.012441619235947126,1.0831131562577874,1.5447153821060204,22.758389201971127,MEA_DFMGI,MEA,train
SHUAA DB Equity,0.24909262228692855,0.04601182349839794,-0.601244422769112,0.027664352259848535,0.1615162144974844,0.3887172599704102,0.10350067144972924,-0.012441619235947126,1.0831131562577874,1.2156768391891632,13.725410623987408,MEA_DFMGI,MEA,train
TABREED DB Equity,0.30048874984642304,0.052020235800077724,-0.7887036016573546,0.04102854733458616,0.1917923815895032,0.5302112430957493,0.10869526763975174,-0.012441619235947126,1.0831131562577874,8.348063231482039,262.01314471002104,MEA_DFMGI,MEA,train
UPP DB Equity,0.1366200039430371,0.019178312337219394,-0.4523155671706579,0.008674649222185415,0.09871127033068976,0.21181852902410242,0.06366739587860369,-0.012441619235947126,1.0831131562577874,1.1837307054193607,14.983416685593383,MEA_DFMGI,MEA,train
BRES QD Equity,0.14419885323785941,0.023575854417151026,-0.3412503943999948,0.008045269618169648,0.07513727761812265,0.20801435919973357,0.05208635264234125,-0.011847336877766129,1.135314171399567,0.15266482357689973,19.098455544797318,MEA_DSM,MEA,train
CBQK QD Equity,0.3703929801198758,0.08806701672651238,-0.49345884905756077,0.04345744871379775,0.14210884405454982,0.5421184030978433,0.09709339869293362,-0.011847336877766129,1.135314171399567,0.11574862475755156,12.97951682526011,MEA_DSM,MEA,train
DHBK QD Equity,0.2704966423951886,0.050026061477783844,-0.4586271024792153,0.022943307624003095,0.10375006706141228,0.391524576146622,0.07167888428510288,-0.011847336877766129,1.135314171399567,0.13785988803383636,12.370792352222445,MEA_DSM,MEA,train
IQCD QD Equity,0.26617242808121183,0.06722789176713678,-0.3336397382479789,0.022429896212150968,0.10341007804606815,0.3886698614072308,0.07081822980030399,-0.011847336877766129,1.135314171399567,0.2263141038926377,13.895774392469121,MEA_DSM,MEA,train
MARK QD Equity,0.30024545718690426,0.0629476366515768,-0.5346481068657633,0.03365483476743947,0.14512676743488884,0.4584211258195121,0.09505158070682238,-0.011847336877766129,1.135314171399567,1.062074098767949,24.182859351914693,MEA_DSM,MEA,train
MCGS QD Equity,0.3518270174666993,0.08830640604991499,-0.48721338573548684,0.04302406307371176,0.1526144823533623,0.5514875122875132,0.09736194737373277,-0.011847336877766129,1.135314171399567,1.1278353177545901,15.118149420967928,MEA_DSM,MEA,train
ORDS QD Equity,0.231618423491785,0.052532250592113756,-0.3575589963254055,0.018783378796430883,0.10342300765545266,0.33815367996468415,0.07083960756670314,-0.011847336877766129,1.135314171399567,0.14802300233748505,11.339464864330443,MEA_DSM,MEA,train
QATI QD Equity,0.3584613411132796,0.08686651394776634,-0.504684160412095,0.04384015365965399,0.1517278754367991,0.5331824892338286,0.10200743424919827,-0.011847336877766129,1.135314171399567,0.47055338595943935,10.797680673545344,MEA_DSM,MEA,train
QEWS QD Equity,0.3978843582508681,0.1335460774503527,-0.40417510893898595,0.05397600040187056,0.16699279887285842,0.6080393478025263,0.10927553101978293,-0.011847336877766129,1.135314171399567,0.8524303690258785,17.033946442125224,MEA_DSM,MEA,train
QFLS QD Equity,0.6126283942442763,0.21696941885188634,-0.5976460307504725,0.12967091197106662,0.24951787229502845,0.9411097001660618,0.16242711493928788,-0.011847336877766129,1.135314171399567,0.9721828257417356,29.533465448858124,MEA_DSM,MEA,train
QGTS QD Equity,-0.06323459781785698,-0.011287687690730894,-0.025379434560883162,-0.0002864751310905911,0.004379227388261574,-0.08170769129887562,0.0033891385039473694,-0.011847336877766129,1.135314171399567,-5.744256475411046,212.73362197985116,MEA_DSM,MEA,train
QIBK QD Equity,0.5999279785126036,0.19290769359168972,-0.6392830126016767,0.12332261151333657,0.2425541374393417,0.9122820740967745,0.15950660161543007,-0.011847336877766129,1.135314171399567,0.9485104320975475,24.538821905541223,MEA_DSM,MEA,train
QIIK QD Equity,0.5492799203827866,0.17729255406200717,-0.5874806621172698,0.10415594704880982,0.22729789509103893,0.8250913798114257,0.15131677869100427,-0.011847336877766129,1.135314171399567,0.4609322166038331,15.926053582815033,MEA_DSM,MEA,train
QNBK QD Equity,0.5562927471733871,0.179948057354087,-0.5950732599329425,0.10708227710829665,0.23060123261043147,0.8304378675413115,0.15447488391904834,-0.011847336877766129,1.135314171399567,0.49410922065808077,30.669517183005205,MEA_DSM,MEA,train
QNNS QD Equity,0.28316327964982635,0.06635888816361005,-0.4300118766138538,0.028535110029242805,0.1282272402844523,0.430657575738113,0.08431117422504565,-0.011847336877766129,1.135314171399567,1.2082775153520342,25.27014093133911,MEA_DSM,MEA,train
UDCD QD Equity,0.2439753172084021,0.0694774465057699,-0.2761151268346317,0.01918377395408699,0.09723770111757732,0.36082127206020376,0.06574889235138662,-0.011847336877766129,1.135314171399567,0.370775212397649,16.22762382615871,MEA_DSM,MEA,train
ACGC EC Equity,0.07419232020207352,0.014556044691243438,-0.14806197344006825,0.0021551967024673324,0.03974115510783292,0.09978393837323818,0.029548728513118978,-0.014261051389081458,1.135763558653493,-4.342014478602045,131.7786195885053,MEA_EGX30,MEA,train
AMOC EC Equity,0.05404750239921116,0.007522928553849455,-0.0663559904816923,0.0004991913755136856,0.01019503230272395,0.0786014381965148,0.007010253825940045,-0.014261051389081458,1.135763558653493,0.5199711742746377,25.54354279129425,MEA_EGX30,MEA,train
COMI EC Equity,0.5994124591262671,0.2450075396825739,-0.5821471884595423,0.14263045037760014,0.29512305234662817,0.8773836035829882,0.2016226811505603,-0.014261051389081458,1.135763558653493,0.17465685643665319,12.90628851154315,MEA_EGX30,MEA,train
EAST EC Equity,0.4928317097118627,0.15249019857994625,-0.6157008443975759,0.09388834402802693,0.2408597179005957,0.728740597611701,0.1628882855747209,-0.014261051389081458,1.135763558653493,0.3620570557908318,18.11561839048371,MEA_EGX30,MEA,train
EGCH EC Equity,0.5062224457201913,0.16185894694505348,-0.5952129665549082,0.09634054397461878,0.23602967985949236,0.8035303029282038,0.1486982150711769,-0.014261051389081458,1.135763558653493,1.4980179078210458,20.680471709728227,MEA_EGX30,MEA,train
