,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.3806722107592013,0.0932401958090266,-0.8284984927282448,0.07724936168946495,0.42284550541025445,0.6351945747753207,0.2534113793573404,-0.03287386820413021,1.0570391617139254,2.220250621821212,24.464564884242648,MEA_DFMGI,MEA,train
ARMX DB Equity,0.2011027392931472,0.017485572480925686,-0.8525116823120239,0.014906654811902786,0.3050964752741066,0.2930572571988859,0.20936433211980543,-0.03287386820413021,1.0570391617139254,0.23972177092088462,18.28656271112548,MEA_DFMGI,MEA,train
ARTC DB Equity,0.2123572451679148,-0.0007747040291387784,-0.9777141026528406,-0.0007574390546709608,0.4305960709306161,0.32033948046972516,0.2854477857954681,-0.03287386820413021,1.0570391617139254,0.6684433191783823,17.163082782185764,MEA_DFMGI,MEA,train
DIB DB Equity,0.5084441161954953,0.13502495715507823,-0.8975829738934432,0.12119610259308988,0.33283850968580175,0.7753320009598519,0.21826750564083358,-0.03287386820413021,1.0570391617139254,1.065433885807888,22.52835862365277,MEA_DFMGI,MEA,train
DIC DB Equity,0.4343706239358526,0.10879978846809292,-0.905466189257039,0.09851452985617604,0.3845522594626339,0.6648717481366578,0.25123372341637396,-0.03287386820413021,1.0570391617139254,1.0985849492403155,22.151107143936326,MEA_DFMGI,MEA,train
EMAAR DB Equity,0.33098748962275276,0.058331451247838874,-0.9372673150158615,0.05467216269204056,0.38918056026144593,0.4878380220788023,0.2640505471508833,-0.03287386820413021,1.0570391617139254,0.3658125468245007,13.171771837668373,MEA_DFMGI,MEA,train
GGICO DB Equity,0.04616879932306674,-0.0716952096945168,-0.969911839791137,-0.06953803273902015,0.42284695021397617,0.061584262638121945,0.31700202539593486,-0.03287386820413021,1.0570391617139254,-1.0476452658306274,12.912591104688072,MEA_DFMGI,MEA,train
SALAMA DB Equity,-0.0611775009087099,-0.11116284616244285,-0.9641281526634965,-0.10717522951541247,0.41227327127695607,-0.08034145523679212,0.3139331787536817,-0.03287386820413021,1.0570391617139254,-1.5550799583674617,22.498897763032996,MEA_DFMGI,MEA,train
SHUAA DB Equity,0.47805778081246164,0.15511424456684222,-0.7541454247745992,0.1169786978574523,0.37818253619636283,0.7721127275229868,0.2341537673858371,-0.03287386820413021,1.0570391617139254,1.4438013436058748,15.153487230097632,MEA_DFMGI,MEA,train
TABREED DB Equity,0.30341905834160965,0.044525690241900534,-0.9860040087428336,0.043902509070555595,0.4706632852998621,0.5350356512794969,0.2669134486274654,-0.03287386820413021,1.0570391617139254,8.287819634269296,259.1921761776407,MEA_DFMGI,MEA,train
UPP DB Equity,0.13740103400317583,-0.03334152862310195,-0.9596517924288717,-0.031996257705478315,0.43215377283571915,0.21304981651790314,0.2787065307376673,-0.03287386820413021,1.0570391617139254,1.1851807677807913,15.011923546153422,MEA_DFMGI,MEA,train
BRES QD Equity,0.6666654727514981,0.27778492612256783,-0.3309356566420502,0.0919289369316354,0.14834634846317277,1.0537982696956598,0.09384850153314583,-0.017241673296926927,1.1690265226620373,1.1118340715323538,29.735709214797737,MEA_DSM,MEA,train
CBQK QD Equity,1.2052569762734369,0.6804366325461232,-0.35529161930989794,0.24175343301508612,0.19543543892434817,1.9963494452912804,0.11799032816134228,-0.017241673296926927,1.1690265226620373,1.076277841671177,14.797527248524336,MEA_DSM,MEA,train
DHBK QD Equity,1.274284308859823,0.8086238894352821,-0.23684186829982906,0.1915159927257266,0.14579067514774283,2.276060774165909,0.08162293899508435,-0.017241673296926927,1.1690265226620373,2.1257204540797727,24.62885151975034,MEA_DSM,MEA,train
IQCD QD Equity,0.7586928243263378,0.21000861013338992,-0.6752401061340173,0.14180623619552768,0.20140001169972033,1.196766659914919,0.12767797500866312,-0.017241673296926927,1.1690265226620373,0.8055365810935872,14.448195161001866,MEA_DSM,MEA,train
MARK QD Equity,0.27554512612750465,0.05564844285211465,-0.6794111878370422,0.03780817465943698,0.22956365543147142,0.41939240758987323,0.15082568316785902,-0.017241673296926927,1.1690265226620373,1.0607938817853164,24.537177971328823,MEA_DSM,MEA,train
MCGS QD Equity,0.3497146838577273,0.08080529131033237,-0.7850218020124922,0.0634339153965815,0.32511895236227994,0.5482267276910966,0.20739388632214756,-0.017241673296926927,1.1690265226620373,1.1306769758562198,15.139611969538358,MEA_DSM,MEA,train
ORDS QD Equity,0.7860600876684729,0.22423819792112146,-0.4109325542045974,0.09214677542196248,0.12151295119745363,1.219937190332263,0.07829622855018487,-0.017241673296926927,1.1690265226620373,0.8097904889214201,33.34938725128448,MEA_DSM,MEA,train
QATI QD Equity,1.0227117159734143,0.5483758186465085,-0.2580813543733933,0.14152557398190924,0.13876051598207031,1.7718546308967984,0.08009235234921773,-0.017241673296926927,1.1690265226620373,2.1711993993070893,34.341306261629455,MEA_DSM,MEA,train
QEWS QD Equity,0.3693055837581037,0.1190414677316835,-0.5493343112320572,0.06539356268443752,0.26854210754399127,0.5593547966213025,0.1773008837846948,-0.017241673296926927,1.1690265226620373,0.7757696645151154,17.38142973735336,MEA_DSM,MEA,train
QFLS QD Equity,0.6067775279550504,0.21418820799977095,-0.6173534851549716,0.13222983668775656,0.260052912558573,0.9298741612317161,0.16969421239836013,-0.017241673296926927,1.1690265226620373,0.9529547072944418,29.82767875850233,MEA_DSM,MEA,train
QGTS QD Equity,0.20945333417581047,0.030260720723124097,-0.7427186414201816,0.022475201383874266,0.203857192278505,0.3219463817828887,0.13262633480144786,-0.017241673296926927,1.1690265226620373,2.1484283349068742,52.15360910921959,MEA_DSM,MEA,train
QIBK QD Equity,0.5987125305963532,0.19554058829701937,-0.7142999506412844,0.13967463256892865,0.2863411750195422,0.9106705385047207,0.18825254827214846,-0.017241673296926927,1.1690265226620373,0.9531097544874568,24.605918460421766,MEA_DSM,MEA,train
QIIK QD Equity,0.5727620372759862,0.1927823159675894,-0.6359087270906343,0.12259195715253424,0.26136857173341266,0.8631840830470973,0.17342997694939666,-0.017241673296926927,1.1690265226620373,0.48035222328267174,16.008977605941364,MEA_DSM,MEA,train
QNBK QD Equity,0.5612913432696577,0.1982186666391318,-0.6021114871537142,0.11934973615171396,0.2618887661578849,0.8387772472886421,0.17525022026903872,-0.017241673296926927,1.1690265226620373,0.5175622186670357,31.007143728424033,MEA_DSM,MEA,train
QNNS QD Equity,0.285818077451305,0.05687623619064651,-0.74090983449951,0.04214016274296695,0.28428273554744365,0.43466309850573065,0.18693361641716832,-0.017241673296926927,1.1690265226620373,1.2006541826517172,25.2535181749149,MEA_DSM,MEA,train
UDCD QD Equity,0.6861406050069332,0.23881888318153713,-0.5784896320279173,0.13815424785300556,0.22540721811999354,1.088906056943583,0.14203341420277843,-0.017241673296926927,1.1690265226620373,0.8620573831582928,14.51918358263719,MEA_DSM,MEA,train
