,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.232396059088319,0.0599388070594688,-0.16920100780768613,0.010141706561252573,0.048449837235749776,0.3791780512279907,0.02969462815844434,-0.0031365757639203714,1.057236033413045,2.027324449129331,22.18271194091625,MEA_DFMGI,MEA,train
ARMX DB Equity,0.20962678264458023,0.04257241960304598,-0.02241267282675385,0.0009541617120063517,0.004600013414401561,0.30665794285046793,0.0031445003616068505,-0.0031365757639203714,1.057236033413045,0.3582220422573149,22.42897855870661,MEA_DFMGI,MEA,train
ARTC DB Equity,0.08412752707241206,0.010950493501312978,-0.16948371775706264,0.0018559303498770774,0.02607942327293581,0.12504577760513172,0.017545553552035822,-0.0031365757639203714,1.057236033413045,0.6244888881791921,15.291994925165305,MEA_DFMGI,MEA,train
DIB DB Equity,0.5086756953815932,0.09459341131644451,-0.2692109754985229,0.025465584536233044,0.05209959510552658,0.7758643627080701,0.034157771697235245,-0.0031365757639203714,1.057236033413045,1.0701000153234206,22.566030276473295,MEA_DFMGI,MEA,train
DIC DB Equity,0.4349450574992227,0.09473543072502133,-0.15647947779750648,0.014824150728773189,0.035260309576593395,0.6660381949355865,0.023026152993695804,-0.0031365757639203714,1.057236033413045,1.1004861228871468,21.911766486060376,MEA_DFMGI,MEA,train
EMAAR DB Equity,0.3328184757617164,0.05858473525800849,-0.31366004948607157,0.018375690960155344,0.06014112316801333,0.49075797750760247,0.04078604497685576,-0.0031365757639203714,1.057236033413045,0.3709203728568717,13.165858327203374,MEA_DFMGI,MEA,train
GGICO DB Equity,-0.04914408802227286,-0.00842659353699033,-0.13642912678196956,-0.001149632797998179,0.019529915769260622,-0.0743476998277417,0.012909342210396019,-0.0031365757639203714,1.057236033413045,1.0629259177289387,12.90703561390778,MEA_DFMGI,MEA,train
SALAMA DB Equity,0.07217104538043144,0.012999464978498724,-0.022405271342322078,0.00029125654014827695,0.0041545809456556785,0.11211346078348158,0.0026744375552250296,-0.0031365757639203714,1.057236033413045,1.7175308489643966,24.490856819745815,MEA_DFMGI,MEA,train
SHUAA DB Equity,0.25144810526028777,0.04969378016649332,-0.2864386701050523,0.014234220303383172,0.06444058966350026,0.3926191896406053,0.04127017884066009,-0.0031365757639203714,1.057236033413045,1.2218906426686937,13.756111758807943,MEA_DFMGI,MEA,train
TABREED DB Equity,0.2999258243750892,0.04423078047077298,-0.35031391795938,0.015494658001117712,0.05648890416088015,0.5287027766937242,0.0320453795503936,-0.0031365757639203714,1.057236033413045,8.286969506775907,259.2471217769008,MEA_DFMGI,MEA,train
UPP DB Equity,0.1416890184896436,0.023766703365551523,-0.11925585964349948,0.002834318640750899,0.021623565927908373,0.21988350588987682,0.013933841104506834,-0.0031365757639203714,1.057236033413045,1.188490036831642,15.0089046397263,MEA_DFMGI,MEA,train
BRES QD Equity,-0.13472949000800472,-0.023933150940281332,-0.035394033696914226,-0.0008470907508536518,0.006149668880661705,-0.1873093458891979,0.004423387141076074,-0.001824709131732532,1.0981468611294514,-0.12596001097038248,19.100234286354357,MEA_DSM,MEA,train
CBQK QD Equity,0.3988692755891656,0.09077783486674057,-0.034410738788312065,0.003123732363367937,0.007897475388363552,0.5871878178201917,0.005364655382044121,-0.001824709131732532,1.0981468611294514,0.17816695542697103,12.845977059766136,MEA_DSM,MEA,train
DHBK QD Equity,-0.25940956926878245,-0.03138483969860814,-0.0960970605830694,-0.003015990841907068,0.011393678504645658,-0.35964413571027454,0.008218204997114531,-0.001824709131732532,1.0981468611294514,-0.10799541747204042,12.327810105631347,MEA_DSM,MEA,train
IQCD QD Equity,0.26447840408260653,0.06991537512422874,-0.10432388636284022,0.0072938436494753844,0.029076139367156903,0.38570408718382465,0.01993759255406616,-0.001824709131732532,1.0981468611294514,0.19498704707799897,14.000537843426432,MEA_DSM,MEA,train
MARK QD Equity,-0.29617111538445445,-0.03224567969393004,-0.07098784035187806,-0.0022890511621505016,0.007639104082334251,-0.3924782753823565,0.005764604357779396,-0.001824709131732532,1.0981468611294514,-1.0184483256797496,23.939073740489796,MEA_DSM,MEA,train
MCGS QD Equity,0.35203499615230033,0.0878155638252413,-0.15649886646043806,0.013743036196234515,0.04117717003857556,0.551845287307066,0.026267878388216787,-0.001824709131732532,1.0981468611294514,1.1270995146353482,15.10658767445831,MEA_DSM,MEA,train
ORDS QD Equity,0.23319527666236953,0.0586039247864899,-0.120162024933099,0.007041966271371658,0.03233297051418574,0.3404135240198309,0.022149225786730318,-0.001824709131732532,1.0981468611294514,0.14902713599695921,11.097636180544804,MEA_DSM,MEA,train
QATI QD Equity,-0.11170362704772913,-0.02077034896179249,-0.0007830477832134018,-1.6264175711100393e-05,0.00014550756782315768,-0.15653911520554017,0.0001038317040913293,-0.001824709131732532,1.0981468611294514,-0.2623792546921381,49.3648843853608,MEA_DSM,MEA,train
QEWS QD Equity,0.395490636819916,0.13418934929111961,-0.10264682334129578,0.013774110430968989,0.036250006403208385,0.6041397787092905,0.02373049850774616,-0.001824709131732532,1.0981468611294514,0.8537055243920842,17.181876154828295,MEA_DSM,MEA,train
QFLS QD Equity,0.6149834742979824,0.19203898759410673,-0.0844351429583572,0.016214839371086587,0.026736061913673878,0.9457380017930752,0.01738561442338513,-0.001824709131732532,1.0981468611294514,0.9916855753496464,29.718818235508373,MEA_DSM,MEA,train
QGTS QD Equity,0.0017467911727848738,-0.0002719038507974546,-0.043875229287273845,-1.1929843797831019e-05,0.006931802932140636,0.0023317871070671226,0.005192760581208161,-0.001824709131732532,1.0981468611294514,-2.5033211138581586,63.55730437472438,MEA_DSM,MEA,train
QIBK QD Equity,0.5997320778716386,0.16548432555527315,-0.22344910859828387,0.03697732503231399,0.06394844224856232,0.9120637430473634,0.04204961817498006,-0.001824709131732532,1.0981468611294514,0.9500011848979424,24.554503381488733,MEA_DSM,MEA,train
QIIK QD Equity,0.5492087550893927,0.15583225459829264,-0.08749940446814371,0.013635229474278754,0.025239519745120995,0.82490352075068,0.016804104806896137,-0.001824709131732532,1.0981468611294514,0.4587635806139236,15.9439971157829,MEA_DSM,MEA,train
QNBK QD Equity,0.5548302903902581,0.15566326371235384,-0.06751974260225459,0.010510343498485009,0.019176063179312985,0.8284307663254943,0.012842908707400496,-0.001824709131732532,1.0981468611294514,0.5048199529218759,30.874016767168385,MEA_DSM,MEA,train
QNNS QD Equity,0.2868201066311753,0.07186402056459022,-0.013312187643373493,0.0009566673265630765,0.0033534351405755574,0.43656908371193137,0.0022031624787138466,-0.001824709131732532,1.0981468611294514,1.1963362726499869,25.128245563866717,MEA_DSM,MEA,train
UDCD QD Equity,0.24740689682447747,0.07560448633148042,-0.09524622510580662,0.007201041924137064,0.03093483766635659,0.3664060875271613,0.020888005006835207,-0.001824709131732532,1.0981468611294514,0.39835752915929984,16.15411025102426,MEA_DSM,MEA,train
ACGC EC Equity,-0.059170098483749725,-0.01211971964702141,-0.12442638761789888,-0.0015080129346205506,0.021583840734899745,-0.08856455375377414,0.014420193269332233,-0.0036844200706106674,1.0921164123625864,4.212081036843922,125.94530811133797,MEA_EGX30,MEA,train
