,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.9330648503188859,0.5533658854926414,-0.7455911876730379,0.4125847277822008,0.5001583787615138,1.577983471645948,0.29574467109472835,-0.032644359859549735,1.2092987285323082,1.9446621438865412,21.997398203909604,MEA_DFMGI,MEA,train
ARMX DB Equity,0.4609339374431809,0.15003814210979002,-0.6581671825989983,0.09875018127478863,0.3048040618130363,0.695679598962444,0.20195293432450082,-0.032644359859549735,1.2092987285323082,0.4927853415039747,18.313953792220516,MEA_DFMGI,MEA,train
ARTC DB Equity,0.4686709391027719,0.15674296490351186,-0.7347737792186271,0.11517062068808603,0.4718475094515007,0.6870051958167868,0.321891619909835,-0.032644359859549735,1.2092987285323082,0.006424667693721051,15.368950993835412,MEA_DFMGI,MEA,train
DIB DB Equity,0.877753340405045,0.5171745772821686,-0.5165193424103595,0.26713067256914136,0.33234206895217827,1.3634432746238776,0.21395416047680546,-0.032644359859549735,1.2092987285323082,0.777202577496638,22.629322297216873,MEA_DFMGI,MEA,train
DIC DB Equity,0.9472634222072844,0.596824164609297,-0.5654184466407294,0.3374553920710397,0.3840934908462503,1.487274004631123,0.2446339500681323,-0.032644359859549735,1.2092987285323082,1.0421493935851502,22.17075841262582,MEA_DFMGI,MEA,train
EMAAR DB Equity,1.0145650244949056,0.5128392233948945,-0.7317544905180984,0.37527240463302824,0.3883469220020413,1.5605710779775188,0.25247373220843333,-0.032644359859549735,1.2092987285323082,0.3892788152773238,13.22002886636847,MEA_DFMGI,MEA,train
GGICO DB Equity,1.056071296567222,0.5066891864755058,-0.8498840024436526,0.43062703379672107,0.4266187036797166,1.540244544465086,0.29251184115788215,-0.032644359859549735,1.2092987285323082,-0.48472876927787883,13.090277654490322,MEA_DFMGI,MEA,train
SALAMA DB Equity,0.711785480759298,0.38794617353402705,-0.5936916016971057,0.23032038513767983,0.4125651225473204,1.0352144723044021,0.28366862322082553,-0.032644359859549735,1.2092987285323082,-0.3585370022247479,22.68951975474362,MEA_DFMGI,MEA,train
SHUAA DB Equity,0.6567451125772381,0.28392526712161764,-0.7918001991005279,0.2248120830365674,0.4842332060140724,1.042166952137538,0.3051505238628782,-0.032644359859549735,1.2092987285323082,1.148901725681545,13.738043251209703,MEA_DFMGI,MEA,train
TABREED DB Equity,0.8992078387097123,0.5091356474670443,-0.749111141052452,0.3813991858245165,0.46994523909259317,1.679630025405311,0.25159019329533444,-0.032644359859549735,1.2092987285323082,8.367862185886372,259.53004100955474,MEA_DFMGI,MEA,train
UPP DB Equity,0.7552872818180081,0.38852197272490835,-0.6797375312493098,0.2640929665761409,0.43172839084731973,1.2199608211725474,0.2672864219470005,-0.032644359859549735,1.2092987285323082,1.1874936013745905,14.896745698676938,MEA_DFMGI,MEA,train
BRES QD Equity,1.0263914617982473,0.6734829529239555,-0.4103653248782434,0.2763740507765977,0.2743855667225191,1.608076017187743,0.17513289167584603,-0.021034524100398914,1.3040459096545087,0.5297828881976563,18.98903845547085,MEA_DSM,MEA,train
CBQK QD Equity,1.4657320168119254,1.1333999689995216,-0.4198561147050042,0.47586490739091136,0.2953366242123842,2.375777571116914,0.18220743856998936,-0.021034524100398914,1.3040459096545087,0.5635021345044375,12.584885781821223,MEA_DSM,MEA,train
DHBK QD Equity,1.449645939509172,1.2941164527938187,-0.3496678317602914,0.45251089409373413,0.2855685499993165,2.390645677371019,0.17316379958625885,-0.021034524100398914,1.3040459096545087,0.8071509001585111,12.26250298197723,MEA_DSM,MEA,train
IQCD QD Equity,1.1589305599832482,0.45987792957686313,-0.7393369878942585,0.3400047632524059,0.28836983970482577,1.8323604217871527,0.18238803667535994,-0.021034524100398914,1.3040459096545087,0.5416205641873792,14.058091760066432,MEA_DSM,MEA,train
MARK QD Equity,0.6860939546674661,0.296418233384909,-0.47888272720930974,0.1419495719979309,0.23258083314342584,1.0797956559609372,0.1477800940486464,-0.021034524100398914,1.3040459096545087,1.134909702481617,24.032838894371345,MEA_DSM,MEA,train
MCGS QD Equity,0.7624130996243961,0.305360070885625,-0.7075705384621878,0.2160637897813935,0.3249270020719251,1.240224228962083,0.1997450114392925,-0.021034524100398914,1.3040459096545087,1.2211074344919748,15.047372038554531,MEA_DSM,MEA,train
