,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,3.268760798029171,4.663619988540147,-0.09893918225149345,0.4614147479978814,0.11826322255007493,8.154148305780517,0.04740828486602825,-0.005493964092597931,3.1334399816620806,2.9327853577933403,18.137028120619338,MEA_DFMGI,MEA,train
ARMX DB Equity,3.3115040112536795,9.746369989144641,-0.04695952313666843,0.45768488700376864,0.1158755854886971,9.098178496605254,0.04217574608976567,-0.005493964092597931,3.1334399816620806,3.547081191530775,23.155505387510352,MEA_DFMGI,MEA,train
ARTC DB Equity,4.026652177551169,8.30246943876705,-0.0903241979852196,0.74991389335343,0.1415496305721073,13.046950821473736,0.043686155943550756,-0.005493964092597931,3.1334399816620806,3.726849196989525,23.975142470868576,MEA_DFMGI,MEA,train
DIB DB Equity,4.127233788677585,12.74623191361239,-0.060322038958939034,0.7688786980725986,0.1406896679421538,13.209993802450953,0.04395605023985344,-0.005493964092597931,3.1334399816620806,3.6826092404308066,23.02247033163614,MEA_DFMGI,MEA,train
DIC DB Equity,4.2811037062097546,10.146339939138247,-0.09127022599230222,0.9260587392398698,0.15608591307285455,13.41011470269908,0.04982954998951927,-0.005493964092597931,3.1334399816620806,3.3804519613667794,19.759370977171084,MEA_DFMGI,MEA,train
EMAAR DB Equity,4.562225657951819,14.069361767094048,-0.07420599455863351,1.0440309827324272,0.1596544535122562,15.01204135913337,0.048519693411099137,-0.005493964092597931,3.1334399816620806,3.269037260264768,18.31219693881812,MEA_DFMGI,MEA,train
GGICO DB Equity,3.000786807474003,3.6258528449911895,-0.1014339441041299,0.3677845548086367,0.10629112986810718,7.208226349168429,0.04424902948511296,-0.005493964092597931,3.1334399816620806,2.9247260054623916,20.28295424380961,MEA_DFMGI,MEA,train
SALAMA DB Equity,4.278377979553669,13.32412111011063,-0.06333542168685595,0.8438888291155959,0.14561281834674195,14.514249903488896,0.042922416225291624,-0.005493964092597931,3.1334399816620806,3.3444272102279267,17.733203499142867,MEA_DFMGI,MEA,train
SHUAA DB Equity,3.628978248870012,6.712020287248997,-0.08144967691769778,0.5466918838614638,0.12230715998762633,9.469306478891314,0.04687249528416652,-0.005493964092597931,3.1334399816620806,3.025254311055959,20.116983663746257,MEA_DFMGI,MEA,train
TABREED DB Equity,4.145944440506065,9.537936546549206,-0.07772624211192045,0.741347965265218,0.13612706739508268,11.609714174382061,0.048612330139391806,-0.005493964092597931,3.1334399816620806,2.7262920003386855,14.913595495619276,MEA_DFMGI,MEA,train
UPP DB Equity,4.378554174532665,10.329981300353746,-0.08894834353781693,0.9188347254430898,0.15160454371179816,13.632988046179516,0.04869135845339777,-0.005493964092597931,3.1334399816620806,3.063029702390079,18.193662798599597,MEA_DFMGI,MEA,train
BRES QD Equity,3.692610631971562,6.497093345207715,-0.08957641333764521,0.5819863189835903,0.12645055438333525,11.212684140681553,0.0416432546994247,-0.005165634959769353,2.9066244043146576,3.567004143200633,21.949959657401525,MEA_DSM,MEA,train
CBQK QD Equity,3.960215145076267,7.5607101857731625,-0.09115467816410378,0.6891941036762139,0.13476320451639145,12.16485254341566,0.04387157851853199,-0.005165634959769353,2.9066244043146576,3.374738602248575,19.771026667674278,MEA_DSM,MEA,train
DHBK QD Equity,3.6736725015660943,6.124095467437061,-0.0981425864032451,0.6010345685546634,0.13050666636219585,10.38414139021457,0.046170283461053,-0.005165634959769353,2.9066244043146576,3.36157994352651,22.764927836808067,MEA_DSM,MEA,train
IQCD QD Equity,3.836195747702149,9.8169969266778,-0.0678823632739063,0.6664009516355642,0.1356020581226117,11.424442485391321,0.045533603886124714,-0.005165634959769353,2.9066244043146576,3.217796457944179,17.59723364214168,MEA_DSM,MEA,train
MARK QD Equity,3.4744783739633,9.320474052253108,-0.055525112159425266,0.5175203671303668,0.1222396753422022,11.707974657097429,0.03627605293451072,-0.005165634959769353,2.9066244043146576,4.403052729395079,30.839099307441153,MEA_DSM,MEA,train
MCGS QD Equity,2.684804714469127,2.4678042063120156,-0.11363060530362991,0.28041808573407834,0.09372821164605584,6.244865119186964,0.04029581739610939,-0.005165634959769353,2.9066244043146576,3.2183303930127436,27.42072182190451,MEA_DSM,MEA,train
ORDS QD Equity,3.1585790048939097,4.190795815704836,-0.09815854189380395,0.4113624066442414,0.11108257763307194,7.98966574171242,0.0439146153123195,-0.005165634959769353,2.9066244043146576,3.1878477118425,21.218399078156924,MEA_DSM,MEA,train
QATI QD Equity,3.0645850822317993,6.191798150581496,-0.06929549585011041,0.4290637230483414,0.11885240990814666,7.139939006936324,0.05101350614311395,-0.005165634959769353,2.9066244043146576,2.70481393359412,20.300968629492985,MEA_DSM,MEA,train
QEWS QD Equity,3.245757212651185,5.642669484895603,-0.0809918707550942,0.4570103576343787,0.11816361734331503,8.319400165824282,0.04610072909349221,-0.005165634959769353,2.9066244043146576,3.254281684027655,26.701192794217157,MEA_DSM,MEA,train
QFLS QD Equity,3.512387563362725,2.9483467639058034,-0.1793967902074888,0.5289239458633379,0.12309895874803697,9.22802900462311,0.04685412795656519,-0.005165634959769353,2.9066244043146576,3.0537751566713145,24.88138585254975,MEA_DSM,MEA,train
QGTS QD Equity,3.594956499708544,4.333776647566683,-0.1259508749903736,0.5458429607738717,0.12334591023308274,9.657878297631557,0.04591310513962782,-0.005165634959769353,2.9066244043146576,3.0683524691454287,21.10489905370886,MEA_DSM,MEA,train
QIBK QD Equity,4.081977147342909,9.356873652215295,-0.07986227049748901,0.7472611746240458,0.1391888808274096,11.622322951942488,0.04888573764909549,-0.005165634959769353,2.9066244043146576,3.0696397960701205,19.214667256750904,MEA_DSM,MEA,train
QIIK QD Equity,4.034894288287968,11.792457497475363,-0.06102906669739843,0.7196826751396601,0.13677567390769968,12.747089521318296,0.043294226851074986,-0.005165634959769353,2.9066244043146576,3.5084235108541706,21.682547304507555,MEA_DSM,MEA,train
QNBK QD Equity,3.4306876373108186,6.504774716596152,-0.07790751827828582,0.5067708551293462,0.1217195628786759,9.203637173536054,0.04537138869266339,-0.005165634959769353,2.9066244043146576,3.17148305057836,20.049441699232737,MEA_DSM,MEA,train
QNNS QD Equity,3.3784718008706776,5.303871702181385,-0.0886226050217329,0.470042926948367,0.1160973559084556,8.235556170967437,0.04762661257476291,-0.005165634959769353,2.9066244043146576,2.6138772113756117,16.507947547231982,MEA_DSM,MEA,train
UDCD QD Equity,3.4900454742082077,6.298987224361529,-0.085932498647779,0.5412877111398242,0.12630721007367246,9.433342558337088,0.04672976775214165,-0.005165634959769353,2.9066244043146576,3.313560913169386,23.95808681841736,MEA_DSM,MEA,train
ACGC EC Equity,4.466001345388951,11.889248364770522,-0.09111418894340932,1.0832792219028216,0.1676633630794883,12.494080505757271,0.059931165381909506,-0.006807371403285095,2.9723117139770876,2.572597329462517,15.462172873366239,MEA_EGX30,MEA,train
AMOC EC Equity,3.548290276353104,6.8159708394580765,-0.08325985541307127,0.5674967465929894,0.12909081096595468,9.34512360538443,0.04901504663385249,-0.006807371403285095,2.9723117139770876,3.392223134951887,26.851885004679858,MEA_EGX30,MEA,train
COMI EC Equity,4.13347942387264,10.987637609217321,-0.07422337843358369,0.815539584360014,0.14702884702124266,10.024574909837764,0.060625085786092464,-0.006807371403285095,2.9723117139770876,2.02709191647124,9.906043318984938,MEA_EGX30,MEA,train
EAST EC Equity,2.203083266357383,2.5452498591729396,-0.08101754935013628,0.20620990607397105,0.08681983609701494,4.635766865877004,0.04125991095478421,-0.006807371403285095,2.9723117139770876,3.585801295664486,40.70521825316113,MEA_EGX30,MEA,train
EGCH EC Equity,3.316407286329209,3.802652441558263,-0.13571847597469594,0.516090194029744,0.1280220148400701,7.200842531487628,0.05896159247610176,-0.006807371403285095,2.9723117139770876,2.0553662572709683,17.757303174075613,MEA_EGX30,MEA,train
EGTS EC Equity,4.361706230426692,8.741377078490963,-0.1230775572394378,1.075867337729481,0.1709840735340989,11.398833533213095,0.06542619441405195,-0.006807371403285095,2.9723117139770876,2.3045566638089734,12.658971903118426,MEA_EGX30,MEA,train
EKHO EC Equity,3.565080018283529,6.233721072600549,-0.09419204507199413,0.5871669362366305,0.13210006045349149,9.10093479597714,0.05174713328843539,-0.006807371403285095,2.9723117139770876,2.9189243392252333,19.494056472202626,MEA_EGX30,MEA,train
ESRS EC Equity,4.924976595739971,11.426044759500755,-0.12434055069371604,1.420720697647372,0.18316894970900044,13.106682338772389,0.06882769926562457,-0.006807371403285095,2.9723117139770876,1.8914733175242393,10.87510705015666,MEA_EGX30,MEA,train
ETEL EC Equity,3.394568929242016,5.122161871171329,-0.1113976990278709,0.5705970464967798,0.13577734318969922,8.411864464529366,0.05479231773530128,-0.006807371403285095,2.9723117139770876,3.101750629182134,23.2287985099282,MEA_EGX30,MEA,train
GTHE EC Equity,5.188990698808724,6.185287810092295,-0.3254020751938095,2.0127054890750062,0.21741941253633354,14.161308953860662,0.07966688058761157,-0.006807371403285095,2.9723117139770876,3.0740138513713013,29.175056552414873,MEA_EGX30,MEA,train
HELI EC Equity,4.5475459859890695,7.358744639010441,-0.14766779217882828,1.0866495740504605,0.16491135583636987,12.714338201316133,0.05898395672690759,-0.006807371403285095,2.9723117139770876,2.795200596349377,18.351232101031464,MEA_EGX30,MEA,train
HRHO EC Equity,6.524505640952942,13.215953736152843,-0.24937777696167898,3.2957651631501914,0.2279334320232493,21.384334428473007,0.0695440378549882,-0.006807371403285095,2.9723117139770876,2.2458739658446167,10.137532395457919,MEA_EGX30,MEA,train
IRON EC Equity,3.9978368685280845,5.0301667389787506,-0.16900107641486778,0.850103593433674,0.1571218799037625,8.997475347088333,0.06981376665121711,-0.006807371403285095,2.9723117139770876,2.063264309584352,16.234405813764507,MEA_EGX30,MEA,train
OCDI EC Equity,4.544519219230695,6.524095542888186,-0.1714663933936436,1.1186631328945826,0.16853533367131232,10.669276769527853,0.07178668990725139,-0.006807371403285095,2.9723117139770876,1.570023269603984,7.274443023938657,MEA_EGX30,MEA,train
ORHD EC Equity,2.7246602435868845,2.8101707571542733,-0.11347960773294681,0.3188970751844651,0.10359513222263232,5.620759024642803,0.0502176906995351,-0.006807371403285095,2.9723117139770876,2.046758250778613,17.88926282991696,MEA_EGX30,MEA,train
ORWE EC Equity,3.346274790721025,5.168834752327692,-0.09186104832391603,0.4748145789619107,0.11826821419828638,7.105611007776169,0.05569653943654027,-0.006807371403285095,2.9723117139770876,1.6761406938246988,10.919527988101361,MEA_EGX30,MEA,train
PHDC EC Equity,3.1682895437179424,7.6874562930354,-0.05738320510348559,0.44113088118733135,0.11745813101501425,10.75584742252347,0.03459898171670162,-0.006807371403285095,2.9723117139770876,15.642542663195634,607.4698037647707,MEA_EGX30,MEA,train
SWDY EC Equity,4.035978192618068,7.870333242076189,-0.1071164528389185,0.8430421795514267,0.15457375502336,11.689225001730296,0.053370202415730914,-0.006807371403285095,2.9723117139770876,2.9650977360702133,16.687852383382705,MEA_EGX30,MEA,train
TMGH EC Equity,4.260937162307297,6.745255270625121,-0.14611388882076126,0.9855754786797728,0.1642828812673509,12.85980497140543,0.054433098750678095,-0.006807371403285095,2.9723117139770876,3.4267502018774763,25.02723087642705,MEA_EGX30,MEA,train
ANM NW Equity,1.0066587946391614,0.2519448441086224,-0.6631351449948721,0.16707348072868178,0.17091794076252462,1.2597361845366224,0.13658101620181626,-0.00857137010404617,2.193695611798132,-18.172299602148197,764.8647721331328,MEA_FTN098,MEA,train
AOX NW Equity,1.9789142978522483,2.782985379534512,-0.11447537808572632,0.3185833035292618,0.14504539690008963,3.9490265624437426,0.07268434517331271,-0.00857137010404617,2.193695611798132,3.074476612489582,31.540754761320628,MEA_FTN098,MEA,train
BWL NW Equity,2.1599103528060675,0.9233311555067205,-0.6761858498005532,0.6243434620336386,0.23964743007043202,3.275617334905814,0.15802119488031635,-0.00857137010404617,2.193695611798132,-6.515771627267264,284.0263258108803,MEA_FTN098,MEA,train
FNB NW Equity,1.1107277395704116,0.634851353282603,-0.14452705323052564,0.091753195329346,0.08199131587341695,2.485823596749787,0.03663575688297352,-0.00857137010404617,2.193695611798132,8.383764019955006,171.76650486910899,MEA_FTN098,MEA,train
FST NW Equity,3.7228827965370175,4.0706250018785815,-0.3187127482420018,1.2973600814113264,0.2307811023317755,8.548972419937899,0.1004999143093571,-0.00857137010404617,2.193695611798132,2.1381931858143095,16.076556197361338,MEA_FTN098,MEA,train
IVD NW Equity,3.1603827482606244,5.350001397588394,-0.19148471977191858,1.0244435183965863,0.2316046682988304,7.936022593972136,0.09223252447192035,-0.00857137010404617,2.193695611798132,4.666506574792862,59.38024752482161,MEA_FTN098,MEA,train
MIM NW Equity,2.6277312866538094,4.870396940988797,-0.09705741155362865,0.47270812033108367,0.15173618914938017,5.555715414311417,0.07176788258778453,-0.00857137010404617,2.193695611798132,2.4737146341183838,18.735774289171232,MEA_FTN098,MEA,train
NAM NW Equity,0.6655149338907443,0.7968810656841319,-0.03798886669015811,0.03027260857218561,0.04635811823463197,2.8341213039436934,0.010885920778792944,-0.00857137010404617,2.193695611798132,24.211654376972174,758.1477751074477,MEA_FTN098,MEA,train
NBS NW Equity,0.7988576810124894,0.38171963472331283,-0.14594266102313735,0.055709179256300256,0.07088287506983276,2.1187238554386734,0.02672614888270116,-0.00857137010404617,2.193695611798132,15.145545207452528,376.42500990589946,MEA_FTN098,MEA,train
OCG NW Equity,1.3491519914706205,0.6190881363155127,-0.3091523051490549,0.1913925244323731,0.13695237073781122,2.267005565683389,0.08150379801200087,-0.00857137010404617,2.193695611798132,-1.329567705079969,355.51815440935815,MEA_FTN098,MEA,train
ORY NW Equity,0.7650527415157298,0.2977068869866057,-0.13617504973913863,0.040540250143085155,0.05377613059790588,1.9850960584347437,0.02072523189355185,-0.00857137010404617,2.193695611798132,15.456441481849378,434.43591575375274,MEA_FTN098,MEA,train
SLA NW Equity,3.5130110177374956,5.130602288435046,-0.22790925878997598,1.169311764703386,0.22804886765698731,7.46611998593354,0.10730314891415245,-0.00857137010404617,2.193695611798132,1.7278374090329118,16.204359717973638,MEA_FTN098,MEA,train
SNB NW Equity,3.878515050616972,9.44416705973848,-0.14859917684278048,1.4033954510428406,0.23335284933651784,8.74966416212369,0.10343968882530977,-0.00857137010404617,2.193695611798132,1.930448392208984,11.756904648914968,MEA_FTN098,MEA,train
SNM NW Equity,2.147798014749327,2.2229203650597817,-0.1597409660259446,0.35509144651339497,0.14647445238254675,4.332719245185341,0.0726097215711172,-0.00857137010404617,2.193695611798132,2.709716259460291,24.225220162631,MEA_FTN098,MEA,train
SRH NW Equity,3.12288613631053,4.153062881191505,-0.20527155315807669,0.8525056679853371,0.20423807374380243,6.388567859091476,0.09983649905097698,-0.00857137010404617,2.193695611798132,1.7169843853804496,11.91840075618944,MEA_FTN098,MEA,train
TRW NW Equity,2.9100423433024627,3.1810827067512375,-0.26514909601111497,0.8434612040316813,0.21851530218089946,5.928310507522714,0.10726306950336709,-0.00857137010404617,2.193695611798132,1.6655037146727139,21.213736126536197,MEA_FTN098,MEA,train
AHLI JR Equity,2.3138755326284204,3.5881017323748354,-0.057806318062831465,0.20741494998345633,0.08295884826293928,5.043645520466824,0.03805906827347415,-0.004413439108037605,2.7930145533075157,2.916080097124164,26.38163200745785,MEA_JOSMGNFF,MEA,train
