,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.23194620247942094,0.052576506523039385,-0.43049939723023045,0.022634154366639736,0.13584898036144563,0.3783084764519994,0.08329090429338228,-0.012145374358140136,1.0800032334530867,2.0069380318031005,21.748873238005455,MEA_DFMGI,MEA,train
ARMX DB Equity,0.2031410370736534,0.03389104255765288,-0.5779437353841805,0.019587115731834137,0.15323139486952053,0.29614089115597897,0.10511072734511977,-0.012145374358140136,1.0800032334530867,0.2476612809127565,18.37382863582768,MEA_DFMGI,MEA,train
ARTC DB Equity,0.0756274432688805,0.007114135115343868,-0.401657150071675,0.002857443235653845,0.07092690375746474,0.11227158932759097,0.04777718407907844,-0.012145374358140136,1.0800032334530867,0.6170589938579587,15.353704645379615,MEA_DFMGI,MEA,train
DIB DB Equity,0.5081182512528426,0.13165805370978684,-0.8723599020733678,0.11485320684143985,0.3040991259146578,0.7749417588554434,0.19939345673601458,-0.012145374358140136,1.0800032334530867,1.069402671354809,22.528353704793613,MEA_DFMGI,MEA,train
DIC DB Equity,0.4343677915248148,0.10620538180016746,-0.7435236460733818,0.0789662127086761,0.241558846154062,0.6650429386634948,0.15777234284764521,-0.012145374358140136,1.0800032334530867,1.1048838277220805,22.32231101678812,MEA_DFMGI,MEA,train
EMAAR DB Equity,0.330447113285272,0.06342714660099445,-0.6859215905227631,0.04350604927887458,0.1752738108466362,0.4867423575972499,0.11899257158281672,-0.012145374358140136,1.0800032334530867,0.35188338789125084,13.079217754228026,MEA_DFMGI,MEA,train
GGICO DB Equity,0.051511923160876785,0.00551048400399613,-0.21894254372363345,0.0012064793849833055,0.036016279121335405,0.06872392568358705,0.026995952052867134,-0.012145374358140136,1.0800032334530867,-1.041082977186407,12.766027746600715,MEA_DFMGI,MEA,train
SALAMA DB Equity,0.061434821074964535,0.0051480918643551235,-0.35102938944794276,0.0018071315439665003,0.07524499864635488,0.09482188036831264,0.04875101622820751,-0.012145374358140136,1.0800032334530867,1.5622521491738313,22.567638176597015,MEA_DFMGI,MEA,train
SHUAA DB Equity,0.2539459373092138,0.04821728234222113,-0.5500120781916112,0.02652008766579672,0.14313585586560312,0.3964930505008226,0.09167567763024813,-0.012145374358140136,1.0800032334530867,1.2058284911144836,13.504232104106478,MEA_DFMGI,MEA,train
TABREED DB Equity,0.30121673568305163,0.050900798597379435,-0.7347207234249319,0.037397871568373375,0.16495341670657476,0.5314854072047471,0.09348653612417906,-0.012145374358140136,1.0800032334530867,8.314340161592657,260.2351771372421,MEA_DFMGI,MEA,train
UPP DB Equity,0.13705982409759615,0.018662227029575883,-0.4839971501882554,0.009032464698480958,0.10770045287284866,0.21256365095947705,0.06944463486279778,-0.012145374358140136,1.0800032334530867,1.1932476354725097,15.08801425154401,MEA_DFMGI,MEA,train
BRES QD Equity,0.1360203641314605,0.021158163593867442,-0.3646138525611896,0.007714559541079913,0.08003824957359583,0.19591370648573794,0.05556952623035467,-0.011575968785967734,1.1353305556645172,0.13579537988026041,18.92528262212496,MEA_DSM,MEA,train
CBQK QD Equity,0.3727521198008432,0.0891384386691278,-0.5145474923747829,0.04586596009140309,0.15081236620366845,0.5458715898060644,0.10298324779014527,-0.011575968785967734,1.1353305556645172,0.12686589496853193,12.942827409267203,MEA_DSM,MEA,train
DHBK QD Equity,0.2701670051199653,0.04982217258460237,-0.45900619968486,0.022868686098101554,0.10351684217177352,0.3911152152547055,0.0715053624564602,-0.011575968785967734,1.1353305556645172,0.14195499820245003,12.34832842896423,MEA_DSM,MEA,train
IQCD QD Equity,0.2638609301880629,0.06712655395308828,-0.31075551728204365,0.02085994699705296,0.09552480102703056,0.3847357126608147,0.06551318743119389,-0.011575968785967734,1.1353305556645172,0.1928607710385801,14.010487629124594,MEA_DSM,MEA,train
MARK QD Equity,0.2985676693299962,0.06246088988485202,-0.5149905658791468,0.032166769027115016,0.13756781255890968,0.4555660571371613,0.09015882664448185,-0.011575968785967734,1.1353305556645172,1.0509154297020675,24.046355527374757,MEA_DSM,MEA,train
MCGS QD Equity,0.3518154960680867,0.08847498355929295,-0.49123497850572556,0.043462006647043694,0.1547264373707407,0.5515096263256616,0.09870210005417278,-0.011575968785967734,1.1353305556645172,1.12729154667665,15.109119438635648,MEA_DSM,MEA,train
ORDS QD Equity,0.23259159401237625,0.05390769138008164,-0.3366993323407196,0.01815068369570305,0.09795270758588963,0.3394833663685181,0.0671107295740043,-0.011575968785967734,1.1353305556645172,0.1477217741860522,11.081761886417071,MEA_DSM,MEA,train
QATI QD Equity,0.3579943435628642,0.08719902779164086,-0.5150854185298194,0.04491494772545068,0.1571265658587628,0.5318651044868955,0.10576069256350484,-0.011575968785967734,1.1353305556645172,0.4444022068225224,10.630935667155393,MEA_DSM,MEA,train
