,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.7218193604332751,0.2753742763059451,-0.01742856620036426,0.0047993788044755625,0.006663905797037461,1.1746485834181617,0.004094957665047317,-0.00038858825203212134,1.30340049168527,1.1875624319193998,80.56645980983043,MEA_DFMGI,MEA,train
ARMX DB Equity,0.9143166251985604,0.672376896029174,-0.011120773286462758,0.007477351023795986,0.00818429451481451,1.8232025427731966,0.004104336388777826,-0.00038858825203212134,1.30340049168527,8.079071388017715,178.57698694843492,MEA_DFMGI,MEA,train
ARTC DB Equity,1.029238096538303,0.5866230917869232,-0.016165217080131494,0.009482889622953516,0.009211353361740152,2.215218109579322,0.004279793379975368,-0.00038858825203212134,1.30340049168527,7.727532662640475,165.34798041845522,MEA_DFMGI,MEA,train
DIB DB Equity,0.896821961033206,0.37253229649014424,-0.019010158019878515,0.0070818978237858765,0.00790373139907476,1.5328134752023879,0.004624332971669656,-0.00038858825203212134,1.30340049168527,2.5209431196855134,50.49862959973354,MEA_DFMGI,MEA,train
DIC DB Equity,1.0279653191715075,0.4821642024206112,-0.019631468140146983,0.00946559117813961,0.00920609127260485,1.9825280106864567,0.004773472305235421,-0.00038858825203212134,1.30340049168527,4.530754113201478,74.41946038025165,MEA_DFMGI,MEA,train
EMAAR DB Equity,1.0011259045966518,0.43114758816437926,-0.0201189975085425,0.008674257252093254,0.008664680322755615,2.031003047901191,0.004271010787070732,-0.00038858825203212134,1.30340049168527,6.977483083229338,139.41016463764538,MEA_DFMGI,MEA,train
GGICO DB Equity,0.9902862988137138,0.5351467791503621,-0.01610840904047264,0.008620363215245508,0.008705968347073116,1.7014080654551968,0.005067215412374221,-0.00038858825203212134,1.30340049168527,3.9442904351059593,116.70856397153013,MEA_DFMGI,MEA,train
SALAMA DB Equity,0.7804263692329064,0.3387492155085225,-0.016082588634754466,0.005447964283369355,0.006993164744562033,1.425728134755513,0.0038279739580098855,-0.00038858825203212134,1.30340049168527,4.695439673566104,84.53220116074948,MEA_DFMGI,MEA,train
SHUAA DB Equity,1.0584840755294027,0.49312574881532145,-0.020648448776319755,0.010182281764697487,0.0096147773690753,2.1772474223236458,0.004674291323337656,-0.00038858825203212134,1.30340049168527,6.395909850426665,113.73851179641457,MEA_DFMGI,MEA,train
TABREED DB Equity,1.1014293579946564,0.7629312608844497,-0.014096727681719413,0.010754834224558918,0.009755603854852182,2.2054967971954396,0.004871967397261134,-0.00038858825203212134,1.30340049168527,5.499313764056321,94.30966004843789,MEA_DFMGI,MEA,train
