,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,2.4890947061623323,2.8371162479093823,-0.1277395481245008,0.3624119474846237,0.1275309638387659,5.505272878498753,0.05766047459747619,-0.007749835905835131,2.1393739476919826,3.1921399160271533,31.553753844151892,MEA_DFMGI,MEA,train
ARMX DB Equity,2.1876980435251236,2.0927823291282643,-0.12258535190554926,0.2565444582779033,0.10701399276849476,4.430808464404987,0.05283782959480441,-0.007749835905835131,2.1393739476919826,3.0721628577730544,34.432086333963134,MEA_DFMGI,MEA,train
ARTC DB Equity,2.939021118202534,3.1926594477598687,-0.1713482100246171,0.547056481591836,0.15247977268396803,6.808439394402671,0.06582143807952937,-0.007749835905835131,2.1393739476919826,2.7749380056380524,22.122553434255433,MEA_DFMGI,MEA,train
DIB DB Equity,3.0573096833511793,5.45993998921683,-0.10370090755931723,0.5662007321011939,0.15050026301639144,7.522874796764853,0.06116357428476492,-0.007749835905835131,2.1393739476919826,3.4046456929091384,26.137790787862386,MEA_DFMGI,MEA,train
DIC DB Equity,3.2162640350058815,6.606609325308991,-0.1036454233145051,0.6847448201952073,0.1665811192232663,7.487701570768939,0.071553180586202,-0.007749835905835131,2.1393739476919826,2.531792643831769,19.930624643178326,MEA_DFMGI,MEA,train
EMAAR DB Equity,3.147266313829496,5.640992679636682,-0.11321485964100655,0.6386441944610124,0.16112368890447823,7.0166234491658015,0.07227110904879697,-0.007749835905835131,2.1393739476919826,2.507708715996479,18.116776551717628,MEA_DFMGI,MEA,train
GGICO DB Equity,2.2298423228794153,2.707450517255796,-0.10917713059042725,0.2955916786895558,0.11935627219284016,4.406727972452014,0.060395302115419734,-0.007749835905835131,2.1393739476919826,2.053627870361404,18.123436749192066,MEA_DFMGI,MEA,train
SALAMA DB Equity,3.1339876111714045,5.56771100146647,-0.11644621153740724,0.648338853055914,0.16380327471815487,7.900508643900048,0.0649777700113479,-0.007749835905835131,2.1393739476919826,3.3883985845432267,25.617761512774784,MEA_DFMGI,MEA,train
SHUAA DB Equity,2.7532435560961845,3.0540141974233155,-0.14905033207239549,0.4552018302797556,0.1398603421062477,5.841492720184059,0.0659197236225095,-0.007749835905835131,2.1393739476919826,2.1824255975182454,15.883835657948051,MEA_DFMGI,MEA,train
TABREED DB Equity,2.9402206138075435,3.17478399877236,-0.18239837134395184,0.5790754307449173,0.1596794831926494,7.4248017463980425,0.06323305646685122,-0.007749835905835131,2.1393739476919826,6.6151524877371575,148.38222614630197,MEA_DFMGI,MEA,train
