,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
AMAN DB Equity,0.6885426605634444,0.3557228566702573,-0.09346830376825824,0.0332488120245682,0.04922872645607986,1.539521695732047,0.022017278732860964,-0.002020552598560866,1.141276447297713,10.699520660414695,245.29492412718278,MEA_DFMGI,MEA,train
ARMX DB Equity,0.6570689601624725,0.29551313046458216,-0.09713388411019239,0.028704338167586885,0.04453942200382389,1.4765601033096987,0.0198200341704288,-0.002020552598560866,1.141276447297713,16.005266296434748,517.3700509042043,MEA_DFMGI,MEA,train
ARTC DB Equity,0.8066714912920577,0.5822252947843204,-0.06807568029277188,0.039635383026102255,0.0496767131076237,2.136059216463786,0.018760148565241754,-0.002020552598560866,1.141276447297713,13.854738695945267,333.39040552663704,MEA_DFMGI,MEA,train
DIB DB Equity,0.7918712099519237,0.3692912241187797,-0.10258175652346548,0.03788254243880518,0.04842127757147443,1.451184008650752,0.02642215971880192,-0.002020552598560866,1.141276447297713,6.1200461332401,133.27940319751252,MEA_DFMGI,MEA,train
DIC DB Equity,0.8656769907535479,0.4924163952197663,-0.10456950618932619,0.051491739287659044,0.060032116820052814,1.9453097562323016,0.026714728629131948,-0.002020552598560866,1.141276447297713,11.198551208948642,260.7299541458796,MEA_DFMGI,MEA,train
EMAAR DB Equity,0.797956869283162,0.44760593787178937,-0.08496716333463943,0.038031806832706794,0.048208274907901014,1.757898783802214,0.02188301424035734,-0.002020552598560866,1.141276447297713,10.094547945668982,199.74829150263653,MEA_DFMGI,MEA,train
GGICO DB Equity,0.2819088685161629,0.12760588382247445,-0.04123331789171769,0.005261613972505685,0.019273496017137598,0.4424121064993614,0.01228124044238802,-0.002020552598560866,1.141276447297713,1.8019197340541657,497.5569487492267,MEA_DFMGI,MEA,train
SALAMA DB Equity,0.7135156903101123,0.4522519983748014,-0.07508401256080433,0.033956894726622444,0.04840411067512493,1.7000082862959227,0.020315837705391585,-0.002020552598560866,1.141276447297713,13.038486047032917,331.53304068961046,MEA_DFMGI,MEA,train
SHUAA DB Equity,0.38492529482989774,0.09913412288941494,-0.10117122818627612,0.010029520967891337,0.02686128597294617,0.6162574015167743,0.016778035277463618,-0.002020552598560866,1.141276447297713,2.1930324068698988,72.69745673687014,MEA_DFMGI,MEA,train
TABREED DB Equity,0.5057116175965705,0.186339989066887,-0.09518468414429256,0.017736713002782567,0.03603414008959742,0.9801385279386644,0.01859215075621647,-0.002020552598560866,1.141276447297713,8.539409876597487,205.21069751779018,MEA_DFMGI,MEA,train
UPP DB Equity,0.8538888113500243,0.5801553411951672,-0.0845176263554875,0.04903335235527351,0.05797046989498735,2.395685617928086,0.020662283590800863,-0.002020552598560866,1.141276447297713,13.711094637541445,287.1664356636153,MEA_DFMGI,MEA,train
BRES QD Equity,1.6103576975789486,1.3758088634752572,-0.17710364286924868,0.24366076161326888,0.1416176369267409,2.9158283922533346,0.07821278246134314,-0.009502964956051912,1.485754610774199,2.127322047097738,27.042449283711743,MEA_DSM,MEA,train
CBQK QD Equity,2.0615588768757314,2.3562866797561544,-0.16588420696825687,0.39087074726121673,0.166807250119414,3.8139992267599574,0.09016335525139615,-0.009502964956051912,1.485754610774199,1.7163431370587543,15.042124810904863,MEA_DSM,MEA,train
DHBK QD Equity,1.941111582060818,1.7864008776615583,-0.20013859855581181,0.3575277681140565,0.16444554396437458,3.589873308231972,0.08891877863086758,-0.009502964956051912,1.485754610774199,1.686313162509689,14.454973670791507,MEA_DSM,MEA,train
IQCD QD Equity,1.489843754948369,0.9404933567651333,-0.2282886921625479,0.21470399840347687,0.13682905836127768,2.585716355338695,0.07883846875707032,-0.009502964956051912,1.485754610774199,1.5064658997428724,19.542039174001516,MEA_DSM,MEA,train
MARK QD Equity,1.4127503601935996,1.095025396080706,-0.1560784771270308,0.1709098962357003,0.11643371701300863,2.714334559338235,0.06060114258314246,-0.009502964956051912,1.485754610774199,3.5959741384982626,40.933447684226905,MEA_DSM,MEA,train
MCGS QD Equity,1.1136752443597604,0.9654274675906431,-0.11864435502841482,0.11454251921900771,0.10202905657866909,1.9360142849566484,0.05869132030685894,-0.009502964956051912,1.485754610774199,1.9958954242999234,23.011198437709613,MEA_DSM,MEA,train
ORDS QD Equity,1.3280084306921622,1.0302271733371675,-0.15110847079102796,0.15567605273034268,0.11382729515484079,2.233758194907612,0.06767232368889675,-0.009502964956051912,1.485754610774199,1.268991062447779,12.955932663682082,MEA_DSM,MEA,train
