exchange,transferstrat,SR
Americas_IBOV,1000_global_lstm_lstm,0.04751786578514517
Americas_IBOV,1000_no_transfer_linear,0.12265719411149655
Americas_MERVAL,1000_global_lstm_lstm,2.2131075063688046
Americas_MERVAL,1000_no_transfer_linear,2.4244173918365886
Americas_MEXBOL,1000_global_lstm_lstm,0.2550725353409438
Americas_MEXBOL,1000_no_transfer_linear,0.5638843380863514
Americas_RTY,1000_global_lstm_lstm,0.13582967855100503
Americas_RTY,1000_no_transfer_linear,0.011560694671339978
Americas_SPTSX,1000_global_lstm_lstm,0.2055410180101258
Americas_SPTSX,1000_no_transfer_linear,0.10072710283058565
Americas_SPX,1000_global_lstm_lstm,0.19819501715097296
Americas_SPX,1000_no_transfer_linear,-0.3566049372578891
Asia and Pacific_AS51,1000_global_lstm_lstm,0.14294176839154474
Asia and Pacific_AS51,1000_no_transfer_linear,0.012005938399281107
Asia and Pacific_FBMKLCI,1000_global_lstm_lstm,0.2248704242355393
Asia and Pacific_FBMKLCI,1000_no_transfer_linear,0.6282558086049446
Asia and Pacific_HSI,1000_global_lstm_lstm,-0.1229766301334273
Asia and Pacific_HSI,1000_no_transfer_linear,0.17733313196497405
Asia and Pacific_JCI,1000_global_lstm_lstm,0.011776554921296667
Asia and Pacific_JCI,1000_no_transfer_linear,0.011422189270555567
Asia and Pacific_KOSPI,1000_global_lstm_lstm,-0.08516112898323269
Asia and Pacific_KOSPI,1000_no_transfer_linear,0.03765429511713515
Asia and Pacific_KSE100,1000_global_lstm_lstm,0.20459663686227836
Asia and Pacific_KSE100,1000_no_transfer_linear,0.6546450548409181
Asia and Pacific_NIFTY,1000_global_lstm_lstm,0.7082179092915671
Asia and Pacific_NIFTY,1000_no_transfer_linear,0.43036955686660877
Asia and Pacific_NKY,1000_global_lstm_lstm,0.4528003259503782
Asia and Pacific_NKY,1000_no_transfer_linear,-0.0011573224700367696
Asia and Pacific_NZSE50FG,1000_global_lstm_lstm,-0.28334502912164555
Asia and Pacific_NZSE50FG,1000_no_transfer_linear,0.9028655552781579
Asia and Pacific_PCOMP,1000_global_lstm_lstm,0.17073271523194242
Asia and Pacific_PCOMP,1000_no_transfer_linear,0.9694602247516639
Asia and Pacific_SHSZ300,1000_global_lstm_lstm,-0.11271450641479347
Asia and Pacific_SHSZ300,1000_no_transfer_linear,0.2276611414407557
Asia and Pacific_STI,1000_global_lstm_lstm,-0.021478197958036467
Asia and Pacific_STI,1000_no_transfer_linear,-0.041361547066220423
Asia and Pacific_TWSE,1000_global_lstm_lstm,0.24825972288553724
Asia and Pacific_TWSE,1000_no_transfer_linear,0.19313656762224338
Europe_AEX,1000_global_lstm_lstm,-0.006601008483028881
Europe_AEX,1000_no_transfer_linear,0.20698269053698382
Europe_ASE,1000_global_lstm_lstm,0.25519888088396353
Europe_ASE,1000_no_transfer_linear,0.47609690386801895
Europe_ATX,1000_global_lstm_lstm,0.18064972001848906
Europe_ATX,1000_no_transfer_linear,0.4394918580349079
Europe_BEL20,1000_global_lstm_lstm,-0.10151709344308017
Europe_BEL20,1000_no_transfer_linear,0.0730384129703698
